"","iter","harv_hist","Hmax","r_1","K_1","MSY_t_1","HMSYs_t_1","Bmsy_t_1","Fmsy_t_1","r_2","K_2","MSY_t_2","HMSYs_t_2","Bmsy_t_2","Fmsy_t_2","r_3","K_3","MSY_t_3","HMSYs_t_3","Bmsy_t_3","Fmsy_t_3","pe_med_1","pe_absmed_1","true_term_bio1","true_ss1","true_tot_cont1","true_reb_cont1","true_reb_len1","q1","pe_med_2","pe_absmed_2","true_term_bio2","true_ss2","true_tot_cont2","true_reb_cont2","true_reb_len2","q2","pe_med_3","pe_absmed_3","true_term_bio3","true_ss3","true_tot_cont3","true_reb_cont3","true_reb_len3","q3","obs_tot_bio_cont1","obs_reb_bio_cont1","obs_reb_bio_len1","obs_tot_ind_cont1","obs_reb_ind_cont1","obs_reb_ind_len1","Depl_1","obs_tot_bio_cont2","obs_reb_bio_cont2","obs_reb_bio_len2","obs_tot_ind_cont2","obs_reb_ind_cont2","obs_reb_ind_len2","Depl_2","obs_tot_bio_cont3","obs_reb_bio_cont3","obs_reb_bio_len3","obs_tot_ind_cont3","obs_reb_ind_cont3","obs_reb_ind_len3","Depl_3"
"1",1,"Harv4",3,0.0498836122369726,126273.485971615,2120.6297224922,0.0167939429736572,50509.3943886459,0.0419848574341429,0.0487018046853018,108645.484410226,1781.35925617562,0.0163960726563611,43458.1937640905,0.0409901816409028,0.0498249683971464,159544.17323228,2676.22583718006,0.0167741997903223,63817.6692929119,0.0419354994758059,-0.0106762780483318,0.0405911533105126,83641.9701715074,0.662387432547078,1.27021537107375,0.39725383770091,12,7.70597224100493e-05,0.000821580860186143,0.0331947908565284,71108.5098879012,0.654500371312331,1.25643601754548,0.361007165585539,18,1.39110846584663e-05,-0.00829642785198601,0.0384397765008392,96136.4907526084,0.602569738555376,1.20397560202087,0.299435596494059,21,1.51347981812432e-05,2.51993726317349,1.05085662218623,7,1.51147362228107,0.548944754169303,11,0.662387432547078,2.59144446453524,0.892842344724528,12,1.50722300864282,0.289568051367368,14,0.654500371312331,1.85748634595379,0.36562594849447,19,1.23269046788577,0.340900798648412,19,0.602569738555376
"2",2,"Harv4",3,0.0507453718255687,140898.803225718,2407.12433172378,0.0170840651348017,56359.5212902874,0.0427101628370042,0.0482022169751602,176555.960951373,2865.12898206476,0.0162278801951857,70622.3843805492,0.0405697004879642,0.0486623120895247,127220.213529654,2084.22038550908,0.0163827769792515,50888.0854118615,0.0409569424481289,-0.0025019968061769,0.0333063837093488,99579.3498306024,0.706743759001823,0.916009938759713,0.354128066403892,16,4.27458861586638e-05,-0.00848448302008333,0.03550360595456,149248.474428341,0.845332401263115,1.22615005471774,0.721444707472198,23,1.97537509491667e-05,0.00473156988737748,0.025888505703479,96573.3367717736,0.759103715458419,1.30859221706575,0.72176100378788,20,6.05433157132939e-05,1.89043705832902,0.962713257406707,16,1.03497960941201,0.465454308116434,16,0.706743759001823,2.78851201445472,1.5685642271075,20,1.30232150510437,0.760730334788478,24,0.845332401263115,3.03380604273342,0.911493675873464,20,1.38029981178792,0.81623637341216,19,0.759103715458419
"3",3,"Harv4",3,0.0500740271588586,136851.599416696,2307.05090608844,0.0168580485425221,54740.6397666782,0.0421451213563052,0.0501372922510219,199908.840912394,3374.33079974966,0.0168793475283486,79963.5363649577,0.0421983688208716,0.0490597459968753,151485.109981149,2502.01564741421,0.0165165780829915,60594.0439924598,0.0412914452074788,-0.00228976505037514,0.0256511790190469,91122.6382570029,0.665850005739036,1.36748988025416,0.576393150354339,18,5.62258603377268e-05,-0.00172792085584074,0.0281667663388055,98788.624299241,0.49416836118085,1.23029486204926,0.0417425860811768,4,2.50429605296813e-05,-0.00603225507023904,0.0370583591566558,117598.010053254,0.776300786710243,1.19640322514823,0.705069551615488,20,1.27937530982308e-05,2.32906034488021,1.55702127794961,23,1.43706667599667,0.588750861147323,13,0.665850005739036,1.91741977242118,0.0695946828286002,17,1.4904110929255,0.14794613607218,4,0.49416836118085,2.06591497912248,1.42927616407544,28,1.3572171498931,0.768806545029658,20,0.776300786710243
"4",4,"Harv4",3,0.0500702360556687,181564.23594337,3060.5869686212,0.0168567722201404,72625.6943773478,0.0421419305503509,0.0495756316342834,185078.916279599,3089.01476045038,0.0166902574455526,74031.5665118396,0.0417256436138815,0.0491855280823355,178344.503417611,2953.19311318464,0.0165589241977895,71337.8013670444,0.0413973104944738,-0.00968649358192231,0.0409510552070799,96898.932054985,0.533689531704956,1.25236666364711,0.20206450994968,15,7.46374710602686e-05,-0.00832882129333956,0.0329977758138023,126590.409303517,0.683980714001355,1.09428991344838,0.412507006747771,19,9.74800713150762e-05,0.00124501613849594,0.0381417736370148,135491.733768873,0.759719145656012,1.33229522841551,0.557585998192295,11,2.52354983356781e-05,1.82332431536679,0.477588081211004,18,1.49246865466082,0.214661410085699,18,0.533689531704956,1.65812911376865,0.504594503335642,19,1.31932522223186,0.618684519703941,14,0.683980714001355,1.97629957464275,1.01318715561893,13,1.46610157788365,0.642505792929599,23,0.759719145656012
"5",5,"Harv4",3,0.0504063252092177,192043.353570625,3258.96050871369,0.0169699208440202,76817.3414282501,0.0424248021100504,0.0506564451515002,144941.630610265,2471.8529551361,0.0170541268559527,57976.6522441059,0.0426353171398818,0.0497943507484745,105105.902533978,1761.98399604982,0.0167638919753361,42042.3610135913,0.0419097299383403,0.00985288588463447,0.0410444218812613,184342.962381471,0.9599028498202,0.722005666513763,0.587513563157244,13,2.26930771488696e-05,0.0100192281922962,0.0345294654635434,96622.839323838,0.666632760491347,1.16595047175188,0.201670411837229,21,8.2803194555454e-05,-0.0173906782307574,0.031099791970701,57009.9373476278,0.542404717272637,1.45089403008304,0.318448193272161,17,3.44054967723787e-05,1.63527776817356,0.861288383247605,20,0.895152007025907,0.660707931241335,20,0.9599028498202,2.28076002802947,0.0916861042606121,16,1.23080327282574,0.334072227647604,20,0.666632760491347,2.27017683263425,0.617828293833813,16,1.65349104179457,0.534674274615499,17,0.542404717272637
"6",6,"Harv4",3,0.0490779052230156,117946.745269001,1948.79769895003,0.0165226916139603,47178.6981076002,0.0413067290349008,0.0499742503912334,178937.919531018,3010.53341222336,0.0168244574437533,71575.167812407,0.0420611436093833,0.0501487880245426,180458.574858494,3046.72140959201,0.016883217724517,72183.4299433976,0.0422080443112926,0.00553841068153601,0.0294149403584722,80705.6020546515,0.684254591939664,0.674320169566478,0.14566126440306,14,8.79274785402231e-05,-0.00814952210202658,0.0281745278819488,105513.675474404,0.589666381228459,1.58417288260744,0.523799872155848,14,9.6935852970928e-05,0.00406597668746744,0.0347445196904815,105953.024876665,0.587132115831835,1.01247844869988,0.181590729651131,23,1.40016990876757e-05,1.86775205038469,0.450492524330366,26,0.946481184378835,0.361375425110852,13,0.684254591939664,1.76526255851222,0.628717652030993,8,1.59930098622951,0.457753407347337,14,0.589666381228459,1.85912385352528,0.753330206188565,8,1.166160830814,0.233180449326993,26,0.587132115831835
"7",7,"Harv4",3,0.0507828860529067,125443.534296937,2144.66981666854,0.0170966947693923,50177.4137187749,0.0427417369234808,0.0511727305837826,147387.32369151,2539.18008935997,0.0172279408144666,58954.9294766039,0.0430698520361666,0.0483666547535476,168746.434547938,2747.73873225094,0.0162832402332646,67498.5738191754,0.0407081005831615,0.0166681184862428,0.0296087504817578,90132.6739550728,0.718511914226841,0.567027521156504,0.125927943872301,22,4.16849833517335e-05,0.0120518325078432,0.0299925827148367,94992.7960221089,0.644511302891519,0.685827299161065,0.0865347490323887,18,3.39355516876094e-05,-0.00448595049111701,0.0220281439962107,125057.217724359,0.741095467050189,1.09500947646841,0.485133418264528,9,5.13453414174728e-05,1.56713873023879,0.721693149537725,19,0.661816082084153,0.224601149134543,22,0.718511914226841,1.19244526640731,0.192147250537536,19,0.74282724873326,0.172174736294603,3,0.644511302891519,2.11164065227001,0.734713761746367,12,1.28046918928045,0.599756038629761,10,0.741095467050189
"8",8,"Harv4",3,0.0498932793624089,134030.31504713,2251.33367719517,0.0167971975325397,53612.126018852,0.0419929938313492,0.0483064354575211,169512.5491824,2756.77693459526,0.0162629666528635,67805.01967296,0.0406574166321588,0.0526096254888031,148070.230497979,2622.57394453184,0.01771168948486,59228.0921991915,0.04427922371215,0.0118265996595866,0.0284369452334951,137700.135452374,1.02738052509952,0.608175189774874,0.568530042711681,22,2.38987648650073e-05,-0.00107991362917126,0.0287714631659844,122007.045710148,0.719752291488845,0.850380876380746,0.223738726208151,19,3.79535419051535e-05,0.00808967516191383,0.0332877301244435,113403.696151275,0.765877757938813,0.997247681550267,0.467977113383436,19,9.74555719341151e-05,1.60407556296136,1.22290196325914,20,0.603515757828102,0.472909698653384,19,1.02738052509952,1.29290706071292,0.192672163420066,34,0.963092732460392,0.323457402034963,18,0.719752291488845,2.40948540878499,0.488085038920874,18,1.21594307328809,0.492874005933272,17,0.765877757938813
"9",9,"Harv4",3,0.048995845422958,134463.891852647,2217.99065700633,0.0164950651542715,53785.5567410588,0.0412376628856788,0.050687139605206,143179.132393561,2443.27465320843,0.0170644605283158,57271.6529574245,0.0426611513207894,0.0495484906535283,105189.747316763,1754.68280768781,0.0166811200943743,42075.8989267051,0.0417028002359358,-0.0102442899434773,0.03207619876675,89914.1673419059,0.668686337298929,0.946309038680606,0.301470262327134,23,4.18038279889151e-05,0.0113675195679682,0.0272018628294652,99616.0308981437,0.695744060135284,1.06481985513596,0.243491034848372,9,6.29850794002414e-05,0.0036470877705501,0.0316132033989753,61241.3242534529,0.582198606001344,0.91120646479982,0.0618414661060136,4,3.05891509843059e-05,2.68605575365419,0.522972310394591,7,1.24907527787293,0.360468587315188,19,0.668686337298929,1.93560683923233,1.17128959572708,2,1.31397151711556,0.345325646285188,9,0.695744060135284,2.17604526808844,0.227184463826094,6,1.05817792533255,0.173224157917356,4,0.582198606001344
"10",10,"Harv4",3,0.0480591856213657,124983.313423581,2022.1958780149,0.0161797268981137,49993.3253694326,0.0404493172452843,0.0480371489644438,137220.914824866,2219.17889605064,0.016172307981498,54888.3659299463,0.0404307699537451,0.0506807863138291,153763.608960435,2623.56414848669,0.0170623216131833,61505.4435841739,0.0426558040329582,0.00456321953201322,0.0365870133422164,87704.9995754823,0.70173367286432,0.788563352453489,0.126674297960353,2,3.83454470918514e-05,0.0257695245637836,0.0357823738203744,110086.250345622,0.802255621791508,1.36041488400371,0.344787026036603,22,7.48924161167815e-05,-0.00293179615515273,0.0442600630329523,119941.253521511,0.780036670135478,1.13219494481351,0.663190244832027,18,6.5913331869524e-05,2.16295579060505,0.548543814304113,2,0.851713986816769,0.0975425258520564,2,0.70173367286432,2.69812756642582,0.614896955200929,22,1.71003369965738,0.433955306437996,17,0.802255621791508,2.48464215397819,1.107485469458,20,1.37636327826696,0.660314733984056,19,0.780036670135478
