"","model","iter","harv_hist","Hmax","runtime","iterations","param_not_conv","div_trans","over_max_treedepth","r_e_1","K_e_1","Bterm_e_1","q_e_1","pe_e1","rbias_1","r_wi_bnds_1","Kbias_1","K_wi_bnds_1","pebias_1","pe_wi_bnds_1","abspebias_1","abspe_wi_bnds_1","SSbias_1","SS_wi_bnds_1","qbias_1","q_wi_bnds_1","MSYbias_1","MSYS_wi_bnds_1","Bmsybias_1","Bmsy_wi_bnds_1","Fmsybias_1","Fmsy_wi_bnds_1","r_e_2","K_e_2","Bterm_e_2","q_e_2","pe_e2","rbias_2","r_wi_bnds_2","Kbias_2","K_wi_bnds_2","pebias_2","pe_wi_bnds_2","abspebias_2","abspe_wi_bnds_2","SSbias_2","SS_wi_bnds_2","qbias_2","q_wi_bnds_2","MSYbias_2","MSYS_wi_bnds_2","Bmsybias_2","Bmsy_wi_bnds_2","Fmsybias_2","Fmsy_wi_bnds_2","r_e_3","K_e_3","Bterm_e_3","q_e_3","pe_e3","rbias_3","r_wi_bnds_3","Kbias_3","K_wi_bnds_3","pebias_3","pe_wi_bnds_3","abspebias_3","abspe_wi_bnds_3","SSbias_3","SS_wi_bnds_3","qbias_3","q_wi_bnds_3","MSYbias_3","MSYS_wi_bnds_3","Bmsybias_3","Bmsy_wi_bnds_3","Fmsybias_3","Fmsy_wi_bnds_3"
"1","ko",1,"Harv2",3,4.1182048479716,2000,0,0,0,0.0973396401163837,209394.281334627,140543.790319729,2.59333251952204e-05,-0.000208626013875985,0.904093189634717,"FALSE",0.0775922769223478,"TRUE",-1.03002183215255,"TRUE",0.135439177572597,"TRUE",0.105982441252733,"TRUE",-0.167066164993277,"FALSE",1.04918869399027,"FALSE",0.0775922769223478,"TRUE",0.904093189634717,"FALSE",0.0921655948280102,121044.884953723,77131.7961372027,8.41205814973731e-05,-0.00284354578804996,0.843652742899733,"FALSE",0.0124497290979627,"TRUE",-1.34172202713687,"TRUE",-0.097945732107751,"TRUE",-0.0879405144794428,"TRUE",0.0342127180222251,"FALSE",0.864199790747284,"FALSE",0.0124497290979627,"TRUE",0.843652742899733,"FALSE",0.0930381629745656,143508.769009042,84665.3048117718,8.07562154133133e-05,-0.00116209600076508,0.858628218948619,"FALSE",0.0394702919874141,"TRUE",-1.33404982626228,"TRUE",0.274127299577819,"TRUE",0.106891579794529,"TRUE",-0.0953034007632258,"FALSE",0.924841808505875,"FALSE",0.0394702919874141,"TRUE",0.858628218948619,"FALSE"
"2","ko",2,"Harv2",3,3.81090823014577,2000,0,0,0,0.0888155246971965,98403.0608532106,47759.3646436113,5.11205465327061e-05,-0.00689951040308093,0.767930112423446,"FALSE",-0.224557337469857,"TRUE",-4.63179013208439,"TRUE",-0.0349796089477896,"TRUE",-0.12413648445319,"TRUE",0.5190497386489,"FALSE",0.36192265274534,"FALSE",-0.224557337469857,"TRUE",0.767930112423446,"FALSE",0.0899276622362672,121857.945597298,77386.2862379546,7.17126033559228e-05,-0.00352341500550708,0.835774242805506,"FALSE",-0.0506491759384737,"TRUE",-0.350654336789388,"TRUE",0.104815679003907,"TRUE",0.309624365454505,"FALSE",-0.171148996319022,"FALSE",0.736767332111947,"FALSE",-0.0506491759384737,"TRUE",0.835774242805506,"FALSE",0.0885140582878084,113000.646081638,71301.3100257846,4.70137972507308e-05,-0.0104004694495803,0.777038269764474,"FALSE",0.0681378597158777,"TRUE",-0.507339995834174,"TRUE",0.0028976015054358,"TRUE",0.490130340396555,"FALSE",-0.335749004966529,"FALSE",0.864703775123077,"FALSE",0.0681378597158778,"TRUE",0.777038269764475,"FALSE"
"3","ko",3,"Harv2",3,4.27836028337479,2000,0,0,0,0.0830378583935141,70104.2633219491,23467.5349219581,7.52862367538164e-05,-0.00458894681812002,0.6093990421744,"FALSE",-0.416868604702325,"FALSE",-0.654560686122722,"TRUE",-0.130001960032507,"TRUE",-0.216379978645453,"FALSE",1.16035274697102,"FALSE",-0.0567141657856583,"TRUE",-0.416868604702325,"FALSE",0.609399042174401,"FALSE",0.0875036022704829,96377.0613267147,41073.4685376654,9.3051200954414e-05,-0.00423475451006012,0.744007278155697,"FALSE",-0.266876309274266,"TRUE",-1.67969296957599,"TRUE",0.0274721539091672,"TRUE",-0.175884724631423,"FALSE",0.813945006697594,"FALSE",0.291438159388677,"TRUE",-0.266876309274266,"TRUE",0.744007278155696,"FALSE",0.090010141434583,120479.882999153,74431.5819039054,7.18237795743957e-05,-0.00466673609958694,0.78939761615731,"FALSE",-0.0864513816042966,"TRUE",-0.201920086238833,"TRUE",0.0456593385157919,"TRUE",0.131208987949178,"TRUE",-0.0454815762918231,"FALSE",0.618580559431492,"FALSE",-0.0864513816042964,"TRUE",0.78939761615731,"FALSE"
"4","ko",4,"Harv2",3,3.08275706370672,2000,0,0,0,0.0889096156929312,117580.585181634,71898.1313512267,5.99972347803259e-05,-0.00376992225154419,0.776292860719832,"FALSE",0.0266438452162754,"TRUE",22.706405044044,"TRUE",0.0110906703944565,"TRUE",0.0597202737115711,"TRUE",-0.0796219292912009,"FALSE",0.811786341515834,"FALSE",0.0266438452162756,"TRUE",0.776292860719832,"FALSE",0.0935086132780092,135977.191254705,76230.3633214688,8.79553563146308e-05,-0.00152602336721852,0.808592062546899,"FALSE",-0.256801499822638,"TRUE",-1.84662665229352,"TRUE",0.0810271771808804,"TRUE",-0.0333867557660742,"TRUE",0.346453765552689,"FALSE",0.333722720396593,"TRUE",-0.256801499822638,"TRUE",0.808592062546899,"FALSE",0.0891315669858764,95061.5733779144,45115.1669683058,0.000144768000264595,-0.00311514927317957,0.788688497734932,"FALSE",-0.379927309322271,"TRUE",0.387257789153624,"TRUE",0.0209710483304608,"TRUE",0.00590673436531399,"TRUE",0.567398194387062,"FALSE",0.106392901441017,"TRUE",-0.379927309322271,"TRUE",0.788688497734932,"FALSE"
"5","ko",5,"Harv2",3,2.94161466757456,2000,0,0,0,0.0980128274529725,162246.571180048,114684.264154792,1.38020646596782e-05,-0.00344045440732006,0.940316985582646,"FALSE",0.0485760603580745,"TRUE",-0.485740897024092,"TRUE",-0.0670489673907591,"TRUE",0.219686233482326,"FALSE",-0.212757793812028,"FALSE",1.02907685765861,"FALSE",0.0485760603580745,"TRUE",0.940316985582646,"FALSE",0.0918678578173455,109213.400393745,53307.1726560474,0.000112905513566066,-0.0024761270263918,0.768835107908773,"FALSE",-0.378902301902297,"TRUE",-0.28620504734066,"TRUE",0.067816467762151,"TRUE",0.131032947987926,"TRUE",0.540339121332325,"FALSE",0.0988261236909351,"TRUE",-0.378902301902297,"TRUE",0.768835107908773,"FALSE",0.0903578141066257,114536.248741748,46419.876051459,5.13236919664205e-05,-0.00325730553829537,0.753215958918445,"FALSE",-0.410139688620662,"FALSE",1.72430486798922,"TRUE",-0.214794982402542,"TRUE",-0.157548955618557,"FALSE",0.988716248919841,"FALSE",0.0424935341879477,"TRUE",-0.410139688620662,"FALSE",0.753215958918445,"FALSE"
"6","ko",6,"Harv2",3,4.2041939496994,2000,0,0,0,0.0949685312338768,139816.288899707,98949.4215693303,6.63338546542367e-05,-0.00539548466245551,0.794935576907885,"FALSE",-0.0098600476381054,"TRUE",1.24562096281884,"TRUE",-0.0397539830482759,"TRUE",0.128091820897814,"TRUE",-0.0880830099499987,"FALSE",0.748740452588129,"FALSE",-0.00986004763810529,"TRUE",0.794935576907885,"FALSE",0.0917258559416967,129093.409981899,69925.6007794071,1.34330742533136e-05,-0.00178970295663298,0.86129960300171,"FALSE",-0.209321699951907,"TRUE",-0.578493447154758,"TRUE",0.239974687240312,"TRUE",0.186311951096053,"TRUE",0.144549793799032,"FALSE",0.463141843980426,"TRUE",-0.209321699951907,"TRUE",0.861299603001709,"FALSE",0.0935611372411675,109311.92885435,51722.5519551771,0.000178456330640735,-0.00549669541517453,0.901111148575818,"FALSE",-0.403735010580186,"FALSE",-0.562091197837558,"TRUE",0.0291774834649721,"TRUE",-0.144124747111679,"TRUE",0.864948352192998,"FALSE",0.137506995891757,"TRUE",-0.403735010580186,"FALSE",0.901111148575817,"FALSE"
"7","ko",7,"Harv2",3,3.02299734751383,2000,0,0,0,0.0916435721418127,174529.718005903,101585.708430098,4.24817441229445e-05,-0.000838604939953154,0.852216134648251,"FALSE",-0.0826333223984041,"TRUE",-0.863798628927303,"TRUE",0.140413061394621,"TRUE",0.0800630368535597,"TRUE",0.073241948621648,"FALSE",0.700399616513154,"FALSE",-0.082633322398404,"TRUE",0.852216134648251,"FALSE",0.0950136162340894,173629.420933265,95567.6247692075,0.000103980228613631,-0.00222348276656879,0.842350098434256,"FALSE",-0.0699212007024575,"TRUE",-1.80532169497237,"TRUE",-0.0130618088768904,"TRUE",-0.138845322832402,"TRUE",0.274374151621334,"FALSE",0.723273347273112,"FALSE",-0.0699212007024576,"TRUE",0.842350098434256,"FALSE",0.0964377081314862,172973.99437278,121178.875611002,2.40162222365381e-05,-0.00114200149618317,1.11162875673376,"FALSE",0.375613106097053,"TRUE",-1.20396614878025,"TRUE",0.0291255981595224,"TRUE",0.0876689337685782,"TRUE",-0.309014014576567,"FALSE",1.88324110947913,"FALSE",0.375613106097054,"TRUE",1.11162875673376,"FALSE"
"8","ko",8,"Harv2",3,3.56271340052287,2000,0,0,0,0.0913776423908174,112455.448634143,63074.1508481462,8.13517686425752e-05,-0.00324167734606142,0.79194976155105,"FALSE",-0.17136875863274,"TRUE",1.60195055200462,"TRUE",0.0159738150383566,"TRUE",0.0484672282421144,"TRUE",0.104048038132068,"FALSE",0.487475768891819,"FALSE",-0.17136875863274,"TRUE",0.79194976155105,"FALSE",0.0947874070962502,149289.427831556,106937.126107969,3.0550459905747e-05,-0.00271344895812109,0.970989416557732,"FALSE",0.299401481385914,"TRUE",-2.58260936773682,"TRUE",0.0909674235596363,"TRUE",0.204573769756922,"FALSE",-0.333668608124418,"FALSE",1.53801203781523,"FALSE",0.299401481385914,"TRUE",0.970989416557732,"FALSE",0.0875183547486614,141982.425664714,70503.0205142117,1.38695530314679e-05,-0.00010171511609852,0.728129548851791,"FALSE",-0.230576458432463,"TRUE",-1.0227547000453,"TRUE",-0.130060050432424,"TRUE",0.0588331547734746,"TRUE",0.199456285849709,"FALSE",0.325944861564378,"TRUE",-0.230576458432463,"TRUE",0.728129548851791,"FALSE"
"9","ko",9,"Harv2",3,2.89602118333181,2000,0,0,0,0.0875866448024083,113224.690351982,52092.4989417619,8.25437067750812e-05,0.000221339997351342,0.729849578408518,"FALSE",-0.369430789237981,"FALSE",-0.971954160078017,"TRUE",-0.0381489226772142,"TRUE",-0.149463028216318,"TRUE",0.826541480756968,"FALSE",0.0956873830802932,"TRUE",-0.369430789237981,"FALSE",0.729849578408518,"FALSE",0.0940912328756802,213516.794629521,130745.712831383,5.95196247858942e-05,0.00163290299587597,0.871205938542341,"FALSE",0.158911355936218,"TRUE",-0.699586202329799,"TRUE",-0.0734970874908599,"TRUE",0.0396336813743864,"TRUE",-0.196740517028704,"FALSE",1.15940376454656,"FALSE",0.158911355936218,"TRUE",0.871205938542341,"FALSE",0.0928533675468121,134668.260545273,85590.5469287574,5.43251513107234e-05,-0.00461285293220546,0.873634578883399,"FALSE",0.137374471072475,"TRUE",-4.58039363587196,"TRUE",-0.00543502752340596,"TRUE",-0.0209481240717806,"TRUE",-0.0992004786505061,"FALSE",1.12371188855314,"FALSE",0.137374471072475,"TRUE",0.8736345788834,"FALSE"
"10","ko",10,"Harv2",3,4.01106203397115,2000,0,0,0,0.0907756574408871,128759.564480747,69543.535195374,4.51448151927538e-05,-0.00267378506982808,0.896696511249301,"FALSE",-0.347844072810464,"TRUE",0.293072272504926,"TRUE",-0.0860192394780379,"TRUE",0.0775537200976488,"TRUE",0.339799012079946,"FALSE",0.2278969444015,"TRUE",-0.347844072810464,"TRUE",0.896696511249301,"FALSE",0.0912430161892883,118071.389703103,67037.4412329088,2.6707748121317e-05,-0.00471651426728045,0.771625560667748,"FALSE",-0.0413308726324982,"TRUE",-1.71701649390927,"TRUE",0.0216665305508385,"TRUE",0.00677449955892201,"TRUE",0.0308069386552508,"FALSE",0.707309686211737,"FALSE",-0.0413308726324981,"TRUE",0.771625560667748,"FALSE",0.0880750421563294,81431.0552759124,35931.8016459884,0.000153888179896108,-0.00546454134984361,0.751014182840866,"FALSE",-0.45399153864895,"FALSE",-0.640868750824162,"TRUE",0.06922754395665,"TRUE",0.0428800756217107,"TRUE",0.761086356284785,"FALSE",-0.0456075822186312,"TRUE",-0.45399153864895,"FALSE",0.751014182840866,"FALSE"
