"","iter","harv_hist","Hmax","r_1","K_1","MSY_t_1","HMSYs_t_1","Bmsy_t_1","Fmsy_t_1","r_2","K_2","MSY_t_2","HMSYs_t_2","Bmsy_t_2","Fmsy_t_2","r_3","K_3","MSY_t_3","HMSYs_t_3","Bmsy_t_3","Fmsy_t_3","pe_med_1","pe_absmed_1","true_term_bio1","true_ss1","true_tot_cont1","true_reb_cont1","true_reb_len1","q1","pe_med_2","pe_absmed_2","true_term_bio2","true_ss2","true_tot_cont2","true_reb_cont2","true_reb_len2","q2","pe_med_3","pe_absmed_3","true_term_bio3","true_ss3","true_tot_cont3","true_reb_cont3","true_reb_len3","q3","obs_tot_bio_cont1","obs_reb_bio_cont1","obs_reb_bio_len1","obs_tot_ind_cont1","obs_reb_ind_cont1","obs_reb_ind_len1","Depl_1","obs_tot_bio_cont2","obs_reb_bio_cont2","obs_reb_bio_len2","obs_tot_ind_cont2","obs_reb_ind_cont2","obs_reb_ind_len2","Depl_2","obs_tot_bio_cont3","obs_reb_bio_cont3","obs_reb_bio_len3","obs_tot_ind_cont3","obs_reb_ind_cont3","obs_reb_ind_len3","Depl_3"
"1",1,"Harv5",3,0.0523809849067698,110241.811885498,1944.08290817847,0.0176347147686367,44096.7247541994,0.0440867869215918,0.0498964565256597,139390.785223804,2341.52365043797,0.0167982671643498,55756.3140895218,0.0419956679108745,0.0493374013167444,181004.399200901,3006.49288564282,0.0166100542247365,72401.7596803606,0.0415251355618412,0.0190056517312122,0.0458500447701031,90383.8012630138,0.819868611710501,0.465356286402619,0.147496486376644,41,2.46805903199129e-05,-0.0017707648461955,0.0267253843454004,146937.656651903,1.05414182448274,1.1944892198555,1.1944892198555,18,4.48728109360673e-05,-0.00522802135782312,0.0340723008279629,140420.452513327,0.775784749615235,0.536784538795152,0.0968531266685188,15,9.18218854744919e-05,1.20590859723446,0.829006134077647,36,0.56474021409719,0.0727938110367403,13,0.819868611710501,2.56739311970015,1.98330248789712,17,1.60556115698812,1.60556115698812,16,1.05414182448274,1.38668026069876,0.0516521895704167,11,0.586532853715068,0.0980818453719054,19,0.775784749615235
"2",2,"Harv5",3,0.0515222466815762,124762.008478865,2164.07311535816,0.0173456097873316,49904.803391546,0.0433640244683291,0.0484941205590621,189216.877892613,3089.18373527278,0.0163261531935116,75686.7511570454,0.040815382983779,0.0505196501736781,178623.835928738,3038.04726119651,0.0170080731129777,71449.5343714952,0.0425201827824442,-0.0141076255457236,0.0353970583926155,76802.3017961043,0.615590456842595,1.49220353316203,0.523362450258663,13,3.3764847482089e-05,-1.57775442740078e-05,0.0412853081002199,152565.756628064,0.806300993480351,1.25931423079131,0.784414499034807,24,8.18289942806587e-05,0.0123786120942032,0.0390215099755944,182588.893721233,1.02219780899833,0.846764457860546,0.698470317816764,20,8.12399572087452e-05,2.07970615236701,1.1011623345953,17,1.62293901110877,0.562169519055345,13,0.615590456842595,2.23421517826121,0.675971933272536,22,1.54572189701477,1.06358985082822,24,0.806300993480351,1.25602880294632,0.928620322745199,38,0.797409964601309,0.570678792623756,19,1.02219780899833
"3",3,"Harv5",3,0.0473012089549617,124646.976776421,1984.94633567863,0.0159245445578598,49858.7907105684,0.0398113613946494,0.0493401367884333,118764.93699383,1972.80141775486,0.016610975155549,47505.974797532,0.0415274378888726,0.0519155892462886,172708.270163275,3018.60092979597,0.0174780334893184,69083.3080653101,0.043695083723296,-0.00623700590625693,0.0343262612371614,74403.6793518651,0.596915234336752,1.17567069807997,0.136329895284431,5,4.50501188659109e-05,-0.00337655470254438,0.0405247373493501,105511.369245192,0.888405045427451,0.975790126089633,0.529469999731491,23,1.39152034628205e-05,0.00988467769877683,0.0322968215105439,135780.400186626,0.78618354557232,0.777662929715528,0.196142106363868,20,5.02612351975404e-05,1.98551678271918,0.72032467275653,5,1.34765213370608,0.205041519566326,5,0.596915234336752,2.66969167721897,0.632329628794813,25,1.02613719736293,0.548792797799617,20,0.888405045427451,1.96607189676709,1.11177875902386,24,0.899111617569519,0.285442571717456,16,0.78618354557232
"4",4,"Harv5",3,0.0499403003997315,126209.675124846,2121.96677067309,0.0168130277538077,50483.8700499386,0.0420325693845192,0.048355216485508,143740.540277213,2340.0082273132,0.0162793893970368,57496.2161108851,0.0406984734925921,0.0506484127957305,139384.319586679,2376.70094583341,0.017051422662758,55753.7278346717,0.042628556656895,-0.0236068067817196,0.0377696401215576,69143.1352156555,0.547843381636623,1.83664789238811,0.478193802416796,15,9.48643628531136e-05,-0.00021166733056876,0.0436304015678319,98542.9908130153,0.685561572420479,1.02812513201879,0.314961762914414,25,4.8099824169185e-05,-0.00954230148404439,0.0261862579847463,82658.3125221095,0.593024471957956,1.25230624793876,0.319070759905838,24,6.64469012152404e-05,2.36822221785249,0.990011414201302,18,2.17081467770264,0.712248334746986,14,0.547843381636623,3.24582692996956,0.496727356767874,11,1.11298962129561,0.364164784579621,25,0.685561572420479,1.75373120733639,0.381457892573435,21,1.3741464337567,0.381518415780011,17,0.593024471957956
"5",5,"Harv5",3,0.0508265300967137,115274.394885637,1972.5049069774,0.0171113880834882,46109.7579542547,0.0427784702087205,0.0522623297919593,118555.050203577,2085.94860804056,0.0175947680377907,47422.0200814307,0.0439869200944767,0.0509151628490714,196969.905495644,3376.30594300953,0.0171412274099111,78787.9621982574,0.0428530685247778,-0.0107123803158763,0.0382120016190854,96305.765323897,0.835448023122927,1.1623431638084,0.73157557311177,23,9.03623210801743e-05,0.000277765966316313,0.0258079253422383,91249.0011543773,0.769676205253923,1.059441497142,0.585103116462717,20,2.92400011909194e-05,-0.00955023077932093,0.0463706567056959,143278.257245069,0.727411920539496,0.774295800926728,0.290643916157274,17,7.18736882740632e-05,1.618426218776,0.505743753600299,29,1.27797113074124,0.876787196227552,24,0.835448023122927,1.94696752073404,0.893452222034848,22,1.02456343400954,0.746396290683727,22,0.769676205253923,1.37126376054267,0.387209432067,36,0.746930581327645,0.345966595851242,24,0.727411920539496
"6",6,"Harv5",3,0.0494856547172448,168650.140613317,2809.7055392402,0.0166599655892509,67460.056245327,0.0416499139731273,0.0500599718425303,178000.850696117,2999.90469971915,0.016853316644203,71200.3402784467,0.0421332916105074,0.0485838360933423,178456.527250819,2918.89867798029,0.0163563570520332,71382.6109003276,0.0408908926300831,-0.0108178167313954,0.0350958372787325,98645.4441864516,0.584911722146895,1.15592590468318,0.187781453499437,23,9.78861085372046e-05,0.00324590632600652,0.0400132363475847,144988.621800691,0.814538926267358,0.869618775427278,0.480747646769256,24,2.07622022368014e-05,-0.0053009801939819,0.0207487288148272,107987.888228301,0.605121537955992,0.830467683965375,0.10765542009987,19,9.54655782436021e-05,2.30322701731247,0.694048051963016,22,1.55877442649067,0.38251578944457,23,0.584911722146895,1.64915457792079,1.01226829824621,26,1.02030802906542,0.533416021546084,24,0.814538926267358,1.65355095682477,0.742226354407542,21,1.00717580764614,0.133851705958879,19,0.605121537955992
"7",7,"Harv5",3,0.0507635331840762,183790.966100059,3141.02057974593,0.0170901793836586,73516.3864400238,0.0427254484591465,0.0501562158242124,128831.899352372,2175.4191716398,0.0168857183863272,51532.7597409487,0.042214295965818,0.0489827660788128,102596.597233787,1691.88578981049,0.0164906618292143,41038.6388935149,0.0412266545730357,0.00124137063714255,0.0341975235292851,199019.233748756,1.08285645356696,0.769111757028386,0.731223609949001,23,2.58504767692648e-05,-0.0109015251543697,0.04383929558808,91322.0870794687,0.708846858103761,0.822640146335221,0.193141206452078,25,2.91746215079911e-05,-0.0144053735571706,0.0332952701395591,64254.64156323,0.626284333941531,1.24541358916016,0.400519380812587,18,8.35733041842468e-05,1.64041454017529,0.815722079430534,14,0.967992069403599,0.851157087261548,23,1.08285645356696,1.86338494545661,0.243653318164792,24,0.953445469360977,0.305767058780699,24,0.708846858103761,1.85928222782712,0.452600086136347,11,1.26050212046391,0.287439784761977,19,0.626284333941531
"8",8,"Harv5",3,0.0507826028500395,106047.0856959,1813.044544395,0.0170965994255993,42418.83427836,0.0427414985639982,0.0499473206714417,136494.041979313,2295.20071456597,0.0168153912162249,54597.6167917252,0.0420384780405623,0.0477608002024011,183334.6683532,2947.88794609624,0.0160792717088131,73333.86734128,0.0401981792720328,-0.00123286951352636,0.0270038050521917,75044.4181695362,0.707651866876692,0.695632502542589,0.16994216132021,32,1.41342020779848e-05,-0.00774721723775027,0.0403752994537299,113405.356541372,0.830844737959767,1.06813478053117,0.718298899795899,12,6.42282981355675e-05,0.00156871048217523,0.0369218288566326,139456.994776915,0.760668977829367,0.728930227594163,0.29578373535947,8,5.78217339655384e-05,1.35537851587164,0.455584179463353,3,1.01101465360021,0.145436585144864,33,0.707651866876692,2.53273514919871,1.12165253829445,12,1.26993605375735,0.851965639665024,13,0.830844737959767,2.00904405674662,0.716953860706047,5,0.967092216795194,0.262803969461063,11,0.760668977829367
"9",9,"Harv5",3,0.0493980483227009,194273.478141986,3230.85959954241,0.0166304717990436,77709.3912567943,0.041576179497609,0.0485115278443908,112852.519960143,1843.10888787018,0.0163320135741863,45141.0079840571,0.0408300339354657,0.0516780099414545,194833.074160852,3389.71545681423,0.0173980494400849,77933.2296643406,0.0434951236002123,0.00684732192691732,0.030539851613802,153762.849022661,0.791476276088922,0.887997579132441,0.455742716315905,24,7.7997268831823e-05,-0.00610834393766728,0.0294559822683613,80482.5036939066,0.713165321628011,0.967604228544599,0.332463507616001,21,7.45455540623516e-05,0.00307639758259372,0.0327525827967225,152952.394891647,0.785043276406814,0.660938724871996,0.302503574329241,21,6.97573770605959e-05,1.19784970920055,0.54909184422032,19,1.12662195542971,0.423360814893396,24,0.791476276088922,1.73952189078383,0.435494339685595,16,1.24853847649802,0.426483996159983,11,0.713165321628011,1.21967618190271,0.511506214065131,35,0.974039175545146,0.50649346601724,21,0.785043276406814
"10",10,"Harv5",3,0.0489411122886516,156338.881095871,2575.93923652594,0.0164766385589411,62535.5524383485,0.0411915963973527,0.050938701254746,172426.494932733,2956.96815474778,0.0171491519090575,68970.5979730934,0.0428728797726438,0.0537143456872541,122401.019651443,2213.45198216439,0.0180836073789872,48960.4078605771,0.045209018447468,0.00649366774379147,0.0238223630199782,159057.77460234,1.01739102574747,0.805702326517399,0.747114171383424,28,8.42899337504059e-05,0.00399920114749641,0.0274537872069696,149951.645909388,0.869655478225006,0.747700562866019,0.466590539059469,19,3.2418812320102e-05,-0.007129282187952,0.0418440971301005,80132.5461653166,0.654672211011864,1.02231187583904,0.230155990815689,22,8.68036081944592e-05,1.76594649506089,1.10992511969238,17,0.914233581723439,0.826207389164443,31,1.01739102574747,2.09931729477741,1.36755211750923,19,0.774474540090395,0.590036126613577,16,0.869655478225006,1.82514142169732,0.194665484220418,28,1.27969650246814,0.408219699222645,25,0.654672211011864
"11",11,"Harv5",3,0.0491885205842147,123094.835923985,2038.44207072757,0.0165599316610356,49237.9343695939,0.0413998291525889,0.0494405928221759,159325.593267567,2651.94182827652,0.0166447949377657,63730.237307027,0.0416119873444142,0.0510618109978555,131152.12933626,2254.58357768499,0.0171905983463255,52460.8517345041,0.0429764958658138,-0.00733818285996943,0.0301902930415737,93090.8672683175,0.756253230036428,1.12793018492873,0.526168530861141,21,4.68843609956093e-05,-0.000247754220777465,0.0216894161807508,110495.372598429,0.693519291736549,1.11246616703622,0.394656819347085,17,7.22794912010431e-05,-0.000347970476412558,0.0321405404154623,111387.632768554,0.849300986055418,0.730869687699667,0.47002933249676,28,3.39284438756295e-05,2.79685416009773,1.17939111824131,25,1.35611132640983,0.546101707992735,21,0.756253230036428,2.084950232172,0.209095095099938,23,1.42463139426301,0.38590681575269,17,0.693519291736549,1.03291343657405,0.684823098320759,26,1.01906586903679,0.505889905133393,29,0.849300986055418
"12",12,"Harv5",3,0.0479865998032045,148890.302656218,2405.36601359608,0.0161552899731151,59556.1210624874,0.0403882249327878,0.0483637092322325,188611.718732864,3071.02289075701,0.016282248586614,75444.6874931455,0.0407056214665351,0.0510984070135224,114348.635007627,1967.13028903947,0.0172029188534543,45739.4540030509,0.0430072971336357,-0.000563202793163544,0.0232001650876642,122121.906823518,0.820213973944915,0.83206797641744,0.4421038643032,19,8.30155126051977e-05,-0.000379251900517076,0.0341644659661793,148725.801974373,0.78852895765728,0.601131270683284,0.208244454590766,27,4.15323191392235e-05,0.00491791302107538,0.0368161228157793,133009.407004169,1.1631919086336,0.945718203909019,0.829310478994312,25,4.01558997458778e-05,0.94864462815042,0.734417464719334,13,1.06410971526783,0.484604673400194,19,0.820213973944915,1.19991236466285,0.553239682463987,38,0.675497173322106,0.281808405599483,27,0.78852895765728,1.07931879589274,1.07931879589274,28,0.981301008021263,0.939797759414841,29,1.1631919086336
"13",13,"Harv5",3,0.0485353917678674,180866.022198461,2955.3594233362,0.0163400476629786,72346.4088793844,0.0408501191574465,0.0473729016282275,156188.438087702,2490.99954284299,0.0159486807944405,62475.3752350807,0.0398717019861013,0.049858936374795,135953.483590856,2282.06562534172,0.0167856355355296,54381.3934363425,0.0419640888388241,-0.00475601581408026,0.0298612678329562,123003.14164895,0.680078768548252,0.745184331106446,0.104898487312671,14,3.5106133101508e-05,0.00672228988866652,0.0340751946827123,137799.18935127,0.882262419923132,1.08161616788212,0.641376808945138,23,6.1801207640674e-05,-0.0037308791898348,0.0338663458380534,126266.940549243,0.928751049360648,0.720194100457288,0.597632075903702,26,4.43165390170179e-05,1.46535663985122,0.652171582503211,16,0.829245866847001,0.140043430696515,13,0.680078768548252,2.6853552693657,1.08415006142267,25,1.41700989772722,0.752928471113664,25,0.882262419923132,1.4291422260825,1.15380932247557,29,0.835724166633873,0.79191990912436,27,0.928751049360648
"14",14,"Harv5",3,0.0501635113986012,178118.64851974,3008.09882375495,0.0168881745328401,71247.4594078958,0.0422204363321001,0.0507527918917197,167974.590067752,2870.10844801525,0.0170865631930259,67189.8360271007,0.0427164079825647,0.0509489281888233,111721.438751556,1916.31258440856,0.017152594934532,44688.5755006224,0.0428814873363299,-0.00314868386701551,0.0310821244732731,123604.41015099,0.693944239854772,0.869649909656025,0.297432785350793,25,9.77437744126655e-05,0.0070735641438435,0.0294708846304976,136448.899961801,0.812318695981129,0.862156717583056,0.240975110921154,9,7.24102112557739e-05,-0.00188550192206746,0.0412402066569423,82786.6870107717,0.741009853935655,1.0204351361112,0.445514548089361,25,4.14919718843885e-05,1.36889677822871,0.343490797176877,23,0.969090412563518,0.412598369500472,25,0.693944239854772,2.33139841262381,0.851983678363021,9,1.07530139853395,0.28314108730652,12,0.812318695981129,2.26104901028798,0.727006550426101,25,1.26230484042126,0.391261185152054,24,0.741009853935655
"15",15,"Harv5",3,0.0487975346470937,111048.630275764,1824.34036236959,0.01642830134725,44419.4521103054,0.0410707533681249,0.0494821189633396,118281.5954322,1970.42651255353,0.0166587752334048,47312.6381728798,0.0416469380835119,0.0502255123150842,114019.212685525,1927.9563308821,0.016909047918087,45607.6850742102,0.0422726197952175,0.00446845293720996,0.0364250981821179,85879.6050646814,0.773351322311849,0.459696912673908,0.128858537590891,25,2.79249359667301e-05,-0.00887031797297693,0.0275169668078068,100400.858633187,0.848829086776551,1.19396539106178,0.724446324440387,22,1.86208953917958e-05,-0.0133152960336928,0.0441571631286904,69960.4226496858,0.61358450915323,1.34860309901643,0.44106647970575,13,5.15261349827051e-05,0.906923606068334,0.647210023618561,21,0.562966644004879,0.284344541149219,1,0.773351322311849,2.08395363997083,1.18906983116874,21,1.12840286147215,0.712243850484319,21,0.848829086776551,2.43546955787143,0.465503911214022,10,1.57166335399173,0.511914763859611,14,0.61358450915323
"16",16,"Harv5",3,0.0511367420896926,159760.368219577,2750.40651517682,0.0172158248370874,63904.1472878307,0.0430395620927186,0.0482774718250201,109085.304872133,1772.98698794806,0.0162532156831418,43634.1219488531,0.0406330392078546,0.0475139788895506,127651.509386487,2041.93603912529,0.0159961762218022,51060.6037545949,0.0399904405545056,0.000195326417609659,0.0362553623078993,122456.752556067,0.766502693507568,0.677941844093842,0.286146943046986,18,6.83131862920709e-05,0.0167128819809446,0.0399266220600941,129466.377023625,1.18683609286679,0.673394379743592,0.61941771326422,13,8.40250105410814e-05,0.00778795429761997,0.0405674744677271,96040.6666707554,0.752366087423028,1.10138316894089,0.137350003918828,1,9.87555405963212e-05,2.02011565307415,0.638123289246543,23,0.770425443355996,0.2129798873063,18,0.766502693507568,1.48495879485033,0.994802003555784,13,0.732325755155422,0.692393056073301,14,1.18683609286679,1.55062179884343,0.037263180911488,4,1.10171956163174,0.15648750822472,2,0.752366087423028
"17",17,"Harv5",3,0.050123939987429,174132.576375268,2938.461510702,0.0168748523215404,69653.0305501074,0.0421871308038509,0.0502636108410523,124416.614044458,2105.36229922926,0.0169218742641312,49766.6456177831,0.0423046856603281,0.0478319163754233,126550.108753145,2037.86346517777,0.0161032138593648,50620.0435012579,0.0402580346484121,-0.0106410915564296,0.0313928622173737,114361.606914378,0.656750214663568,0.829362308242658,0.201434088635805,29,8.12598629714921e-05,-0.00142690698328137,0.0255917276332927,102476.673934742,0.823657473093783,0.953106849103704,0.580550193584788,24,1.29110665502958e-05,-0.0112830366538337,0.0265975664780587,72009.3875743437,0.569018772751978,1.05191900466781,0.135294282119554,21,6.26758583984338e-05,1.41352291068369,1.10507957400066,8,1.0023649528586,0.309270591228041,18,0.656750214663568,1.82748344256714,0.98951307002236,33,1.11650940950085,0.837844069195317,23,0.823657473093783,3.05666856442643,0.867896643032908,25,1.43315395163688,0.260879907206079,21,0.569018772751978
"18",18,"Harv5",3,0.0512041248367184,183533.420041203,3163.84271194908,0.0172385100830072,73413.3680164814,0.0430962752075179,0.0479764290718132,161067.606252618,2601.5423720298,0.016151865868979,64427.0425010473,0.0403796646724474,0.0511893409314561,132654.56079971,2286.10673735899,0.0172335328960961,53061.8243198842,0.0430838322402402,0.00321150436387931,0.0227002944939249,136524.846808519,0.743869137173321,0.738748710701281,0.261795980284899,22,5.62688321131282e-05,0.00459268510146703,0.0370882397418746,141894.042122269,0.880959526397398,0.92826997044225,0.571711077228527,24,3.73865708010271e-05,0.000362805368262664,0.0320954364049355,94178.7902539434,0.709955162387066,0.752648834205937,0.244302087696178,11,5.63605752284639e-05,3.73466650965282,1.36872908449807,22,0.882721826581433,0.159515696490239,22,0.743869137173321,1.47915716700493,1.0500454146547,16,0.998352528017456,0.506224728977939,24,0.880959526397398,1.25547631360169,0.350506166440231,12,0.984865504533338,0.344150276063068,23,0.709955162387066
"19",19,"Harv5",3,0.0505223249118735,198773.70253671,3380.93665824447,0.0170089735970988,79509.4810146838,0.042522433992747,0.0483257676217928,166693.699383177,2712.01898613198,0.0162694750681482,66677.4797532707,0.0406736876703704,0.052332836074178,131516.488036141,2317.12388376153,0.017618504860963,52606.5952144563,0.0440462621524075,-0.0064583752858416,0.0283565763021417,139970.50272649,0.704170123815247,1.05986364420992,0.433618072383194,17,9.06520924833603e-05,-0.00171115220837835,0.0321596155249587,130294.220031176,0.781638541308453,0.847981445288279,0.370663977566394,23,4.10449280659668e-05,-0.00543302784275473,0.0295018586860024,102394.938144305,0.778571110537612,0.776115375899456,0.382832120656967,16,1.0827737916261e-05,1.97000778897728,0.881218844081046,15,1.17436005868073,0.654869862331494,17,0.704170123815247,2.3736048693072,0.900284961788032,23,0.969767108769347,0.543110686383541,14,0.781638541308453,2.08198535816443,0.638773164664235,26,0.869842824266986,0.494577143760486,18,0.778571110537612
"20",20,"Harv5",3,0.0518512189032385,163044.556207024,2846.16486162766,0.0174563624069348,65217.8224828094,0.043640906017337,0.0511288939389281,107913.518766873,1857.53510988967,0.0172131826588153,43165.407506749,0.0430329566470383,0.0500552009698165,183446.275535971,3091.38352215717,0.016851710470137,73378.5102143884,0.0421292761753426,-0.00449641489889845,0.0379195389592102,139985.509394144,0.85857211458443,1.05036238235014,0.760383966278734,22,5.97785927564837e-05,0.0104782923106493,0.0419871165293759,93785.562340352,0.869080754775113,0.774744540312798,0.388385572281528,21,2.74466991052032e-05,-0.00485246768526555,0.0291798141766102,117020.681341761,0.637901647225401,1.03124679444708,0.241832822738857,13,7.4537264527753e-05,1.98692626924708,0.792296910236003,23,1.28669055796343,0.855514097428508,22,0.85857211458443,1.77075070123731,0.781523608852702,26,1.01337129955169,0.376527496503828,25,0.869080754775113,2.44186522201498,0.926765698525299,12,1.31104630842537,0.282351350932853,15,0.637901647225401
