OBJECTID,Shape_Length,Dive
1,1023.948553040573984,1
2,1004.792434849904794,2
3,1009.670196127568033,3
4,1017.160467631156280,4
5,1021.796882389979942,5
6,1010.163620231764298,6
7,1009.148211667573719,7
8,1036.393398216738660,8
9,1014.587869212864007,9
10,1013.685790765658794,10
11,1030.687030397116587,11
12,1037.500911401786425,12
13,1017.608520045603996,13
14,1013.265597723549945,14
15,1014.387213377421517,15
16,1003.108963091130590,16
17,1011.111354778306577,17
18,1024.298417293030525,18
19,1038.696764056662005,19
20,1017.974145231554189,20
21,1026.052563866412584,21
22,1011.719079512588564,22
23,1007.802617671257508,23
24,1078.722758217395494,24
25,1023.489839693177828,25
26,1017.082532429848470,26
27,1024.133344024990947,27
28,1015.319493152080668,28
29,1015.644710970610618,29
30,1014.037989725413809,30
31,1010.894755557484586,31
32,1012.210734911098257,32
33,1026.183494638958791,33
