"","Seconds","Dive","x","y","Family"
"1",33360,1,459221.83,6305192.53,"Good"
"2",33361,1,459221.58,6305190.58,"Good"
"3",33362,1,459221.58,6305190.58,"Good"
"4",33363,1,459221.58,6305190.58,"Good"
"5",33364,1,459221.58,6305190.58,"Good"
"6",33365,1,459221.58,6305190.58,"Good"
"7",33366,1,459221.48,6305190.32,"Good"
"8",33367,1,459221.48,6305190.32,"Good"
"9",33368,1,459221.48,6305190.32,"Good"
"10",33369,1,459221.06,6305188.41,"Good"
"11",33370,1,459221.06,6305188.41,"Good"
"12",33371,1,459221.06,6305188.41,"Good"
"13",33372,1,459221.06,6305188.41,"Good"
"14",33373,1,459221.06,6305188.41,"Good"
"15",33374,1,459220.77,6305187.79,"Good"
"16",33375,1,459220.77,6305187.79,"Good"
"17",33376,1,459220.77,6305187.79,"Good"
"18",33377,1,459219.55,6305185.12,"Good"
"19",33378,1,459219.55,6305185.12,"Good"
"20",33379,1,459219.55,6305185.12,"Good"
"21",33380,1,459219.55,6305185.12,"Good"
"22",33381,1,459219.55,6305185.12,"Good"
"23",33382,1,459219.55,6305185.12,"Good"
"24",33383,1,459219.55,6305185.12,"Good"
"25",33384,1,459217.27,6305183.79,"Good"
"26",33385,1,459217.27,6305183.79,"Good"
"27",33386,1,459217.27,6305183.79,"Good"
"28",33387,1,459217.27,6305183.79,"Good"
"29",33388,1,459217.27,6305183.79,"Good"
"30",33389,1,459217.27,6305183.79,"Good"
"31",33390,1,459217.27,6305183.79,"Good"
"32",33391,1,459217.27,6305183.79,"Good"
"33",33392,1,459217.27,6305183.79,"Good"
"34",33393,1,459217.27,6305183.79,"Good"
"35",33394,1,459214.52,6305181.74,"Good"
"36",33395,1,459214.52,6305181.74,"Good"
"37",33396,1,459214.52,6305181.74,"Good"
"38",33397,1,459211.93,6305179.45,"Good"
"39",33398,1,459211.93,6305179.45,"Good"
"40",33399,1,459211.93,6305179.45,"Good"
"41",33400,1,459211.93,6305179.45,"Good"
"42",33401,1,459211.93,6305179.45,"Good"
"43",33402,1,459211.93,6305179.45,"Good"
"44",33403,1,459208.92,6305177.2,"Good"
"45",33404,1,459208.92,6305177.2,"Good"
"46",33405,1,459208.92,6305177.2,"Good"
"47",33406,1,459209.76,6305177.99,"Good"
"48",33407,1,459209.76,6305177.99,"Good"
"49",33408,1,459209.76,6305177.99,"Good"
"50",33409,1,459209.76,6305177.99,"Good"
"51",33410,1,459206.57,6305175.88,"Good"
"52",33411,1,459206.57,6305175.88,"Good"
"53",33412,1,459206.57,6305175.88,"Good"
"54",33413,1,459204.98,6305175.4,"Good"
"55",33414,1,459204.98,6305175.4,"Good"
"56",33415,1,459204.98,6305175.4,"Good"
"57",33416,1,459203.06,6305175.92,"Good"
"58",33417,1,459203.06,6305175.92,"Good"
"59",33418,1,459203.06,6305175.92,"Good"
"60",33419,1,459203.51,6305175.22,"Good"
"61",33420,1,459203.51,6305175.22,"Good"
"62",33421,1,459203.51,6305175.22,"Good"
"63",33422,1,459201.55,6305175.25,"Good"
"64",33423,1,459201.55,6305175.25,"Good"
"65",33424,1,459201.55,6305175.25,"Good"
"66",33425,1,459201.38,6305175.31,"Good"
"67",33426,1,459201.38,6305175.31,"Good"
"68",33427,1,459201.38,6305175.31,"Good"
"69",33428,1,459200.95,6305173.95,"Good"
"70",33429,1,459200.95,6305173.95,"Good"
"71",33430,1,459200.95,6305173.95,"Good"
"72",33431,1,459200.95,6305173.95,"Good"
"73",33432,1,459200.95,6305173.95,"Good"
"74",33433,1,459198.64,6305173.62,"Good"
"75",33434,1,459198.64,6305173.62,"Good"
"76",33435,1,459200.05,6305174.34,"Good"
"77",33436,1,459200.05,6305174.34,"Good"
"78",33437,1,459200.05,6305174.34,"Good"
"79",33438,1,459196.34,6305173.05,"Good"
"80",33439,1,459196.34,6305173.05,"Good"
"81",33440,1,459196.34,6305173.05,"Good"
"82",33441,1,459198.46,6305172.82,"Good"
"83",33442,1,459198.46,6305172.82,"Good"
"84",33443,1,459198.46,6305172.82,"Good"
"85",33444,1,459194.6,6305171.76,"Good"
"86",33445,1,459194.6,6305171.76,"Good"
"87",33446,1,459194.6,6305171.76,"Good"
"88",33447,1,459196.82,6305171.79,"Good"
"89",33448,1,459196.82,6305171.79,"Good"
"90",33449,1,459196.82,6305171.79,"Good"
"91",33450,1,459194.66,6305170.27,"Good"
"92",33451,1,459194.66,6305170.27,"Good"
"93",33452,1,459194.66,6305170.27,"Good"
"94",33453,1,459194.66,6305170.27,"Good"
"95",33454,1,459194.66,6305170.27,"Good"
"96",33455,1,459194.66,6305170.27,"Good"
"97",33456,1,459193.39,6305170.11,"Good"
"98",33457,1,459193.39,6305170.11,"Good"
"99",33458,1,459193.39,6305170.11,"Good"
"100",33459,1,459194.06,6305168.79,"Good"
"101",33460,1,459194.06,6305168.79,"Good"
"102",33461,1,459194.06,6305168.79,"Good"
"103",33462,1,459191.24,6305168.03,"Good"
"104",33463,1,459191.24,6305168.03,"Good"
"105",33464,1,459191.24,6305168.03,"Good"
"106",33465,1,459191.75,6305166.79,"Good"
"107",33466,1,459191.75,6305166.79,"Good"
"108",33467,1,459189.5,6305166.3,"Good"
"109",33468,1,459189.5,6305166.3,"Good"
"110",33469,1,459189.5,6305166.3,"Good"
"111",33470,1,459189.62,6305165.89,"Good"
"112",33471,1,459189.62,6305165.89,"Good"
"113",33472,1,459189.62,6305165.89,"Good"
"114",33473,1,459189.62,6305165.89,"Good"
"115",33474,1,459189.62,6305165.89,"Good"
"116",33475,1,459189.33,6305164.24,"Good"
"117",33476,1,459189.33,6305164.24,"Good"
"118",33477,1,459189.33,6305164.24,"Good"
"119",33478,1,459186.63,6305164.58,"Good"
"120",33479,1,459186.63,6305164.58,"Good"
"121",33480,1,459186.63,6305164.58,"Good"
"122",33481,1,459187.11,6305162.8,"Good"
"123",33482,1,459187.11,6305162.8,"Good"
