"","Dive","transect_length_m","avg.depth"
"1",1,808.04102265395,70
"2",2,1074.34790123088,60
"3",3,633.705052673585,120
"4",4,884.917434833283,120
"5",5,1093.37777926893,100
"6",6,1008.10399131773,90
"7",7,1029.87248632595,120
"8",8,1015.00019169478,100
"9",9,1009.9459306923,120
"10",10,1028.12553282721,60
"11",11,1015.88094489977,50
"12",12,1032.12977571383,100
"13",13,1013.47261503225,60
"14",14,1032.52416702759,50
"15",15,1135.22729764992,50
"16",16,1025.22137984549,100
"17",17,1019.37456695117,130
"18",18,1018.28106981103,117
"19",19,1026.88517757819,110
"20",20,1027.92684052383,130
"21",21,1025.59632657076,130
"22",22,995.991170342575,50
"23",23,1030.05491204668,60
"24",24,1002.19170945637,100
"25",25,994.920293936735,90
"26",26,1032.88936507983,85
"27",27,1010.72732580864,60
"28",28,1040.96512938078,70
"29",29,1027.21887162866,75
"30",30,1005.67759317138,70
"31",31,1002.01305209468,60
"32",32,1005.04021527417,130
"33",33,1021.94984200717,120
"34",34,943.68587518523,140
