"","Dive","transect_length_m","avg.depth"
"1",1,1008.19044753336,86
"2",2,1014.39940884455,94
"3",3,1005.45138911882,91
"4",4,852.732513895601,97
"5",5,1017.10066191529,83
"6",6,1020.94150326536,90
"7",7,1005.42142645725,87
"8",8,1033.96648336456,70
"9",9,1012.55504459933,137
"10",10,1022.46568857053,122
"11",11,1023.95396850252,114
"12",12,1023.55452010335,92
"13",13,1019.32952341018,92
"14",14,1012.49853252953,93
"15",15,1051.74870271703,90
"16",16,1010.48782406261,128
"17",17,885.788236831326,137
"18",18,1080.12252748358,78
"19",19,1020.84468295796,115
"20",20,281.06522228549,159
"21",21,1026.79620814333,75
"22",22,1021.21503130318,122
"23",23,1046.78379323261,74
"24",24,1047.07605789461,93
