"","Full.Model.Code","Key_function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model","CoveredArea","Det.Prob","Nhat","Nhat.se","Nhat.cv","Nhat.lcl","Nhat.ucl","Dhat","Dhat.se","Dhat.cv","Dhat.lcl","Dhat.ucl","Unique.Mods"
"1","\texttt{out.list.2[[1]]}","Half-normal","~1",0.534569894885151,0.639542626263884,0.0454974807352347,0,"out.list.2[[1]]",0.217831412789031,0.639542626263884,1931499.69005493,369877.555897344,0.191497600440632,1316266.91008088,2834296.77074616,1162.85351598731,222.683657975523,0.191497600440632,792.454491319015,1706.37975360997,"Half-normal ~1"
"2","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.352832620600001,0.604118395289716,0.0396256031973777,0,"out.list.2[[1]]",0.216644858349179,0.604118395289716,1522931.71886506,303528.747099162,0.199305552139503,1021165.00525687,2271250.00209133,916.87641111683,182.738559361326,0.199305552139503,614.789286729003,1367.39915839334,"Uniform with cosine adjustment term of order 1 NA"
"3","\texttt{out.list.2[[1]]}","Hazard-rate","~1",0.265447151750639,0.691601400606572,0.0383149390000382,0,"out.list.2[[1]]",0.220298749696394,0.691601400606572,1886026.71083563,298377.070094224,0.158204053198178,1372189.79738515,2592277.51202048,1135.47664710152,179.637007883338,0.158204053198178,826.122695596119,1560.67279471432,"Hazard-rate ~1"
"4","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment terms of order 1,2",NA,0.721215170155666,0.653499165667974,0.0693178228614431,0,"out.list.2[[1]]",0.235264770567626,0.653499165667974,2020269.47693367,371590.743941436,0.183931276586642,1403428.49873853,2908227.07611999,1216.29709628758,223.715077628799,0.183931276586642,844.929860769736,1750.88926918723,"Uniform with cosine adjustment terms of order 1,2 NA"
"5","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.764333932145392,0.540922962401721,0.0253481115708814,0,"out.list.2[[1]]",0.214072030755689,0.540922962401721,2036866.80304573,357964.675436684,0.175742800118996,1429386.42017748,2902522.58926218,1226.28946601188,215.511544513356,0.175742800118996,860.557748451223,1747.45490021805,"Uniform with cosine adjustment term of order 1 NA"
"6","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment terms of order 1,2",NA,0.413591960167953,0.718974736191349,0.0872121143918046,0,"out.list.2[[1]]",0.217950012955999,0.718974736191349,1823171.61239458,349645.958359279,0.191778961444035,1248773.99238246,2661774.46721156,1097.63492618578,210.503286188609,0.191778961444035,751.820585419901,1602.51322529293,"Uniform with cosine adjustment terms of order 1,2 NA"
"7","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment terms of order 1,2",NA,0.862888277949094,0.663349457124913,0.0795650061813507,0,"out.list.2[[1]]",0.216838143809403,0.663349457124913,1639758.60194482,351066.144596659,0.214096235982711,1073820.98148236,2503963.24808281,987.211680881892,211.358304994979,0.214096235982711,646.490657123636,1507.50346061578,"Uniform with cosine adjustment terms of order 1,2 NA"
"8","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.392128440935667,0.600515952295919,0.0342681097526185,0,"out.list.2[[1]]",0.233047968064696,0.600515952295919,1875239.96497104,292774.225397943,0.156126272299484,1370312.04382153,2566222.00912552,1128.98251954909,176.263832268479,0.156126272299484,824.992199772145,1544.98615841392,"Uniform with cosine adjustment term of order 1 NA"
"9","\texttt{out.list.2[[1]]}","Hazard-rate","~1",0.67642532755965,0.707627000914224,0.0498462828953695,0,"out.list.2[[1]]",0.222649088257894,0.707627000914224,1275644.57311676,264102.52404269,0.207034568725843,842648.543954572,1931136.16417756,767.997936855363,159.002121639187,0.207034568725843,507.313993952181,1162.63465633808,"Hazard-rate ~1"
"10","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment terms of order 1,2",NA,0.796257241228996,0.669586652180161,0.0831869632203299,0,"out.list.2[[1]]",0.217909236727318,0.669586652180161,1525429.01804243,330826.109641886,0.216874142112777,993882.30969897,2341256.7729379,918.379902493935,199.172853486988,0.216874142112777,598.36382281696,1409.54652193733,"Uniform with cosine adjustment terms of order 1,2 NA"
