"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r[1]",0.023,0.025,0,0.017,0.09,FALSE,1,1.006,1319
"2","r[2]",0.033,0.031,0.001,0.025,0.122,FALSE,1,1.003,2996
"3","r[3]",0.021,0.02,0,0.016,0.073,FALSE,1,1.002,3000
"4","r[4]",0.019,0.021,0,0.013,0.075,FALSE,1,1.003,2617
"5","K[1]",10040.394,3592.902,5964.719,9074.16,20079.764,FALSE,1,1,3000
"6","K[2]",4583.052,3376.676,1654.751,3519.881,14029.296,FALSE,1,1.008,3000
"7","K[3]",13782.465,4306.116,8630.363,12760.087,25113.643,FALSE,1,1.001,2354
"8","K[4]",11438.816,3675.914,7175.128,10539.82,21607.042,FALSE,1,1,3000
"9","phi[1]",0.763,0.237,0.275,0.78,1.131,FALSE,1,1,3000
"10","phi[2]",0.554,0.288,0.107,0.525,1.109,FALSE,1,1.001,2439
"11","phi[3]",0.836,0.213,0.387,0.865,1.137,FALSE,1,1,2425
"12","phi[4]",0.825,0.216,0.366,0.847,1.138,FALSE,1,1,3000
"13","bigphi",0.77,0.204,0.34,0.778,1.113,FALSE,1,1.001,1946
"14","R.hyp",0.034,0.033,0.002,0.024,0.138,FALSE,1,1.003,928
"15","Kseo",39844.727,7937.548,26862.371,39107.45,57805.129,FALSE,1,1,3000
"16","sigma",0.056,0.017,0.019,0.058,0.081,FALSE,1,1,3000
"17","eta",243.454,346.076,1.493,108.148,1399.449,FALSE,1,1.001,3000
"18","rB1",6.407,12.069,0.029,2.12,41.233,FALSE,1,1.003,3000
"19","rB2",237.047,337.276,1.373,105.484,1375.577,FALSE,1,1.001,3000
"20","pi[1]",0.253,0.069,0.145,0.243,0.429,FALSE,1,1,3000
"21","pi[2]",0.113,0.066,0.043,0.092,0.305,FALSE,1,1.002,3000
"22","pi[3]",0.346,0.073,0.223,0.34,0.516,FALSE,1,1.001,1729
"23","pi[4]",0.288,0.069,0.177,0.281,0.46,FALSE,1,1,3000
"24","phiTau",1.66,1.923,0.509,1.134,6.358,FALSE,1,1.015,3000
"25","epsilon[1]",0.005,0.044,-0.083,0.005,0.087,TRUE,0.543,1,3000
"26","epsilon[2]",0.006,0.044,-0.082,0.005,0.088,TRUE,0.554,1.002,1232
"27","epsilon[3]",0.006,0.044,-0.084,0.008,0.089,TRUE,0.567,1.002,962
"28","epsilon[4]",0.004,0.045,-0.084,0.003,0.088,TRUE,0.528,1,3000
"29","epsilon[5]",0.007,0.044,-0.084,0.007,0.088,TRUE,0.566,1.001,3000
"30","epsilon[6]",0.005,0.044,-0.084,0.004,0.09,TRUE,0.538,1,3000
"31","epsilon[7]",0.006,0.045,-0.085,0.006,0.088,TRUE,0.553,1,3000
"32","epsilon[8]",0.005,0.045,-0.082,0.004,0.09,TRUE,0.53,1,3000
"33","epsilon[9]",0.007,0.045,-0.082,0.007,0.091,TRUE,0.566,1.001,1772
"34","epsilon[10]",0.005,0.044,-0.086,0.005,0.088,TRUE,0.549,1,3000
"35","epsilon[11]",0.005,0.044,-0.084,0.006,0.089,TRUE,0.562,1,3000
"36","epsilon[12]",0.004,0.045,-0.087,0.004,0.089,TRUE,0.53,1,3000
"37","epsilon[13]",0.006,0.045,-0.085,0.005,0.089,TRUE,0.552,1,2313
"38","epsilon[14]",0.006,0.045,-0.084,0.007,0.091,TRUE,0.565,1,3000
"39","epsilon[15]",0.015,0.044,-0.076,0.015,0.092,TRUE,0.636,1.001,3000
"40","epsilon[16]",0.006,0.044,-0.082,0.006,0.088,TRUE,0.559,1.002,1037
"41","epsilon[17]",0.006,0.044,-0.08,0.007,0.088,TRUE,0.555,1,3000
"42","epsilon[18]",0.008,0.043,-0.081,0.008,0.088,TRUE,0.582,1.001,1776
"43","epsilon[19]",-0.019,0.043,-0.093,-0.02,0.069,TRUE,0.668,1,3000
"44","epsilon[20]",-0.019,0.042,-0.092,-0.02,0.069,TRUE,0.68,1.001,2925
"45","epsilon[21]",-0.025,0.041,-0.093,-0.025,0.06,TRUE,0.73,1,3000
"46","epsilon[22]",-0.017,0.042,-0.094,-0.017,0.07,TRUE,0.661,1,3000
"47","epsilon[23]",-0.008,0.044,-0.088,-0.009,0.081,TRUE,0.583,1,3000
"48","epsilon[24]",-0.017,0.042,-0.091,-0.018,0.069,TRUE,0.66,1,3000
