"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","iter"
"1","r[1]",0.003,0.004,0,0.002,0.015,FALSE,1,1.002,895,1
"2","r[2]",0.012,0.012,0,0.009,0.042,FALSE,1,1.001,3000,1
"3","r[3]",0.006,0.006,0,0.004,0.022,FALSE,1,1.002,1008,1
"4","r[4]",0.005,0.006,0,0.003,0.021,FALSE,1,1.002,1586,1
"5","K[1]",10271.215,4883.453,5034.335,8900.825,23550.384,FALSE,1,1.011,3000,1
"6","K[2]",6306.874,4867.149,1999.013,4709.491,20150.152,FALSE,1,1.028,176,1
"7","K[3]",14073.439,5355.155,7721.193,12657.612,27765.003,FALSE,1,1.004,603,1
"8","K[4]",11129.918,5141.147,5628.921,9589.846,25443.073,FALSE,1,1.01,459,1
"9","phi[1]",0.727,0.253,0.256,0.741,1.126,FALSE,1,1,3000,1
"10","phi[2]",0.528,0.292,0.089,0.483,1.095,FALSE,1,1.007,293,1
"11","phi[3]",0.76,0.235,0.313,0.772,1.129,FALSE,1,1.006,296,1
"12","phi[4]",0.745,0.251,0.261,0.764,1.13,FALSE,1,1.003,731,1
"13","bigphi",0.745,0.208,0.309,0.758,1.105,FALSE,1,1.001,1084,1
"14","R.hyp",0.016,0.026,0,0.008,0.107,FALSE,1,1.001,3000,1
"15","Kseo",41781.446,8978.3,27818.307,40591.495,62825.324,FALSE,1,1.005,480,1
"16","sigma",0.059,0.016,0.027,0.06,0.081,FALSE,1,1,2596,1
"17","eta",184.761,294.781,0.741,73.458,1151.459,FALSE,1,1.001,3000,1
"18","rB1",1.358,2.668,0.011,0.449,8.851,FALSE,1,1.008,3000,1
"19","rB2",183.402,292.967,0.661,72.752,1146.021,FALSE,1,1.001,3000,1
"20","pi[1]",0.246,0.093,0.118,0.227,0.48,FALSE,1,1.005,2988,1
"21","pi[2]",0.148,0.095,0.049,0.119,0.411,FALSE,1,1.018,216,1
"22","pi[3]",0.339,0.102,0.177,0.325,0.567,FALSE,1,1.013,173,1
"23","pi[4]",0.267,0.099,0.129,0.245,0.521,FALSE,1,1.006,885,1
"24","phiTau",1.614,1.723,0.497,1.159,5.344,FALSE,1,1.016,3000,1
"1627","qsCPUE[1]",2.227,0.28,1.724,2.21,2.817,FALSE,1,1,2968,1
"1628","qsCPUE[2]",13.956,2.788,9.431,13.696,20.206,FALSE,1,1,3000,1
"1629","qsCPUE[3]",4.748,0.442,3.95,4.724,5.694,FALSE,1,1.002,1139,1
"1630","qsCPUE[4]",3.498,0.392,2.799,3.485,4.318,FALSE,1,1.003,1018,1
"1631","Tau1",0.364,0.126,0.175,0.346,0.679,FALSE,1,1.001,2774,1
"1632","Tau2",0,0,0,0,0,FALSE,1,NA,1,1
"1633","Tau3",0.114,0.058,0.017,0.113,0.233,FALSE,1,1,3000,1
"1820","MSY[1]",10.225,12.791,0.329,5.38,46.48,FALSE,1,1.005,893,1
"1821","MSY[2]",20.225,20.535,0.287,14.983,74.669,FALSE,1,1.017,341,1
"1822","MSY[3]",26.576,25.893,0.687,18.681,89.842,FALSE,1,1.002,1538,1
"1823","MSY[4]",16.2,18.162,0.448,9.513,64.312,FALSE,1,1.001,2298,1
"1824","Bmsy[1]",4108.486,1953.381,2013.734,3560.33,9420.154,FALSE,1,1.011,3000,1
"1825","Bmsy[2]",2522.75,1946.86,799.605,1883.796,8060.061,FALSE,1,1.028,176,1
"1826","Bmsy[3]",5629.376,2142.062,3088.477,5063.045,11106.001,FALSE,1,1.004,603,1
"1827","Bmsy[4]",4451.967,2056.459,2251.569,3835.939,10177.229,FALSE,1,1.01,459,1
"1828","Fmsy[1]",0.003,0.003,0,0.001,0.013,FALSE,1,1.002,895,1
"1829","Fmsy[2]",0.01,0.01,0,0.007,0.036,FALSE,1,1.001,3000,1
"1830","Fmsy[3]",0.005,0.005,0,0.004,0.019,FALSE,1,1.002,1008,1
"1831","Fmsy[4]",0.004,0.005,0,0.002,0.018,FALSE,1,1.002,1586,1
"1832","Hmsy[1]",0.003,0.003,0,0.001,0.013,FALSE,1,1.002,895,1
"1833","Hmsy[2]",0.01,0.01,0,0.007,0.036,FALSE,1,1.001,3000,1
"1834","Hmsy[3]",0.005,0.005,0,0.004,0.019,FALSE,1,1.002,1008,1
"1835","Hmsy[4]",0.004,0.005,0,0.002,0.018,FALSE,1,1.002,1586,1
"1836","Stock.Status[1]",0.404,0.157,0.142,0.39,0.733,FALSE,1,1.002,1191,1
"1837","Stock.Status[2]",0.377,0.224,0.077,0.332,0.89,FALSE,1,1.007,295,1
"1838","Stock.Status[3]",0.369,0.123,0.161,0.361,0.628,FALSE,1,1.004,439,1
"1839","Stock.Status[4]",0.613,0.219,0.227,0.61,1.045,FALSE,1,1.005,383,1
"1840","Proj1_biomass",6170.371,647.494,4979.59,6127.371,7503.059,FALSE,1,1,3000,1
"1841","Bmsyseo",16712.578,3591.32,11127.323,16236.598,25130.13,FALSE,1,1.005,480,1
"1842","Fmsyseo",0.005,0.004,0,0.004,0.014,FALSE,1,1.001,1122,1
"1843","Fmsyseo2",0.005,0.004,0,0.004,0.014,FALSE,1,1.001,1122,1
"1844","Stock.Status.SEO",0.392,0.089,0.241,0.386,0.588,FALSE,1,1.003,599,1
