"","parameter","true","CI_contains_true","mean_sim.mean","mean_sim.med","mean_dif","med_dif","mean.bias","med.bias"
"1","r",0.016,0.94,0.00966,0.00626,-0.00634,-0.00974,-0.39625,-0.60875
"2","r",0.023,0.93,0.01447,0.00952,-0.00853,-0.01348,-0.370869565217391,-0.586086956521739
"3","r",0.015,0.77,0.0073,0.00532,-0.0077,-0.00968,-0.513333333333333,-0.645333333333333
"4","r",0.013,0.87,0.00687,0.00412,-0.00613,-0.00888,-0.471538461538462,-0.683076923076923
"5","K",10091.7655000004,1,9851.68886,8371.14674,-240.07664000041,-1720.61876000041,-0.0237893597508187,-0.170497299010797
"6","K",4642.21213000019,1,6072.74576,4526.2324,1430.53362999981,-115.979730000189,0.308157746767973,-0.0249837204230011
"7","K",14047.7375760006,0.99,13578.59076,12090.49627,-469.146816000572,-1957.24130600057,-0.033396610198789,-0.139327866527373
"8","K",11625.7138560005,1,10783.69253,9307.3576,-842.021326000471,-2318.35625600047,-0.0724274944687265,-0.199416249592612
"9","Fmsy",0.0134665010976971,0.94,0.00811,0.00529,-0.00535650109769708,-0.00817650109769708,-0.39776487291217,-0.607173388126434
"10","Fmsy",0.0193580953279395,0.94,0.01227,0.00803,-0.00708809532793955,-0.0113280953279395,-0.366156649601229,-0.585186462615963
"11","Fmsy",0.012624844779091,0.81,0.00611,0.00452,-0.00651484477909101,-0.00810484477909101,-0.516033653727034,-0.641975796210507
"12","Fmsy",0.0109415321418789,0.92,0.00571,0.00347,-0.00523153214187887,-0.00747153214187887,-0.478135244135975,-0.682859771830444
"13","Bmsy",4036.70620000016,1,3940.67554,3348.45873,-96.0306600001641,-688.247470000164,-0.0237893607417256,-0.170497290588088
"14","Bmsy",1856.88485200008,1,2429.0983,1810.49299,572.213447999924,-46.3918620000757,0.308157744613828,-0.0249837042669104
"15","Bmsy",5619.09503040023,0.99,5431.4363,4836.19848,-187.658730400229,-782.896550400229,-0.0333966109106474,-0.139327871510382
"16","Bmsy",4650.28554240019,1,4313.47704,3722.94304,-336.808502400189,-927.342502400189,-0.072427488447591,-0.199416249592612
"17","MSY",54.3603084733828,0.82,26.04644,19.14938,-28.3138684733828,-35.2109284733828,-0.520855551937247,-0.64773231540111
"18","MSY",35.9457539780244,0.94,20.59148,15.8724,-15.3542739780244,-20.0733539780244,-0.427151256513114,-0.558434634318599
"19","MSY",70.9402025577646,0.72,29.60952,22.71211,-41.3306825577645,-48.2280925577646,-0.58261297638825,-0.679841483656518
"20","MSY",50.8812487310863,0.69,20.29191,13.70312,-30.5893387310863,-37.1781287310863,-0.601190801993771,-0.730684282682945
"21","phi",0.764,1,0.67099,0.66757,-0.09301,-0.09643,-0.121740837696335,-0.126217277486911
"22","phi",0.55,1,0.55173,0.51857,0.00173000000000001,-0.0314300000000001,0.00314545454545456,-0.0571454545454547
"23","phi",0.829,1,0.73815,0.74478,-0.09085,-0.08422,-0.109589867310012,-0.101592279855247
"24","phi",0.812,1,0.70618,0.71019,-0.10582,-0.10181,-0.130320197044335,-0.125381773399015
"25","pi",0.25,1,0.24469,0.22152,-0.00531000000000001,-0.02848,-0.02124,-0.11392
"26","pi",0.115,1,0.14883,0.11868,0.03383,0.00368,0.294173913043478,0.032
"27","pi",0.348,0.99,0.33877,0.32183,-0.00922999999999996,-0.02617,-0.026522988505747,-0.0752011494252873
"28","pi",0.288,1,0.26769,0.24639,-0.02031,-0.04161,-0.0705208333333333,-0.144479166666667
"29","Tau1",0.373,0.96,0.41659,0.39723,0.04359,0.02423,0.11686327077748,0.0649597855227883
"30","Tau3",0.14,0.99,0.14529,0.14457,0.00528999999999999,0.00456999999999999,0.0377857142857142,0.0326428571428571
"31","sigma",0.236643191323984,0,0.04612,0.04529,-0.190523191323984,-0.191353191323984,-0.805107428859604,-0.808614819016727
