"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","iter"
"1","r[1]",0.013,0.02,0,0.007,0.064,FALSE,1,1.004,3000,51
"2","r[2]",0.015,0.024,0,0.007,0.077,FALSE,1,1.005,2393,51
"3","r[3]",0.007,0.01,0,0.004,0.032,FALSE,1,1.012,2418,51
"4","r[4]",0.01,0.016,0,0.005,0.049,FALSE,1,1.017,1624,51
"5","K[1]",10300.012,4428.717,5568.619,8982.79,22291.989,FALSE,1,1,3000,51
"6","K[2]",6110.282,3932.783,2393.93,4780.557,16960.194,FALSE,1,1.002,3000,51
"7","K[3]",13970.829,4819.176,8622.477,12563.904,26976.506,FALSE,1,1.002,1171,51
"8","K[4]",11160.41,4345.572,6492.262,9878.995,22338.359,FALSE,1,1.005,932,51
"9","phi[1]",0.728,0.25,0.255,0.739,1.127,FALSE,1,1,3000,51
"10","phi[2]",0.62,0.288,0.158,0.603,1.124,FALSE,1,1,3000,51
"11","phi[3]",0.804,0.22,0.347,0.828,1.133,FALSE,1,1.002,1015,51
"12","phi[4]",0.765,0.233,0.308,0.781,1.129,FALSE,1,1.001,1971,51
"13","bigphi",0.739,0.208,0.304,0.751,1.103,FALSE,1,1.002,974,51
"14","R.hyp",0.022,0.031,0.001,0.011,0.131,FALSE,1,1,3000,51
"15","Kseo",41541.532,8173.99,28610.894,40570.84,60564.922,FALSE,1,1,3000,51
"16","sigma",0.026,0.019,0.007,0.019,0.075,FALSE,1,1.001,2332,51
"17","eta",201.964,318.142,0.651,75.155,1290.325,FALSE,1,1,3000,51
"18","rB1",2.219,4.62,0.016,0.662,14.538,FALSE,1,1.018,2247,51
"19","rB2",199.744,315.112,0.585,74.127,1284.796,FALSE,1,1,3000,51
"20","pi[1]",0.248,0.083,0.131,0.231,0.455,FALSE,1,1,3000,51
"21","pi[2]",0.145,0.077,0.058,0.122,0.346,FALSE,1,1.002,3000,51
"22","pi[3]",0.338,0.089,0.198,0.325,0.547,FALSE,1,1.004,461,51
"23","pi[4]",0.27,0.083,0.147,0.257,0.463,FALSE,1,1.003,1203,51
"24","phiTau",1.686,2.3,0.492,1.16,5.879,FALSE,1,1.039,1842,51
"1627","qsCPUE[1]",2.078,0.29,1.579,2.065,2.711,FALSE,1,1,3000,51
"1628","qsCPUE[2]",11.367,2.289,7.401,11.186,16.311,FALSE,1,1.001,3000,51
"1629","qsCPUE[3]",5.48,0.504,4.559,5.444,6.544,FALSE,1,1,3000,51
"1630","qsCPUE[4]",3.81,0.434,3.032,3.783,4.741,FALSE,1,1,3000,51
"1631","Tau1",0.501,0.145,0.277,0.478,0.846,FALSE,1,1,3000,51
"1632","Tau2",0,0,0,0,0,FALSE,1,NA,1,51
"1633","Tau3",0.097,0.055,0.014,0.092,0.209,FALSE,1,1.001,1685,51
"1820","MSY[1]",36.771,42.767,0.545,22.35,145.819,FALSE,1,1.001,3000,51
"1821","MSY[2]",20.744,22.447,0.267,14.1,80.124,FALSE,1,1.001,3000,51
"1822","MSY[3]",30.538,34.065,0.638,18.963,118.813,FALSE,1,1.004,3000,51
"1823","MSY[4]",31.078,39.87,0.532,17.932,136.922,FALSE,1,1.008,2721,51
"1824","Bmsy[1]",4120.005,1771.487,2227.448,3593.116,8916.796,FALSE,1,1,3000,51
"1825","Bmsy[2]",2444.113,1573.113,957.572,1912.223,6784.078,FALSE,1,1.002,3000,51
"1826","Bmsy[3]",5588.332,1927.671,3448.991,5025.561,10790.602,FALSE,1,1.002,1171,51
"1827","Bmsy[4]",4464.164,1738.229,2596.905,3951.598,8935.343,FALSE,1,1.005,932,51
"1828","Fmsy[1]",0.011,0.017,0,0.006,0.053,FALSE,1,1.004,3000,51
"1829","Fmsy[2]",0.012,0.02,0,0.006,0.065,FALSE,1,1.005,2393,51
"1830","Fmsy[3]",0.006,0.008,0,0.003,0.027,FALSE,1,1.012,2418,51
"1831","Fmsy[4]",0.008,0.013,0,0.004,0.041,FALSE,1,1.017,1624,51
"1832","Hmsy[1]",0.011,0.017,0,0.006,0.053,FALSE,1,1.004,3000,51
"1833","Hmsy[2]",0.012,0.02,0,0.006,0.065,FALSE,1,1.005,2393,51
"1834","Hmsy[3]",0.006,0.008,0,0.003,0.027,FALSE,1,1.012,2418,51
"1835","Hmsy[4]",0.008,0.013,0,0.004,0.041,FALSE,1,1.017,1624,51
"1836","Stock.Status[1]",1.017,0.352,0.403,1.009,1.747,FALSE,1,1,3000,51
"1837","Stock.Status[2]",0.935,0.442,0.246,0.903,1.914,FALSE,1,1.002,1437,51
"1838","Stock.Status[3]",0.869,0.246,0.405,0.875,1.326,FALSE,1,1.001,1286,51
"1839","Stock.Status[4]",1.176,0.356,0.521,1.191,1.831,FALSE,1,1.002,993,51
"1840","Proj1_biomass",14575.643,1172.756,12382.773,14517.935,16988.455,FALSE,1,1,3000,51
"1841","Bmsyseo",16616.613,3269.596,11444.358,16228.336,24225.969,FALSE,1,1,3000,51
"1842","Fmsyseo",0.008,0.008,0.001,0.005,0.028,FALSE,1,1.008,3000,51
"1843","Fmsyseo2",0.008,0.008,0.001,0.005,0.028,FALSE,1,1.008,3000,51
"1844","Stock.Status.SEO",0.912,0.189,0.585,0.894,1.342,FALSE,1,1,3000,51
"1857","deviance",4665.508,27.17,4612.838,4665.393,4718.173,FALSE,1,1.002,1432,51
"110","r[1]",0.007,0.009,0,0.004,0.03,FALSE,1,1.002,3000,52
"25","r[2]",0.008,0.012,0,0.004,0.04,FALSE,1,1,3000,52
"31","r[3]",0.002,0.003,0,0.001,0.011,FALSE,1,1,3000,52
"41","r[4]",0.004,0.006,0,0.002,0.021,FALSE,1,1.001,1467,52
"51","K[1]",10233.695,4702.058,5078.21,8911.794,22282.651,FALSE,1,1.006,1367,52
"61","K[2]",6530.775,4435.82,2408.416,5053.877,19065.882,FALSE,1,1.002,1738,52
"71","K[3]",14731.543,5402.452,8400.255,13353.371,28347.232,FALSE,1,1.001,3000,52
"81","K[4]",12307.184,5092.373,6548.676,10945.955,26085.205,FALSE,1,1.01,611,52
"91","phi[1]",0.715,0.25,0.255,0.723,1.129,FALSE,1,1.001,1899,52
"101","phi[2]",0.622,0.289,0.136,0.615,1.12,FALSE,1,1,3000,52
"111","phi[3]",0.801,0.226,0.35,0.821,1.138,FALSE,1,1.001,2080,52
"121","phi[4]",0.778,0.237,0.304,0.8,1.132,FALSE,1,1.001,1810,52
"131","bigphi",0.74,0.209,0.313,0.747,1.108,FALSE,1,1,3000,52
"141","R.hyp",0.016,0.029,0,0.007,0.119,FALSE,1,1.001,3000,52
"151","Kseo",43803.197,8882.15,29109.148,42815.648,64017.56,FALSE,1,1.001,1343,52
"161","sigma",0.062,0.014,0.032,0.065,0.081,FALSE,1,1,3000,52
"171","eta",176.093,283.989,0.491,68.565,1059.549,FALSE,1,1.001,3000,52
"181","rB1",0.978,2.088,0.01,0.369,6.413,FALSE,1,1.003,3000,52
"191","rB2",175.116,282.65,0.449,68.186,1054.337,FALSE,1,1.001,3000,52
"201","pi[1]",0.234,0.087,0.117,0.215,0.451,FALSE,1,1.002,3000,52
"211","pi[2]",0.148,0.085,0.056,0.12,0.389,FALSE,1,1.002,1098,52
"221","pi[3]",0.337,0.095,0.189,0.324,0.559,FALSE,1,1.002,1482,52
"231","pi[4]",0.281,0.092,0.145,0.264,0.515,FALSE,1,1.004,1151,52
"241","phiTau",1.805,4.455,0.484,1.157,6.305,FALSE,1,1.191,2478,52
"16271","qsCPUE[1]",2.145,0.308,1.609,2.112,2.814,FALSE,1,1,3000,52
"16281","qsCPUE[2]",9.858,1.974,6.608,9.691,14.105,FALSE,1,1.001,3000,52
"16291","qsCPUE[3]",5.028,0.506,4.09,5.011,6.066,FALSE,1,1,3000,52
"16301","qsCPUE[4]",2.998,0.38,2.321,2.976,3.814,FALSE,1,1.001,1544,52
"16311","Tau1",0.466,0.148,0.241,0.442,0.826,FALSE,1,1.001,2455,52
"16321","Tau2",0,0,0,0,0,FALSE,1,NA,1,52
"16331","Tau3",0.241,0.062,0.118,0.241,0.365,FALSE,1,1,3000,52
"18201","MSY[1]",21.489,22.836,0.423,13.069,79.962,FALSE,1,1,3000,52
"18211","MSY[2]",13.498,15.762,0.228,7.648,55.452,FALSE,1,1.002,3000,52
"18221","MSY[3]",10.76,13.11,0.528,5.631,46.532,FALSE,1,1,3000,52
"18231","MSY[4]",16.424,19.597,0.46,8.689,70.323,FALSE,1,1.002,1005,52
"18241","Bmsy[1]",4093.478,1880.823,2031.284,3564.718,8913.06,FALSE,1,1.006,1367,52
"18251","Bmsy[2]",2612.31,1774.328,963.366,2021.551,7626.353,FALSE,1,1.002,1738,52
"18261","Bmsy[3]",5892.617,2160.981,3360.102,5341.348,11338.893,FALSE,1,1.001,3000,52
"18271","Bmsy[4]",4922.874,2036.949,2619.471,4378.382,10434.082,FALSE,1,1.01,611,52
"18281","Fmsy[1]",0.006,0.007,0,0.003,0.025,FALSE,1,1.002,3000,52
"18291","Fmsy[2]",0.007,0.01,0,0.003,0.033,FALSE,1,1,3000,52
"18301","Fmsy[3]",0.002,0.003,0,0.001,0.009,FALSE,1,1,3000,52
"18311","Fmsy[4]",0.004,0.005,0,0.002,0.018,FALSE,1,1.001,1467,52
"18321","Hmsy[1]",0.006,0.007,0,0.003,0.025,FALSE,1,1.002,3000,52
"18331","Hmsy[2]",0.007,0.01,0,0.003,0.033,FALSE,1,1,3000,52
"18341","Hmsy[3]",0.002,0.003,0,0.001,0.009,FALSE,1,1,3000,52
"18351","Hmsy[4]",0.004,0.005,0,0.002,0.018,FALSE,1,1.001,1467,52
"18361","Stock.Status[1]",0.466,0.18,0.169,0.452,0.858,FALSE,1,1.001,1287,52
"18371","Stock.Status[2]",0.48,0.246,0.112,0.449,1.064,FALSE,1,1,3000,52
"18381","Stock.Status[3]",0.359,0.115,0.161,0.353,0.589,FALSE,1,1,3000,52
"18391","Stock.Status[4]",0.633,0.213,0.25,0.625,1.061,FALSE,1,1.002,1012,52
"18401","Proj1_biomass",7123.464,772.365,5719.356,7076.145,8770.691,FALSE,1,1,3000,52
"18411","Bmsyseo",17521.279,3552.86,11643.659,17126.259,25607.024,FALSE,1,1.001,1343,52
"18421","Fmsyseo",0.004,0.003,0,0.003,0.013,FALSE,1,1.001,2120,52
"18431","Fmsyseo2",0.004,0.003,0,0.003,0.013,FALSE,1,1.001,2120,52
"18441","Stock.Status.SEO",0.43,0.095,0.271,0.422,0.642,FALSE,1,1.001,1704,52
"18571","deviance",4603.985,27.374,4552.456,4603.638,4659.242,FALSE,1,1.001,1123,52
"112","r[1]",0.016,0.021,0,0.009,0.072,FALSE,1,1,3000,53
"26","r[2]",0.017,0.027,0,0.009,0.106,FALSE,1,1,3000,53
"32","r[3]",0.005,0.006,0,0.002,0.021,FALSE,1,1.001,3000,53
"42","r[4]",0.006,0.008,0,0.003,0.028,FALSE,1,1.001,2440,53
"52","K[1]",10129.748,4952.445,4913.264,8658.008,22955.906,FALSE,1,1.003,1405,53
"62","K[2]",6200.061,4251.031,2143.751,4782.386,18190.512,FALSE,1,1.003,1034,53
"72","K[3]",14113.345,5377.37,8017.887,12609.091,28383.035,FALSE,1,1.001,3000,53
"82","K[4]",11301.962,5325.962,5952.44,9761.338,25294.816,FALSE,1,1.003,3000,53
"92","phi[1]",0.668,0.264,0.204,0.668,1.124,FALSE,1,1.001,1127,53
"102","phi[2]",0.59,0.292,0.123,0.565,1.112,FALSE,1,1,3000,53
"113","phi[3]",0.795,0.23,0.344,0.823,1.135,FALSE,1,1,3000,53
"122","phi[4]",0.761,0.246,0.269,0.789,1.133,FALSE,1,1.001,3000,53
"132","bigphi",0.732,0.212,0.279,0.739,1.1,FALSE,1,1.001,1187,53
"142","R.hyp",0.023,0.034,0.001,0.011,0.138,FALSE,1,1.001,2360,53
"152","Kseo",41745.116,8679.26,27847.499,40681.63,62011.991,FALSE,1,1,3000,53
"162","sigma",0.059,0.015,0.03,0.061,0.081,FALSE,1,1,3000,53
"172","eta",163.026,287.193,0.497,54.056,1126.713,FALSE,1,1,3000,53
"182","rB1",1.529,3.288,0.012,0.501,11.211,FALSE,1,1.002,3000,53
"192","rB2",161.497,284.871,0.453,53.334,1111.319,FALSE,1,1,3000,53
"202","pi[1]",0.242,0.095,0.115,0.222,0.476,FALSE,1,1.001,1577,53
"212","pi[2]",0.148,0.088,0.051,0.121,0.379,FALSE,1,1.003,913,53
"222","pi[3]",0.34,0.102,0.182,0.325,0.576,FALSE,1,1.001,2758,53
"232","pi[4]",0.27,0.096,0.14,0.249,0.524,FALSE,1,1.002,1976,53
"242","phiTau",1.711,2.246,0.509,1.167,6.316,FALSE,1,1.023,3000,53
"16272","qsCPUE[1]",2.563,0.352,1.95,2.538,3.325,FALSE,1,1.004,565,53
"16282","qsCPUE[2]",9.103,1.823,6.057,8.912,13.332,FALSE,1,1.001,1399,53
"16292","qsCPUE[3]",5.083,0.508,4.139,5.049,6.118,FALSE,1,1.001,2082,53
"16302","qsCPUE[4]",3.216,0.385,2.508,3.198,4.017,FALSE,1,1,2330,53
"16312","Tau1",0.355,0.111,0.187,0.337,0.632,FALSE,1,1,3000,53
"16322","Tau2",0,0,0,0,0,FALSE,1,NA,1,53
"16332","Tau3",0.219,0.056,0.106,0.22,0.325,FALSE,1,1,3000,53
"18202","MSY[1]",42.686,42.881,0.604,29.875,150.129,FALSE,1,1,3000,53
"18212","MSY[2]",24.034,24.623,0.31,17.057,89.992,FALSE,1,1,3000,53
"18222","MSY[3]",19.736,22.991,0.561,10.988,82.819,FALSE,1,1.002,3000,53
"18232","MSY[4]",19.679,23.223,0.463,11.065,81.669,FALSE,1,1,3000,53
"18242","Bmsy[1]",4051.899,1980.978,1965.306,3463.203,9182.362,FALSE,1,1.003,1405,53
"18252","Bmsy[2]",2480.024,1700.412,857.501,1912.954,7276.205,FALSE,1,1.003,1034,53
"18262","Bmsy[3]",5645.338,2150.948,3207.155,5043.636,11353.214,FALSE,1,1.001,3000,53
"18272","Bmsy[4]",4520.785,2130.385,2380.976,3904.535,10117.926,FALSE,1,1.003,3000,53
"18282","Fmsy[1]",0.013,0.018,0,0.008,0.06,FALSE,1,1,3000,53
"18292","Fmsy[2]",0.015,0.022,0,0.007,0.089,FALSE,1,1,3000,53
"18302","Fmsy[3]",0.004,0.005,0,0.002,0.017,FALSE,1,1.001,3000,53
"18312","Fmsy[4]",0.005,0.007,0,0.003,0.023,FALSE,1,1.001,2440,53
"18322","Hmsy[1]",0.013,0.018,0,0.008,0.06,FALSE,1,1,3000,53
"18332","Hmsy[2]",0.015,0.022,0,0.007,0.089,FALSE,1,1,3000,53
"18342","Hmsy[3]",0.004,0.005,0,0.002,0.017,FALSE,1,1.001,3000,53
"18352","Hmsy[4]",0.005,0.007,0,0.003,0.023,FALSE,1,1.001,2440,53
"18362","Stock.Status[1]",0.768,0.323,0.259,0.726,1.511,FALSE,1,1.001,1737,53
"18372","Stock.Status[2]",0.727,0.405,0.165,0.664,1.739,FALSE,1,1,3000,53
"18382","Stock.Status[3]",0.533,0.173,0.226,0.531,0.889,FALSE,1,1.001,1869,53
"18392","Stock.Status[4]",0.827,0.287,0.311,0.826,1.396,FALSE,1,1,3000,53
"18402","Proj1_biomass",9806.534,1074.674,7901.569,9767.399,12137.561,FALSE,1,1,3000,53
"18412","Bmsyseo",16698.046,3471.704,11139,16272.652,24804.796,FALSE,1,1,3000,53
"18422","Fmsyseo",0.007,0.006,0.001,0.005,0.021,FALSE,1,1,3000,53
"18432","Fmsyseo2",0.007,0.006,0.001,0.005,0.021,FALSE,1,1,3000,53
"18442","Stock.Status.SEO",0.617,0.14,0.382,0.6,0.924,FALSE,1,1,3000,53
"18572","deviance",4636.573,26.632,4587.001,4635.438,4691.068,FALSE,1,1,3000,53
"114","r[1]",0.013,0.018,0,0.008,0.055,FALSE,1,1.021,757,54
"27","r[2]",0.012,0.016,0,0.007,0.054,FALSE,1,1,3000,54
"33","r[3]",0.016,0.014,0,0.013,0.05,FALSE,1,1.004,1274,54
"43","r[4]",0.013,0.017,0,0.008,0.054,FALSE,1,1,3000,54
"53","K[1]",9953.41,4746.352,5073.155,8509.852,23396.434,FALSE,1,1.008,777,54
"63","K[2]",5713.223,4044.886,2139.008,4283.924,17470.254,FALSE,1,1,3000,54
"73","K[3]",13576.088,5465.106,7227.2,12257.237,27849.326,FALSE,1,1.008,818,54
"83","K[4]",10257.053,4359.099,5589.826,9025.245,22282.084,FALSE,1,1.001,3000,54
"93","phi[1]",0.713,0.26,0.234,0.727,1.127,FALSE,1,1.001,3000,54
"103","phi[2]",0.623,0.295,0.135,0.617,1.125,FALSE,1,1.001,1549,54
"115","phi[3]",0.701,0.246,0.251,0.701,1.125,FALSE,1,1,3000,54
"123","phi[4]",0.75,0.242,0.287,0.758,1.133,FALSE,1,1,3000,54
"133","bigphi",0.74,0.211,0.311,0.748,1.109,FALSE,1,1,3000,54
"143","R.hyp",0.023,0.029,0.001,0.015,0.117,FALSE,1,1.001,3000,54
"153","Kseo",39499.774,8669.941,25415.781,38497.972,60023.359,FALSE,1,1.002,1425,54
"163","sigma",0.049,0.021,0.009,0.051,0.081,FALSE,1,1,3000,54
"173","eta",226.879,323.105,1.055,100.495,1218.002,FALSE,1,1.004,1416,54
"183","rB1",3.461,7.159,0.022,1.147,19.864,FALSE,1,1.008,1861,54
"193","rB2",223.418,318.212,0.993,99.221,1205.968,FALSE,1,1.004,1424,54
"203","pi[1]",0.252,0.093,0.123,0.233,0.492,FALSE,1,1.004,1301,54
"213","pi[2]",0.142,0.084,0.054,0.115,0.376,FALSE,1,1,2568,54
"223","pi[3]",0.344,0.103,0.183,0.331,0.579,FALSE,1,1.004,698,54
"233","pi[4]",0.262,0.089,0.134,0.246,0.478,FALSE,1,1,3000,54
"243","phiTau",1.689,1.985,0.506,1.176,6.441,FALSE,1,1.005,2903,54
"16273","qsCPUE[1]",2.072,0.287,1.578,2.056,2.687,FALSE,1,1,2941,54
"16283","qsCPUE[2]",9.494,1.923,6.401,9.311,13.751,FALSE,1,1.001,1327,54
"16293","qsCPUE[3]",5.258,0.524,4.286,5.247,6.351,FALSE,1,1,3000,54
"16303","qsCPUE[4]",3.652,0.426,2.888,3.631,4.561,FALSE,1,1,3000,54
"16313","Tau1",0.397,0.127,0.213,0.375,0.726,FALSE,1,1,3000,54
"16323","Tau2",0,0,0,0,0,FALSE,1,NA,1,54
"16333","Tau3",0.163,0.065,0.032,0.165,0.287,FALSE,1,1.001,1585,54
"18203","MSY[1]",35.553,37.294,0.539,24.675,128.967,FALSE,1,1.006,1801,54
"18213","MSY[2]",16.769,16.745,0.291,12.098,59.262,FALSE,1,1.001,2601,54
"18223","MSY[3]",62.614,46.311,1.031,55.996,164.323,FALSE,1,1.002,1076,54
"18233","MSY[4]",36.336,38.292,0.523,25.576,133.122,FALSE,1,1.001,3000,54
"18243","Bmsy[1]",3981.364,1898.541,2029.262,3403.941,9358.574,FALSE,1,1.008,777,54
"18253","Bmsy[2]",2285.289,1617.955,855.603,1713.569,6988.102,FALSE,1,1,3000,54
"18263","Bmsy[3]",5430.435,2186.042,2890.88,4902.895,11139.73,FALSE,1,1.008,818,54
"18273","Bmsy[4]",4102.821,1743.64,2235.93,3610.098,8912.833,FALSE,1,1.001,3000,54
"18283","Fmsy[1]",0.011,0.015,0,0.007,0.046,FALSE,1,1.021,757,54
"18293","Fmsy[2]",0.01,0.014,0,0.006,0.046,FALSE,1,1,3000,54
"18303","Fmsy[3]",0.013,0.012,0,0.011,0.042,FALSE,1,1.004,1274,54
"18313","Fmsy[4]",0.011,0.014,0,0.006,0.045,FALSE,1,1,3000,54
"18323","Hmsy[1]",0.011,0.015,0,0.007,0.046,FALSE,1,1.021,757,54
"18333","Hmsy[2]",0.01,0.014,0,0.006,0.046,FALSE,1,1,3000,54
"18343","Hmsy[3]",0.013,0.012,0,0.011,0.042,FALSE,1,1.004,1274,54
"18353","Hmsy[4]",0.011,0.014,0,0.006,0.045,FALSE,1,1,3000,54
"18363","Stock.Status[1]",0.88,0.329,0.305,0.864,1.549,FALSE,1,1.001,2555,54
"18373","Stock.Status[2]",0.753,0.373,0.169,0.726,1.517,FALSE,1,1,3000,54
"18383","Stock.Status[3]",0.699,0.248,0.29,0.675,1.233,FALSE,1,1.001,1325,54
"18393","Stock.Status[4]",1.003,0.332,0.398,1,1.663,FALSE,1,1,3000,54
"18403","Proj1_biomass",11268.989,1148.09,9144.711,11224.833,13588.568,FALSE,1,1.002,2036,54
"18413","Bmsyseo",15799.91,3467.976,10166.312,15399.189,24009.344,FALSE,1,1.002,1425,54
"18423","Fmsyseo",0.01,0.009,0.001,0.008,0.034,FALSE,1,1.011,1145,54
"18433","Fmsyseo2",0.01,0.009,0.001,0.008,0.034,FALSE,1,1.011,1145,54
"18443","Stock.Status.SEO",0.747,0.182,0.456,0.727,1.159,FALSE,1,1.001,1252,54
"18573","deviance",4623.24,27.355,4570.305,4622.941,4679.981,FALSE,1,1,3000,54
"116","r[1]",0.034,0.025,0.004,0.029,0.101,FALSE,1,1.001,3000,55
"28","r[2]",0.045,0.033,0.011,0.036,0.151,FALSE,1,1.022,242,55
"34","r[3]",0.022,0.012,0.003,0.021,0.05,FALSE,1,1,3000,55
"44","r[4]",0.045,0.034,0.01,0.034,0.155,FALSE,1,1.001,3000,55
"54","K[1]",7858.903,4269.482,3808.64,6437.816,19904.016,FALSE,1,1.002,3000,55
"64","K[2]",5301.661,4360.511,1374.449,3749.498,17272.493,FALSE,1,1.026,159,55
"74","K[3]",12201.045,5723.711,6442.699,10349.998,27963.795,FALSE,1,1.008,691,55
