"","Full.Model.Code","Key.function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model","Det.Prob","Nhat","Nhat.se","Nhat.cv","Nhat.lcl","Nhat.ucl","Dhat","Dhat.se","Dhat.cv","Dhat.lcl","Dhat.ucl"
"6","\texttt{YE.hn.Stage}","Half-normal","~Stage",0.578228281404457,0.515359152714029,0.0380405878073183,0,"YE.hn.Stage",0.515359152714029,471706.990308549,89736.8938488064,0.19023863477221,322672.777394398,689576.25276824,1067.21038531346,203.024646716757,0.19023863477221,730.028908132122,1560.12726870642
"15","\texttt{YE.unif.cos}","Uniform with cosine adjustment term of order 1",NA,0.504872198655191,0.531624360947497,0.0200469276991459,1.02422890593601,"YE.unif.cos",0.531624360947497,457274.972165368,85588.916381767,0.187171661673219,313841.045455796,666262.119619055,1034.55876055513,193.64008231169,0.187171661673219,710.047614153384,1507.38036112908
"7","\texttt{YE.hn.Depth.Stage}","Half-normal","~Depth + Stage",0.586054216439869,0.514477443254483,0.0388940359485993,1.49190005171101,"YE.hn.Depth.Stage",0.514477443254483,472515.399930665,87699.2932924508,0.185600920743153,326288.439648493,684274.3292167,1069.03936635897,198.414690706902,0.185600920743153,738.209139476229,1548.13196655362
"1","\texttt{YE.hn}","Half-normal","~1",0.556076928789709,0.523832000720526,0.03636293577298,1.90772956554997,"YE.hn",0.523832000720526,464077.250951294,90975.7368976116,0.196035760665113,313692.280184354,686557.204161802,1049.94853156401,205.82745904437,0.196035760665113,709.711041141072,1553.29684199503
"17","\texttt{YE.unif.poly}","Uniform with simple polynomial adjustment terms of order 2,4",NA,0.524805622942284,0.552772852331569,0.0324924854700693,2.58997454378198,"YE.unif.poly",0.552772852331569,439780.12637437,84669.3475950482,0.19252654341859,299079.75512599,646672.187732608,994.977661480475,191.559609943548,0.19252654341859,676.651029696811,1463.05924826382
"5","\texttt{YE.hn.Depth}","Half-normal","~Depth",0.563158860566402,0.522315005821284,0.0368745314262736,3.09918086227299,"YE.hn.Depth",0.522315005821284,465425.101988889,88102.3534142113,0.18929437419195,318894.71555708,679285.403594574,1052.99796830065,199.326591434867,0.18929437419195,721.481256916471,1536.84480451261
"9","\texttt{YE.hr.cos}","Hazard-rate with cosine adjustment terms of order 2,3","~1",0.932054203022427,0.476123861562222,0.0684563899392999,3.14255447424898,"YE.hr.cos",0.476123861562222,510578.30636142,118958.765207873,0.232988287449225,323085.894655061,806875.853262547,1155.15453927923,269.137477845866,0.232988287449225,730.963562568011,1825.51098023201
"13","\texttt{YE.hr.Stage}","Hazard-rate","~Stage",0.115207183991219,0.652686073964703,0.0346724620412075,3.58200144031497,"YE.hr.Stage",0.652686073964703,372458.559408217,69192.6268568218,0.185772685602283,256607.848372758,540612.375483258,842.666424000491,156.544404653443,0.185772685602283,580.560742924791,1223.10492190782
"8","\texttt{YE.hr}","Hazard-rate","~1",0.131189539354215,0.650189938534878,0.0370667498624221,4.865916746972,"YE.hr",0.650189938534878,373888.460043677,71783.9694206084,0.191993006182172,254502.845823841,549277.082153307,845.901493311486,162.407170634861,0.191993006182172,575.798293719097,1242.70833066359
"14","\texttt{YE.hr.Depth.Stage}","Hazard-rate","~Depth + Stage",0.110611174875947,0.653486046889434,0.0346940682508883,5.23716197834699,"YE.hr.Depth.Stage",0.653486046889434,372002.609714219,67818.820856811,0.182307379265191,258070.242081126,536233.625846281,841.634863606831,153.436246282378,0.182307379265191,583.869325975399,1213.198248521
"12","\texttt{YE.hr.Depth}","Hazard-rate","~Depth",0.130191601482897,0.649066427963078,0.0373329023231732,6.378061480643,"YE.hr.Depth",0.649066427963078,374535.647480025,70249.7281911374,0.187564865090403,257213.157809815,545372.376855631,847.365718280599,158.936036631533,0.187564865090403,581.930221289174,1233.87415578197
"16","\texttt{YE.unif.herm}","Uniform with Hermite polynomial adjustment term of order 2",NA,5.12832244337069e-07,0.833333543174467,0.077937533922315,35.274248552512,"YE.unif.herm",0.833333543174467,291718.144368279,60038.8291550826,0.205811089622477,193833.812036729,439033.184455695,659.995801738187,135.834455101997,0.205811089622477,438.538036282193,993.287747637319
