Dive,transect_length_m
1,688.8285914
2,1061.333688
3,624.8382262
4,846.2290209
5,1085.133253
6,982.3200755
7,1029.872486
8,944.9597614
9,1006.251313
10,1006.88807
11,932.9289827
12,1018.065769
13,1013.472615
14,903.1721015
15,1097.790882
16,1022.259771
17,998.9175673
18,1014.3474
19,1026.885178
20,1005.319596
21,922.3697259
22,954.6677481
23,1019.623792
24,991.319257
25,989.7838996
26,1032.889365
27,1010.727326
28,1040.965129
29,1008.084036
30,873.1406538
31,959.9501009
32,840.7850224
33,966.6743658
34,889.2666639
