year.landed,mgmt.area,permit.fishery,gear.description,round.lbs
1975,CSEO,,Longline,280542
1975,CSEO,,Other/unspecified/missing,169
1975,EYKT,,Longline,378684
1975,NSEI,,Longline,1523773
1975,NSEI,,Other/unspecified/missing,540
1975,NSEO,,Longline,351474
1975,SSEI,,Longline,441560
1975,SSEI,,Other/unspecified/missing,165
1975,SSEO,,Longline,406932
1976,CSEO,,Longline,288488
1976,EYKT,,Longline,493810
1976,EYKT,,Other/unspecified/missing,28
1976,NSEI,,Longline,1266282
1976,NSEI,,Other/unspecified/missing,96
1976,NSEO,,Longline,205143
1976,SSEI,,Longline,441170
1976,SSEO,,Longline,317725
1977,CSEO,,Longline,25643
1977,CSEO,B06B,Longline,6661
1977,CSEO,B61B,Longline,181329
1977,CSEO,C61B,Longline,3357
1977,CSEO,S05B,Longline,384
1977,EYKT,,Longline,61508
1977,EYKT,B06B,Longline,3280
1977,EYKT,B61B,Longline,284071
1977,EYKT,M06B,Longline,75
1977,NSEI,,Longline,48292
1977,NSEI,B05B,Longline,329
1977,NSEI,B06B,Longline,27687
1977,NSEI,B61B,Longline,556015
1977,NSEI,C61B,Longline,2730
1977,NSEI,M61B,Longline,995
1977,NSEI,S05B,Longline,462
1977,NSEO,,Longline,3021
1977,NSEO,B06B,Longline,133
1977,NSEO,B61B,Longline,99837
1977,NSEO,C61B,Longline,443
1977,NSEO,S05B,Longline,1357
1977,SSEI,,Longline,29699
1977,SSEI,B06B,Longline,18260
1977,SSEI,B61B,Longline,216659
1977,SSEI,C61B,Longline,26
1977,SSEI,S05B,Longline,813
1977,SSEO,,Longline,18883
1977,SSEO,B06B,Longline,5438
1977,SSEO,B61B,Longline,127002
1977,SSEO,S05B,Longline,36
1978,CSEO,,Longline,32482
1978,CSEO,,Other/unspecified/missing,1227
1978,CSEO,B06B,Longline,12023
1978,CSEO,B61B,Longline,361570
1978,CSEO,C61B,Longline,389
1978,CSEO,M06B,Longline,44
1978,CSEO,S05B,Longline,33
1978,EYKT,,Longline,4740
1978,EYKT,B06B,Longline,7355
1978,EYKT,B61B,Longline,252952
1978,EYKT,C61B,Longline,1428
1978,EYKT,S05B,Longline,34
1978,NSEI,,Longline,62194
1978,NSEI,,Other/unspecified/missing,447
1978,NSEI,B05B,Longline,92
1978,NSEI,B06B,Longline,124192
1978,NSEI,B61B,Longline,805542
1978,NSEI,C61B,Longline,87
1978,NSEI,M06B,Longline,50
1978,NSEI,M61B,Longline,4743
1978,NSEI,S05B,Longline,528
1978,NSEO,,Longline,9206
1978,NSEO,B06B,Longline,19182
1978,NSEO,B61B,Longline,152723
1978,NSEO,C61B,Longline,1255
1978,SSEI,,Longline,7964
1978,SSEI,,Other/unspecified/missing,60
1978,SSEI,B05B,Longline,19
1978,SSEI,B06B,Longline,15477
1978,SSEI,B61B,Longline,209211
1978,SSEI,C09B,Longline,174
1978,SSEI,S05B,Longline,1547
1978,SSEO,,Longline,32274
1978,SSEO,B06B,Longline,6735
1978,SSEO,B61B,Longline,104662
1979,CSEO,,Longline,54344
1979,CSEO,B05B,Longline,646
1979,CSEO,B06B,Longline,142573
1979,CSEO,B61B,Longline,486078
1979,CSEO,M06B,Longline,838
1979,CSEO,M61B,Longline,157
1979,CSEO,M99B,Longline,76
1979,CSEO,S05B,Longline,453
1979,EYKT,,Longline,79018
1979,EYKT,B06B,Longline,29778
1979,EYKT,B61B,Longline,803971
1979,EYKT,S05B,Longline,114
1979,NSEI,,Longline,60536
1979,NSEI,B05B,Longline,1182
1979,NSEI,B06B,Longline,330498
1979,NSEI,B61B,Longline,1035189
1979,NSEI,B99B,Longline,940
1979,NSEI,C61B,Longline,355
1979,NSEI,M06B,Longline,443
1979,NSEI,M99B,Longline,462
1979,NSEI,S05B,Longline,2422
1979,NSEO,,Longline,26598
1979,NSEO,B06B,Longline,50997
1979,NSEO,B61B,Longline,337842
1979,NSEO,B99B,Longline,186
1979,SSEI,,Longline,7794
1979,SSEI,B05B,Longline,50
1979,SSEI,B06B,Longline,79259
1979,SSEI,B61B,Longline,225155
1979,SSEI,C09B,Longline,207
1979,SSEI,M61B,Longline,1530
1979,SSEI,S05B,Longline,1564
1979,SSEO,,Longline,15886
1979,SSEO,B06B,Longline,35549
1979,SSEO,B61B,Longline,209648
1980,CSEO,,Longline,19289
1980,CSEO,B06B,Longline,36617
1980,CSEO,B61B,Longline,240989
1980,CSEO,M06B,Longline,77
1980,EYKT,,Longline,69744
1980,EYKT,B06B,Longline,53623
1980,EYKT,B61B,Longline,750787
1980,EYKT,L99B,Longline,2970
1980,NSEI,,Longline,119604
1980,NSEI,B06B,Longline,262414
1980,NSEI,B61B,Longline,854547
1980,NSEO,,Longline,33679
1980,NSEO,B06B,Longline,18504
1980,NSEO,B61B,Longline,325107
1980,SSEI,,Longline,9527
1980,SSEI,B06B,Longline,33887
1980,SSEI,B61B,Longline,258500
1980,SSEO,B06B,Longline,10595
1980,SSEO,B61B,Longline,114465
1981,CSEO,,Longline,5209
1981,CSEO,,Other/unspecified/missing,93
1981,CSEO,B06B,Longline,48508
1981,CSEO,B61B,Longline,268842
1981,CSEO,M06B,Longline,612
1981,EYKT,B06B,Longline,27375
1981,EYKT,B61B,Longline,848962
1981,NSEI,,Longline,13447
1981,NSEI,B06B,Longline,376417
1981,NSEI,B61B,Longline,1028678
1981,NSEI,M06B,Longline,1214
1981,NSEO,,Longline,6388
1981,NSEO,B06B,Longline,19374
1981,NSEO,B61B,Longline,365935
1981,SSEI,,Longline,6497
1981,SSEI,B06B,Longline,79173
1981,SSEI,B61B,Longline,303582
1981,SSEO,B06B,Longline,17633
1981,SSEO,B61B,Longline,104109
1982,CSEO,,Longline,38360
1982,CSEO,B06B,Longline,53835
1982,CSEO,B61B,Longline,268998
1982,CSEO,M61B,Longline,298
1982,EYKT,,Longline,44824
1982,EYKT,B06B,Longline,43989
1982,EYKT,B61B,Longline,555602
1982,NSEI,,Longline,44257
1982,NSEI,B06B,Longline,252164
1982,NSEI,B61B,Longline,865552
1982,NSEI,M06B,Longline,14
1982,NSEO,,Longline,21212
1982,NSEO,B06B,Longline,16296
1982,NSEO,B61B,Longline,345770
1982,NSEO,C61B,Longline,304
1982,SSEI,,Longline,3551
1982,SSEI,B06B,Longline,62917
1982,SSEI,B61B,Longline,198370
1982,SSEO,,Longline,3600
1982,SSEO,B06B,Longline,15006
1982,SSEO,B61B,Longline,131953
1983,CSEO,,Longline,11022
1983,CSEO,B06B,Longline,110432
1983,CSEO,B61B,Longline,655730
1983,EYKT,,Longline,63398
1983,EYKT,B06B,Longline,47248
1983,EYKT,B61B,Longline,606195
1983,EYKT,C61B,Longline,24020
1983,NSEI,,Longline,22131
1983,NSEI,B06B,Longline,557484
1983,NSEI,B61B,Longline,1562297
1983,NSEI,M06B,Longline,324
1983,NSEO,,Longline,10349
1983,NSEO,B06B,Longline,18261
1983,NSEO,B61B,Longline,225614
1983,SSEI,,Longline,6503
1983,SSEI,,Other/unspecified/missing,3315
1983,SSEI,B06B,Longline,88759
1983,SSEI,B61B,Longline,352166
1983,SSEI,M61B,Longline,3016
1983,SSEO,,Longline,36817
1983,SSEO,B06B,Longline,50808
1983,SSEO,B61B,Longline,203336
1984,CSEO,,Longline,6664
1984,CSEO,,Other/unspecified/missing,385
1984,CSEO,B06B,Longline,86122
1984,CSEO,B61B,Longline,754310
1984,EYKT,,Other/unspecified/missing,150495
1984,EYKT,B06B,Longline,47990
1984,EYKT,B61B,Longline,591688
1984,NSEI,,Longline,33421
1984,NSEI,,Other/unspecified/missing,31393
1984,NSEI,B06B,Longline,353969
1984,NSEI,B61B,Longline,1338575
1984,NSEI,M61B,Longline,8786
1984,NSEO,,Other/unspecified/missing,974
1984,NSEO,B06B,Longline,37308
1984,NSEO,B61B,Longline,557109
1984,SSEI,B06B,Longline,84218
1984,SSEI,B61B,Longline,292594
1984,SSEI,M06B,Longline,115
1984,SSEO,,Longline,9592
1984,SSEO,,Other/unspecified/missing,95662
1984,SSEO,B06B,Longline,29354
1984,SSEO,B61B,Longline,286794
1985,CSEO,,Longline,57
1985,CSEO,,Other/unspecified/missing,95384
1985,CSEO,B06B,Longline,152929
1985,CSEO,B26B,Longline,575
1985,CSEO,B61B,Longline,1291294
1985,CSEO,C61B,Longline,834
1985,EYKT,,Other/unspecified/missing,161572
1985,EYKT,B06B,Longline,49158
1985,EYKT,B61B,Longline,461569
1985,NSEI,,Longline,10122
1985,NSEI,,Other/unspecified/missing,245508
1985,NSEI,B05B,Longline,137
1985,NSEI,B06B,Longline,582961
1985,NSEI,B61B,Longline,2400183
1985,NSEI,M61B,Longline,467
1985,NSEO,,Other/unspecified/missing,17319
1985,NSEO,B06B,Longline,39510
1985,NSEO,B61B,Longline,508721
1985,NSEO,C61B,Longline,8417
1985,SSEI,,Other/unspecified/missing,8295
1985,SSEI,B05B,Longline,830
1985,SSEI,B06B,Longline,120539
1985,SSEI,B26B,Longline,310
1985,SSEI,B61B,Longline,539738
1985,SSEO,,Other/unspecified/missing,155992
1985,SSEO,B06B,Longline,32093
1985,SSEO,B61B,Longline,263004
1986,CSEO,,Longline,131806
1986,CSEO,B05B,Longline,2227
1986,CSEO,B06B,Longline,169969
1986,CSEO,B26B,Longline,89
1986,CSEO,B61B,Longline,1174570
1986,CSEO,M26B,Longline,865
1986,EYKT,,Longline,35367
1986,EYKT,B06B,Longline,66147
1986,EYKT,B61B,Longline,1154462
1986,NSEI,,Longline,155086
1986,NSEI,,Other/unspecified/missing,3514
1986,NSEI,B05B,Longline,351
1986,NSEI,B06B,Longline,864488
1986,NSEI,B61B,Longline,3263148
1986,NSEI,C61B,Longline,7795
1986,NSEI,M06B,Longline,150
1986,NSEI,S03A,Longline,3492
1986,NSEO,,Longline,14350
1986,NSEO,B06B,Longline,129615
1986,NSEO,B61B,Longline,1026041
1986,SSEI,,Longline,15142
1986,SSEI,B06B,Longline,167722
1986,SSEI,B61B,Longline,569403
1986,SSEI,M06B,Longline,168
1986,SSEI,M61B,Longline,8206
1986,SSEO,,Longline,140516
1986,SSEO,B06B,Longline,42964
1986,SSEO,B61B,Longline,569208
1986,SSEO,M61B,Longline,1342
1987,CSEO,,Longline,225424
1987,CSEO,,Other/unspecified/missing,52255
1987,CSEO,B06B,Longline,182615
1987,CSEO,B61B,Longline,1315623
1987,CSEO,M61B,Longline,4211
1987,EYKT,,Longline,42896
1987,EYKT,,Other/unspecified/missing,903
1987,EYKT,B06B,Longline,40783
1987,EYKT,B61B,Longline,486159
1987,NSEI,,Longline,158242
1987,NSEI,B06B,Longline,971087
1987,NSEI,B61B,Longline,3311886
1987,NSEI,M61B,Longline,2657
1987,NSEO,,Longline,43172
1987,NSEO,B06B,Longline,73239
1987,NSEO,B61B,Longline,747379
1987,NSEO,S03A,Longline,4407
1987,SSEI,,Longline,6478
1987,SSEI,B05B,Longline,819
1987,SSEI,B06B,Longline,235158
1987,SSEI,B26B,Longline,450
1987,SSEI,B61B,Longline,654687
1987,SSEI,M61B,Longline,2059
1987,SSEO,,Longline,200399
1987,SSEO,B06B,Longline,42292
1987,SSEO,B61B,Longline,613654
1988,CSEO,,Longline,10937
1988,CSEO,B06B,Longline,286110
1988,CSEO,B61B,Longline,1885585
1988,CSEO,C61B,Longline,3162
1988,CSEO,M06B,Longline,238
1988,EYKT,,Longline,129381
1988,EYKT,B06B,Longline,77087
1988,EYKT,B61B,Longline,922211
1988,EYKT,S01A,Longline,30265
1988,NSEI,,Longline,83489
1988,NSEI,,Other/unspecified/missing,77
1988,NSEI,B05B,Longline,761
1988,NSEI,B06B,Longline,785196
1988,NSEI,B61B,Longline,3174193
1988,NSEI,M61B,Longline,12632
1988,NSEI,S01A,Longline,3322
1988,NSEO,,Longline,20786
1988,NSEO,B06B,Longline,54944
1988,NSEO,B61B,Longline,1116374
1988,SSEI,,Longline,7393
1988,SSEI,B06B,Longline,246591
1988,SSEI,B61B,Longline,789848
1988,SSEI,M61B,Longline,97
1988,SSEO,,Longline,68239
1988,SSEO,B06B,Longline,99947
1988,SSEO,B61B,Longline,699031
1989,CSEO,,Longline,28416
1989,CSEO,B05B,Longline,54
1989,CSEO,B06B,Longline,190295
1989,CSEO,B26B,Longline,29
1989,CSEO,B61B,Longline,1757774
1989,CSEO,C61B,Longline,5161
1989,CSEO,M06B,Longline,272
1989,EYKT,,Longline,183713
1989,EYKT,,Other/unspecified/missing,11801
1989,EYKT,B06B,Longline,61694
1989,EYKT,B61B,Longline,982739
1989,NSEI,,Longline,62707
1989,NSEI,,Other/unspecified/missing,17193
1989,NSEI,B06B,Longline,563938
1989,NSEI,B61B,Longline,1920027
1989,NSEI,C61B,Longline,8298
1989,NSEI,M06B,Longline,291
1989,NSEI,M61B,Longline,721
1989,NSEO,,Longline,108277
1989,NSEO,,Other/unspecified/missing,12211
1989,NSEO,B06B,Longline,40688
1989,NSEO,B61B,Longline,962317
1989,SSEI,,Longline,590
1989,SSEI,B06B,Longline,147356
1989,SSEI,B61B,Longline,554581
1989,SSEO,,Longline,54994
1989,SSEO,,Other/unspecified/missing,18158
1989,SSEO,B06B,Longline,63016
1989,SSEO,B61B,Longline,917582
1990,CSEO,,Longline,224284
1990,CSEO,B05B,Longline,51
1990,CSEO,B06B,Longline,217821
1990,CSEO,B61B,Longline,1783437
1990,CSEO,C61B,Longline,3278
1990,CSEO,M61B,Longline,5787
1990,EYKT,,Longline,132578
1990,EYKT,,Other/unspecified/missing,1165
1990,EYKT,B06B,Longline,60475
1990,EYKT,B61B,Longline,1241402
1990,EYKT,C61B,Longline,2551
1990,NSEI,,Longline,150075
1990,NSEI,,Other/unspecified/missing,54
1990,NSEI,B06B,Longline,520254
1990,NSEI,B61B,Longline,1876321
1990,NSEI,M61B,Longline,4233
1990,NSEO,,Longline,133248
1990,NSEO,B06B,Longline,37672
1990,NSEO,B61B,Longline,1034168
1990,NSEO,M61B,Longline,328
1990,SSEI,,Longline,26307
1990,SSEI,,Other/unspecified/missing,21581
1990,SSEI,B06B,Longline,112100
1990,SSEI,B61B,Longline,323173
1990,SSEO,,Longline,221857
1990,SSEO,,Other/unspecified/missing,10095
1990,SSEO,B06B,Longline,90629
1990,SSEO,B61B,Longline,1138539
1991,CSEO,,Longline,42362
1991,CSEO,,Other/unspecified/missing,12941
