"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r[1]",0.022,0.025,0,0.015,0.093,FALSE,1,1.001,3000
"2","r[2]",0.032,0.031,0.001,0.023,0.118,FALSE,1,1.001,3000
"3","r[3]",0.02,0.019,0,0.015,0.069,FALSE,1,1,3000
"4","r[4]",0.017,0.02,0,0.012,0.067,FALSE,1,1.005,3000
"5","K[1]",10612.382,4367.178,6067.891,9378.814,22474.686,FALSE,1,1,3000
"6","K[2]",4859.182,3492.36,1679.415,3669.798,14840.983,FALSE,1,1,3000
"7","K[3]",14514.915,4682.808,8910.211,13339.99,26455.197,FALSE,1,1.006,781
"8","K[4]",11898.549,3959.786,7307.09,10860.275,22276.759,FALSE,1,1.004,2037
"9","phi[1]",0.753,0.247,0.262,0.777,1.128,FALSE,1,1,3000
"10","phi[2]",0.558,0.292,0.103,0.532,1.112,FALSE,1,1,3000
"11","phi[3]",0.824,0.214,0.371,0.849,1.134,FALSE,1,1.002,897
"12","phi[4]",0.821,0.221,0.36,0.853,1.135,FALSE,1,1,3000
"13","bigphi",0.746,0.208,0.3,0.761,1.096,FALSE,1,1.002,870
"14","R.hyp",0.032,0.032,0.002,0.022,0.136,FALSE,1,1.001,3000
"15","Kseo",41885.029,8841.462,27549.151,40805.688,61285.492,FALSE,1,1.003,983
"16","sigma",0.056,0.017,0.02,0.058,0.081,FALSE,1,1,3000
"17","eta",238.236,334.885,1.372,105.791,1296.602,FALSE,1,1.001,3000
"18","rB1",5.363,9.336,0.03,2.012,33.371,FALSE,1,1.002,3000
"19","rB2",232.872,328.104,1.241,102.701,1262.677,FALSE,1,1.001,3000
"20","pi[1]",0.253,0.074,0.141,0.24,0.438,FALSE,1,1.001,1401
"21","pi[2]",0.113,0.067,0.04,0.093,0.299,FALSE,1,1,3000
"22","pi[3]",0.348,0.078,0.216,0.34,0.528,FALSE,1,1.001,1681
"23","pi[4]",0.286,0.072,0.167,0.278,0.464,FALSE,1,1.003,3000
"24","phiTau",1.664,2.365,0.488,1.145,5.801,FALSE,1,1.108,1519
"25","epsilon[1]",0.004,0.045,-0.083,0.004,0.091,TRUE,0.536,1.002,1380
"26","epsilon[2]",0.005,0.045,-0.083,0.005,0.09,TRUE,0.544,1.001,1380
"27","epsilon[3]",0.004,0.045,-0.085,0.004,0.089,TRUE,0.537,1,2488
"28","epsilon[4]",0.004,0.045,-0.085,0.005,0.088,TRUE,0.545,1.001,2941
"29","epsilon[5]",0.005,0.045,-0.085,0.005,0.089,TRUE,0.54,1,3000
"30","epsilon[6]",0.004,0.045,-0.086,0.004,0.088,TRUE,0.536,1,3000
"31","epsilon[7]",0.006,0.045,-0.083,0.005,0.089,TRUE,0.555,1.001,1170
"32","epsilon[8]",0.005,0.045,-0.083,0.004,0.088,TRUE,0.541,1,3000
"33","epsilon[9]",0.004,0.045,-0.083,0.004,0.089,TRUE,0.532,1.001,1271
"34","epsilon[10]",0.006,0.045,-0.082,0.005,0.09,TRUE,0.548,1.001,1647
"35","epsilon[11]",0.004,0.045,-0.086,0.004,0.089,TRUE,0.539,1,2358
"36","epsilon[12]",0.003,0.045,-0.085,0.002,0.088,TRUE,0.518,1.001,1945
"37","epsilon[13]",0.004,0.046,-0.086,0.005,0.087,TRUE,0.542,1,3000
"38","epsilon[14]",0.004,0.045,-0.085,0.005,0.088,TRUE,0.54,1,3000
"39","epsilon[15]",0.014,0.044,-0.076,0.016,0.091,TRUE,0.629,1.001,2782
"40","epsilon[16]",0.006,0.044,-0.081,0.007,0.088,TRUE,0.556,1.001,1613
"41","epsilon[17]",0.006,0.045,-0.081,0.006,0.088,TRUE,0.55,1,3000
"42","epsilon[18]",0.006,0.044,-0.081,0.006,0.089,TRUE,0.555,1,3000
"43","epsilon[19]",-0.02,0.042,-0.093,-0.021,0.065,TRUE,0.684,1.002,1210
"44","epsilon[20]",-0.02,0.041,-0.092,-0.023,0.065,TRUE,0.684,1.001,1695
"45","epsilon[21]",-0.025,0.041,-0.093,-0.026,0.064,TRUE,0.727,1,3000
"46","epsilon[22]",-0.016,0.042,-0.092,-0.017,0.071,TRUE,0.647,1.001,1671
"47","epsilon[23]",-0.007,0.042,-0.088,-0.008,0.079,TRUE,0.58,1.002,1084
