"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","cv"
"1523","Bseo[53]",18207.682,3474.478,12380.592,17819.073,25890.845,FALSE,1,1,3000,0.190824839757197
"1524","Bseo[54]",18222.415,3600.5,12232.629,17879.722,26239.153,FALSE,1,1,3000,0.19758632431541
"1525","Bseo[55]",18251.92,3728.502,12007.949,17848.588,26518.578,FALSE,1,1,3000,0.204279988077967
"1526","Bseo[56]",18264.835,3853.094,11923.534,17888.603,26979.413,FALSE,1,1,3000,0.210956956359036
"1527","Bseo[57]",18269.235,3979.332,11686.515,17832.3,27142.403,FALSE,1,1,3000,0.217816016926817
"1528","Bseo[58]",18286.981,4110.97,11418.099,17864.535,27249.691,FALSE,1,1,3000,0.224803098991572
"1529","Bseo[59]",18272.623,4213.629,11247.969,17818.571,27140.624,FALSE,1,1,3000,0.230597927839917
"1530","Bseo[60]",18290.565,4351.269,11049.438,17759.865,27794.276,FALSE,1,1,3000,0.2378969157049
"1531","Bseo[61]",18318.117,4501.149,10976.919,17747.945,28154.303,FALSE,1,1,3000,0.245721162278852
"1532","Bseo[62]",18313.856,4609.196,10867.982,17716.744,28371.908,FALSE,1,1,3000,0.251678073694584
"1533","Bseo[63]",18336.771,4768.471,10702.627,17657.947,28763.277,FALSE,1,1,3000,0.260049656507135
"1534","Bseo[64]",18370.232,4883.471,10448.244,17723.322,29268.898,FALSE,1,1,3000,0.265836109201016
"1535","Bseo[65]",18368.218,4997.318,10194.017,17676.073,29286.603,FALSE,1,1,3000,0.272063299771377
"1536","Bseo[66]",18365.97,5112.279,10084.771,17728.28,29653.184,FALSE,1,1,3000,0.278356057425772
"1537","Bseo[67]",18405.153,5214.53,9857.942,17778.365,29590.314,FALSE,1,1,3000,0.283319024840489
"1538","Bseo[68]",18396.888,5288.865,9733.757,17720.17,29930.03,FALSE,1,1,3000,0.287486938008211
"1539","Bseo[69]",18383.652,5410.498,9660.091,17718.888,30197.661,FALSE,1,1,3000,0.294310292644791
"1540","Bseo[70]",18364.325,5499.943,9467.759,17671.296,30316.253,FALSE,1,1,3000,0.299490615636567
"1541","Bseo[71]",18364.267,5633.976,9324.537,17614.222,30643.668,FALSE,1,1,3000,0.306790137607997
"1542","Bseo[72]",18399.677,5761.125,9196.628,17647.722,30875.045,FALSE,1,1,3000,0.313110116009102
"1543","Bseo[73]",18385.474,5863.179,8903.641,17697.129,31217.279,FALSE,1,1,3000,0.318902792498034
"1544","Bseo[74]",18385.688,5985.92,8756.694,17678.049,31546.489,FALSE,1,1,3000,0.325574979843017
"1545","Bseo[75]",18350.064,6043.93,8566.705,17593.583,31368.128,FALSE,1,1,3000,0.329368333538237
"1546","Bseo[76]",18379.802,6154.577,8449.518,17671.013,31332.221,FALSE,1,1,3000,0.334855457093607
"1547","Bseo[77]",18361.402,6239.086,8236.437,17535.803,31481.655,FALSE,1,1,3000,0.339793551712446
"1548","Bseo[78]",18344.108,6304.486,8069.596,17557.565,31841.227,FALSE,1,1,3000,0.343679071230937
"1549","Bseo[79]",18340.291,6381.114,8000.84,17605.064,31693.346,FALSE,1,1,3000,0.347928721523557
"1550","Bseo[80]",18327.833,6489.837,7655.543,17590.455,31953.319,FALSE,1,1,3000,0.354097344732462
"1551","Bseo[81]",18316.084,6595.28,7530.545,17665.053,32471.705,FALSE,1,1,3000,0.360081336163341
"1552","Bseo[82]",18284.63,6642.365,7345.769,17601.806,32448.248,FALSE,1,1,3000,0.363275877061773
"1553","Bseo[83]",18277.342,6736.982,7319.623,17554.576,32488.224,FALSE,1,1,3000,0.368597468931752
"1554","Bseo[84]",18263.459,6821.548,7101.152,17604.64,32738.922,FALSE,1,1,3000,0.3735079975814
"1555","Bseo[85]",18267.554,6890.732,6944.798,17607.818,32899.557,FALSE,1,1,3000,0.377211530345004
"1556","Bseo[86]",18272.981,6996.573,6747.968,17534.974,33088.696,FALSE,1,1,3000,0.382891713180241
"1557","Bseo[87]",18245.424,7071.698,6685.501,17613.602,33114.921,FALSE,1,1,3000,0.387587484949651
"1558","Bseo[88]",18230.08,7158.485,6390.507,17583.875,33540.467,FALSE,1,1,3000,0.392674360178343
"1559","Bseo[89]",18244.651,7274.909,6352.682,17628.958,34161.689,FALSE,1,1,3000,0.398742020332425
"1560","Bseo[90]",18216.149,7337.076,6084.996,17647.742,34090.049,FALSE,1,1,3000,0.402778655356848
"1561","Bseo[91]",18206.331,7418.75,6066.037,17556.609,34257.497,FALSE,1,1,3000,0.407481880890774
"1562","Bseo[92]",18202.444,7501.02,5957.535,17585.455,34390.232,FALSE,1,1,3000,0.412088618429481
"1563","Bseo[93]",18174.555,7580.755,5798.537,17561.648,34603.473,FALSE,1,1,3000,0.417108149277933
