OBJECTID,Dive,Seconds,Sec_From,Sec_To,T_seg,Start_End,Comment_,Family,Shape_Length
132,1,35833,35833,0,GGF,END,,Good,
135,1,32834,32834,35833,GGF,START,,Good,1003.159214
116,2,40189,40189,0,GGF,END,,Good,
129,2,37731,37731,40189,GGF,START,,Good,995.4509277
96,3,46033,46033,0,GGF,END,,Good,
100,3,43369,43369,46033,GGF,START,,Good,1005.196297
83,4,50357,50357,0,GGF,END,,Good,
86,4,47956,47956,50357,GGF,START,,Good,998.5451578
65,5,56189,56189,0,GGF,END,,Good,
72,5,53728,53728,56189,GGF,START,,Good,1000.849694
35,6,63735,63735,0,GGF,END,,Good,
55,6,61360,61360,63735,GGF,START,,Good,1014.336354
39,7,65786,65786,67942,GGF,START,,Good,994.2887704
42,7,67942,67942,0,GGF,END,,Good,
51,8,22609,22609,22861,GGF,START,,Good,65.56593073
163,8,22882,22882,23010,GGF,,,Good,28.61831523
178,8,23028,23028,0,GGF,END,,Good,
187,9,28655,28655,31349,GGF,START,,Good,996.1962654
191,9,31349,31349,0,GGF,END,,Good,
3,10,34882,34882,36592,GGF,,,Good,752.4540274
139,10,36592,36592,0,GGF,END,,Good,
208,10,33965,33965,34671,GGF,START,,Good,177.4481424
221,10,34691,34691,34733,GGF,,,Good,7.698241802
21,11,41153,41153,41166,GGF,,can see in belly,Good,4.102882051
32,11,39100,39100,39339,GGF,START,,Good,113.5786209
80,11,39759,39759,39768,GGF,,can see in belly,Good,3.386488027
113,11,41166,41166,41573,GGF,,,Good,150.2071254
126,11,39339,39339,39348,GGF,,can see in belly,Good,4.006562048
172,11,39768,39768,41153,GGF,,,Good,557.8015361
205,11,41573,41573,0,GGF,END,,Good,
218,11,39348,39348,39759,GGF,,,Good,178.1516769
24,12,48799,48799,49335,GGF,,,Good,206.8498072
69,12,46738,46738,48778,GGF,START,,Good,791.9722275
104,12,49335,49335,0,GGF,END,,Good,
160,12,48778,48778,48799,GGF,,can see in belly,Good,8.836721332
8,13,54381,54381,55179,GGF,,,Good,333.3505238
97,13,55179,55179,0,GGF,END,,Good,
143,13,54376,54376,54381,GGF,,can see in belly,Good,1.705953837
150,13,53238,53238,53850,GGF,,,Good,199.0926277
195,13,52255,52255,53175,GGF,START,,Good,300.7895531
199,13,53988,53988,54345,GGF,,,Good,131.6164596
52,14,60222,60222,0,GGF,END,,Good,
188,14,57323,57323,60222,GGF,START,,Good,1007.176065
44,15,63978,63978,64388,GGF,,,Good,160.2237156
87,15,63032,63032,63971,GGF,,,Good,401.0843828
133,15,61890,61890,63016,GGF,START,,Good,424.6398052
137,15,64388,64388,0,GGF,END,,Good,
225,15,63016,63016,63032,GGF,,can see in belly,Good,7.506208761
1,16,68602,68602,69907,GGF,START,,Good,423.3871802
19,16,70748,70748,70785,GGF,,,Good,9.381060135
78,16,70242,70242,70730,GGF,,,Good,144.7710248
102,16,71054,71054,0,GGF,END,,Good,
111,16,70785,70785,70819,GGF,,can see in belly,Good,9.433324647
123,16,70157,70157,70232,GGF,,,Good,19.98278286
158,16,70991,70991,71040,GGF,,,Good,12.99140336
167,16,69915,69915,70146,GGF,,,Good,69.42132139
203,16,70819,70819,70981,GGF,,,Good,49.99059127
106,17,18834,18834,20164,GGF,,,Good,561.3708875
149,17,17809,17809,18801,GGF,,,Good,389.1398467
