"","model_name","variable","year","pred","pred_lci","pred_uci"
"1","22.2","tot_biomass_pred",1994,23755.5568245624,19148.7342010967,29470.693682337
"2","22.2","tot_biomass_pred",1995,24011.8723692758,19542.161220155,29503.9022645938
"3","22.2","tot_biomass_pred",1996,23831.0083763351,19528.6172801085,29081.2683810145
"4","22.2","tot_biomass_pred",1997,23671.3424176267,19612.5892783288,28570.0395751254
"5","22.2","tot_biomass_pred",1998,23526.9432666164,19601.9396132798,28237.8718836371
"6","22.2","tot_biomass_pred",1999,22413.1354116323,18916.2385478003,26556.4762101491
"7","22.2","tot_biomass_pred",2000,21685.6024621866,18205.5037822929,25830.9442996785
"8","22.2","tot_biomass_pred",2001,20864.9886472425,17399.0727189927,25021.3191404353
"9","22.2","tot_biomass_pred",2002,20389.7577834359,16977.0463018047,24488.4896392719
"10","22.2","tot_biomass_pred",2003,20296.9946124215,16967.9180349985,24279.2303361514
"11","22.2","tot_biomass_pred",2004,19568.5216502286,16344.874077348,23427.9589896723
"12","22.2","tot_biomass_pred",2005,19234.9713802044,16127.4850608129,22941.2163522186
"13","22.2","tot_biomass_pred",2006,18228.3923578033,15152.182833449,21929.1366532692
"14","22.2","tot_biomass_pred",2007,17379.3243363538,14294.7223380679,21129.5404866888
"15","22.2","tot_biomass_pred",2008,16843.2956671712,13743.7455202622,20641.8700428858
"16","22.2","tot_biomass_pred",2009,16994.9966260223,14033.9476070375,20580.8029505307
"17","22.2","tot_biomass_pred",2010,17105.5426629945,14190.2601290642,20619.7481324693
"18","22.2","tot_biomass_pred",2011,17007.498066959,14115.9648722877,20491.3368030177
"19","22.2","tot_biomass_pred",2012,17009.6111685661,14180.7916206288,20402.7306687817
"20","22.2","tot_biomass_pred",2013,17029.781314679,14213.8225233975,20403.6212741784
"21","22.2","tot_biomass_pred",2014,17445.2209436685,14647.3034026281,20777.5947154072
"22","22.2","tot_biomass_pred",2015,17539.2786783086,14770.7830523752,20826.6748935767
"23","22.2","tot_biomass_pred",2016,17672.8679922528,14916.3655079638,20938.7643997355
"24","22.2","tot_biomass_pred",2017,18067.4518444334,15294.8646864737,21342.6416540715
"25","22.2","tot_biomass_pred",2018,18348.0217234026,15576.8198300008,21612.2356704718
"26","22.2","tot_biomass_pred",2019,18597.1911911681,15714.6182438318,22008.521927449
"27","22.2","tot_biomass_pred",2020,19021.5363816431,16012.575669648,22595.9179698994
"28","22.2","tot_biomass_pred",2021,18954.9163791669,15820.940845888,22709.7021878184
"29","22.2","tot_biomass_pred",2022,19802.1596003339,16451.9378154723,23834.6101982175
"30","22.2","tot_biomass_pred",2023,21115.3388164268,17013.1279354725,26206.6761046853
"31","22.2","tot_biomass_pred",2024,21115.3388164268,16604.037706227,26852.3561088572
