"","model_name","variable","year","pred","pred_lci","pred_uci"
"1","22.2","tot_biomass_pred",1994,23603.6344829992,18261.2777789447,30508.9034596145
"2","22.2","tot_biomass_pred",1995,24044.2765111269,18949.8696905171,30508.2431903389
"3","22.2","tot_biomass_pred",1996,23765.1486319229,18855.7325571378,29952.8160884733
"4","22.2","tot_biomass_pred",1997,23532.8629617306,19009.1072424079,29133.1745417329
"5","22.2","tot_biomass_pred",1998,23326.5808665723,19068.5115212434,28535.4928893401
"6","22.2","tot_biomass_pred",1999,21481.1029826146,17744.2092326441,26004.9788243471
"7","22.2","tot_biomass_pred",2000,20370.1478423014,16624.2573415616,24960.0878157627
"8","22.2","tot_biomass_pred",2001,19166.432336038,15444.1991682851,23785.7673608798
"9","22.2","tot_biomass_pred",2002,18599.5830322051,14964.4361860043,23117.7763513362
"10","22.2","tot_biomass_pred",2003,18814.9860565122,15254.585947718,23206.3788240484
"11","22.2","tot_biomass_pred",2004,18029.3154459236,14642.2752224794,22199.8432968655
"12","22.2","tot_biomass_pred",2005,17969.0931520127,14694.0336901707,21974.1097314687
"13","22.2","tot_biomass_pred",2006,16692.846174245,13586.8998500094,20508.807489062
"14","22.2","tot_biomass_pred",2007,15745.9059098467,12767.8270037271,19418.6178156527
"15","22.2","tot_biomass_pred",2008,15261.4723089713,12328.9159065166,18891.5666879023
"16","22.2","tot_biomass_pred",2009,15947.9973188372,12987.3407742122,19583.5793410962
"17","22.2","tot_biomass_pred",2010,16489.3610130385,13417.8894836904,20263.9190722812
"18","22.2","tot_biomass_pred",2011,16232.3318847053,13211.814244915,19943.4077357417
"19","22.2","tot_biomass_pred",2012,16385.4166340728,13428.7657626391,19993.0420276676
"20","22.2","tot_biomass_pred",2013,16178.0215765597,13249.4015522592,19753.9776494284
"21","22.2","tot_biomass_pred",2014,16836.814413042,13807.0805494559,20531.3729114436
"22","22.2","tot_biomass_pred",2015,16836.8826820559,13862.4336423612,20449.5563883565
"23","22.2","tot_biomass_pred",2016,17133.9732047488,14144.7774239571,20754.871496516
"24","22.2","tot_biomass_pred",2017,17713.4251111162,14637.5277869777,21435.6846137818
"25","22.2","tot_biomass_pred",2018,18111.1836136487,15008.2330271536,21855.6689047829
"26","22.2","tot_biomass_pred",2019,19016.4351064819,15646.7006243267,23111.8887516005
"27","22.2","tot_biomass_pred",2020,20916.0694537928,17174.1285862059,25473.31349011
"28","22.2","tot_biomass_pred",2021,22793.7987622231,18605.8548587654,27924.3961622088
"29","22.2","tot_biomass_pred",2022,25012.998446719,20156.4882648698,31039.6376131647
"30","22.2","tot_biomass_pred",2023,26714.3279582222,21023.6378441596,33945.3772724546
"31","22.2","tot_biomass_pred",2024,26714.3279582222,20104.1615032269,35497.8902325722
