"","model_name","variable","year","pred","pred_lci","pred_uci"
"1","22.2","tot_biomass_pred",1994,23328.2087437104,18598.8066230426,29260.2280468842
"2","22.2","tot_biomass_pred",1995,23577.0885131654,19018.222542246,29228.7621265781
"3","22.2","tot_biomass_pred",1996,23319.9446630391,18960.5919009593,28681.5845163407
"4","22.2","tot_biomass_pred",1997,23090.1389042883,19027.3325465723,28020.4549594301
"5","22.2","tot_biomass_pred",1998,22859.5378296698,18983.9786859086,27526.2882682221
"6","22.2","tot_biomass_pred",1999,21682.0384131337,18198.8113615337,25831.9502526558
"7","22.2","tot_biomass_pred",2000,21050.1632414801,17534.1337816354,25271.2439639909
"8","22.2","tot_biomass_pred",2001,20287.1087766011,16766.0081976795,24547.6906405551
"9","22.2","tot_biomass_pred",2002,19829.0071604854,16362.1130940394,24030.4857148199
"10","22.2","tot_biomass_pred",2003,19748.9593243194,16356.7300619692,23844.7044681905
"11","22.2","tot_biomass_pred",2004,18912.7545649518,15644.6394700023,22863.5684395258
"12","22.2","tot_biomass_pred",2005,18610.736390893,15471.5638272172,22386.8454979322
"13","22.2","tot_biomass_pred",2006,17624.6158604197,14508.9570432565,21409.3324076475
"14","22.2","tot_biomass_pred",2007,16893.0143601884,13787.2847143754,20698.3419930384
"15","22.2","tot_biomass_pred",2008,16490.4466333339,13384.8250312348,20316.6518450744
"16","22.2","tot_biomass_pred",2009,16879.7713687944,13898.3063821375,20500.8202890797
"17","22.2","tot_biomass_pred",2010,17146.6442481024,14169.8655221918,20748.7790558441
"18","22.2","tot_biomass_pred",2011,17118.5335813586,14155.2556727415,20702.1475804504
"19","22.2","tot_biomass_pred",2012,17146.5582082577,14234.579118252,20654.2431600376
"20","22.2","tot_biomass_pred",2013,17113.7396889499,14192.8390609504,20635.7646192831
"21","22.2","tot_biomass_pred",2014,17643.4758968457,14714.0612201112,21156.1061943319
"22","22.2","tot_biomass_pred",2015,17754.3697686315,14848.8121191998,21228.4756080734
"23","22.2","tot_biomass_pred",2016,17906.360624841,15005.147615329,21368.5169281039
"24","22.2","tot_biomass_pred",2017,18447.1808659396,15507.0717669991,21944.7286382516
"25","22.2","tot_biomass_pred",2018,18824.0905491592,15877.8611395239,22317.0099479514
"26","22.2","tot_biomass_pred",2019,19161.2774805345,16073.3189847213,22842.4854278721
"27","22.2","tot_biomass_pred",2020,19731.5551240064,16489.3324553332,23611.2813339379
"28","22.2","tot_biomass_pred",2021,19754.9793778863,16369.1769575649,23841.1015552225
"29","22.2","tot_biomass_pred",2022,21051.2867531964,17324.6531314103,25579.54093533
"30","22.2","tot_biomass_pred",2023,22912.7874715638,18045.9737650885,29092.1308293542
"31","22.2","tot_biomass_pred",2024,22912.7874715638,17562.8522997887,29892.4013455016
