"","model_name","variable","year","pred","pred_lci","pred_uci"
"1","22.1","tot_biomass_pred",1994,22065.4386830874,18252.5739906374,26674.7903351513
"2","22.1","tot_biomass_pred",1995,24114.4814561701,20413.5369200529,28486.401850761
"3","22.1","tot_biomass_pred",1996,24257.3068660127,20441.0217847843,28786.0823488728
"4","22.1","tot_biomass_pred",1997,24429.9730714887,20956.3188363344,28479.409429431
"5","22.1","tot_biomass_pred",1998,24933.345362473,21434.8034236165,29002.9116982433
"6","22.1","tot_biomass_pred",1999,23685.3626448334,20579.1142537226,27260.4737356853
"7","22.1","tot_biomass_pred",2000,23663.3121092093,20323.9700851342,27551.3267158085
"8","22.1","tot_biomass_pred",2001,23066.6092575887,19702.2710040813,27005.4382325803
"9","22.1","tot_biomass_pred",2002,23088.5615007574,19846.4722432331,26860.2734854309
"10","22.1","tot_biomass_pred",2003,24150.5563486927,21034.8528028341,27727.7610363309
"11","22.1","tot_biomass_pred",2004,22782.3385818243,19630.5844793019,26440.1170430836
"12","22.1","tot_biomass_pred",2005,21549.4478184099,18653.159756563,24895.4443825521
"13","22.1","tot_biomass_pred",2006,19332.0689957417,16587.6924854989,22530.4931341616
"14","22.1","tot_biomass_pred",2007,17393.6895661761,14773.6036218813,20478.4455077982
"15","22.1","tot_biomass_pred",2008,16654.258212981,14089.1099195299,19686.4328696996
"16","22.1","tot_biomass_pred",2009,16893.2136121608,14523.1997204846,19649.9856532011
"17","22.1","tot_biomass_pred",2010,16797.7744852504,14357.4395989579,19652.8932413415
"18","22.1","tot_biomass_pred",2011,16059.3219760568,13704.1153589686,18819.2973844079
"19","22.1","tot_biomass_pred",2012,15631.3371670593,13411.9512651686,18217.9831106938
"20","22.1","tot_biomass_pred",2013,15472.2107571304,13286.2192441451,18017.865076143
"21","22.1","tot_biomass_pred",2014,16103.4483764532,13869.2198025351,18697.5946235774
"22","22.1","tot_biomass_pred",2015,15997.3104940098,13845.5412898126,18483.4913771162
"23","22.1","tot_biomass_pred",2016,16076.8463307769,14025.6833586791,18427.9782548689
"24","22.1","tot_biomass_pred",2017,16368.3733975341,14257.9780682215,18791.1389959462
"25","22.1","tot_biomass_pred",2018,16959.5413116219,14934.9260078166,19258.6184457876
"26","22.1","tot_biomass_pred",2019,17407.5552784189,15114.372421573,20048.6644313925
"27","22.1","tot_biomass_pred",2020,18694.0138274776,16149.5600230094,21639.3606069772
"28","22.1","tot_biomass_pred",2021,19485.5120864888,16518.9861268091,22984.7751162222
"29","22.1","tot_biomass_pred",2022,20667.7153702468,17026.7792236262,25087.214264975
"30","22.1","tot_biomass_pred",2023,20667.7153702468,16271.5748535317,26251.5744462696
"31","22.2","tot_biomass_pred",1994,23919.1453732143,19171.5287892414,29842.4565758168
"32","22.2","tot_biomass_pred",1995,24508.8426188316,19968.2824136778,30081.8745483689
"33","22.2","tot_biomass_pred",1996,24588.0412448538,20158.7749508877,29990.5015920627
"34","22.2","tot_biomass_pred",1997,24676.8399469806,20482.1081948662,29730.6519414601
"35","22.2","tot_biomass_pred",1998,24834.4378742326,20733.9334901369,29745.8899838039
"36","22.2","tot_biomass_pred",1999,23827.6190654302,20069.5917251459,28289.3363304393
"37","22.2","tot_biomass_pred",2000,23155.8826591489,19398.3868509044,27641.2108824025
"38","22.2","tot_biomass_pred",2001,22121.7585916238,18453.4491657741,26519.2809642183
"39","22.2","tot_biomass_pred",2002,21469.8766569101,17887.6283695366,25769.5203712952
"40","22.2","tot_biomass_pred",2003,21281.2714480696,17782.0603803957,25469.0685307607
"41","22.2","tot_biomass_pred",2004,20788.2716567789,17351.5245824659,24905.721478373
"42","22.2","tot_biomass_pred",2005,20178.4092628907,16894.2958824957,24100.9275090643
"43","22.2","tot_biomass_pred",2006,18775.5951010457,15656.3886482631,22516.2378961206
"44","22.2","tot_biomass_pred",2007,17486.1871328455,14462.1372342285,21142.569420598
"45","22.2","tot_biomass_pred",2008,16786.9494559786,13831.8980419954,20373.3190616353
"46","22.2","tot_biomass_pred",2009,16882.9449796688,14042.8895963897,20297.3774898724
"47","22.2","tot_biomass_pred",2010,16769.2501789927,13953.9985626974,20152.4853469161
"48","22.2","tot_biomass_pred",2011,16252.0778228838,13503.6012745277,19559.969832589
"49","22.2","tot_biomass_pred",2012,16021.4920717576,13354.3944728087,19221.2540020472
"50","22.2","tot_biomass_pred",2013,15772.4818527837,13152.5913045353,18914.2335556803
"51","22.2","tot_biomass_pred",2014,16061.0753119618,13447.9229216184,19182.0061492043
"52","22.2","tot_biomass_pred",2015,15873.4745177443,13294.1828792032,18953.1914488437
"53","22.2","tot_biomass_pred",2016,15907.2213021363,13345.9103217754,18960.0921521461
"54","22.2","tot_biomass_pred",2017,16388.5028763951,13809.1205023473,19449.6837422742
"55","22.2","tot_biomass_pred",2018,16853.1841099521,14268.9587316731,19905.4338851982
"56","22.2","tot_biomass_pred",2019,17253.7028282472,14511.7521176453,20513.7366509656
"57","22.2","tot_biomass_pred",2020,18227.8719704443,15243.0563378503,21797.1586017089
"58","22.2","tot_biomass_pred",2021,18987.394434534,15683.4900902441,22987.3035490254
"59","22.2","tot_biomass_pred",2022,19950.2058678279,16102.8242404859,24716.8265780378
"60","22.2","tot_biomass_pred",2023,19950.2058678279,15632.0008474288,25461.2776734963
"61","22.4","tot_biomass_pred",1994,20621.7112776863,16622.0244881064,25583.8256239207
"62","22.4","tot_biomass_pred",1995,23469.7831149841,19288.424406742,28557.5798130955
"63","22.4","tot_biomass_pred",1996,22986.075546612,18562.2936780679,28464.1369325403
"64","22.4","tot_biomass_pred",1997,22564.0395594601,18589.6828834431,27388.0885668224
"65","22.4","tot_biomass_pred",1998,22510.7749373395,18116.8886007776,27970.3098830006
"66","22.4","tot_biomass_pred",1999,22505.7739384757,18194.2980660078,27838.933864455
"67","22.4","tot_biomass_pred",2000,23453.4841406789,18491.5884997272,29746.8180381146
"68","22.4","tot_biomass_pred",2001,24530.5046562491,19244.4414587668,31268.5436976471
"69","22.4","tot_biomass_pred",2002,25756.4147720036,20472.2697434124,32404.4627304188
"70","22.4","tot_biomass_pred",2003,27153.7723762565,22356.2134840572,32980.8692687318
"71","22.4","tot_biomass_pred",2004,25390.5722498112,20277.7497706593,31792.5394318506
"72","22.4","tot_biomass_pred",2005,23811.3148931546,19036.6676091391,29783.5066820608
"73","22.4","tot_biomass_pred",2006,21873.6824109684,17223.3986656853,27779.5336160426
"74","22.4","tot_biomass_pred",2007,20112.554946164,15857.1978528422,25509.8580604494
"75","22.4","tot_biomass_pred",2008,18951.3819496004,14825.3413031499,24225.7409428632
"76","22.4","tot_biomass_pred",2009,17867.7816973987,14076.246248465,22680.5937570686
"77","22.4","tot_biomass_pred",2010,17081.981332475,13259.3118999238,22006.7291911808
"78","22.4","tot_biomass_pred",2011,16335.3943772154,12707.9420010055,20998.2945655597
"79","22.4","tot_biomass_pred",2012,15625.9560250942,12397.7774138181,19694.6995859141
"80","22.4","tot_biomass_pred",2013,15444.7281540874,12354.0952978403,19308.5468423867
"81","22.4","tot_biomass_pred",2014,15872.8179023588,12657.5001423846,19904.9058129401
"82","22.4","tot_biomass_pred",2015,16353.8956087959,13236.9330622227,20204.8239064288
"83","22.4","tot_biomass_pred",2016,16640.0340792187,13740.4573927977,20151.4932321465
"84","22.4","tot_biomass_pred",2017,16360.3781082647,13480.6227703454,19855.3120582966
"85","22.4","tot_biomass_pred",2018,16617.4402876232,14087.2678283243,19602.049529967
"86","22.4","tot_biomass_pred",2019,17164.0774801722,14095.5650915536,20900.5849592997
"87","22.4","tot_biomass_pred",2020,17624.391371331,14345.0745758272,21653.3674724332
"88","22.4","tot_biomass_pred",2021,17668.1216572195,13695.0212933912,22793.8691154097
"89","22.4","tot_biomass_pred",2022,17712.318330881,13286.0149393338,23613.2671901235
"90","22.4","tot_biomass_pred",2023,17712.318330881,12552.2895917335,24993.5454692721
"91","22.5","tot_biomass_pred",1994,21654.2403630995,17372.6476045668,26991.0572283538
"92","22.5","tot_biomass_pred",1995,21786.1399333786,17415.9692988462,27252.9128326035
"93","22.5","tot_biomass_pred",1996,21699.2256154572,17437.0978828046,27003.1398272326
"94","22.5","tot_biomass_pred",1997,21614.1095411804,17471.9203138892,26738.3162734991
"95","22.5","tot_biomass_pred",1998,21494.9058341065,17435.9301188194,26498.7857641398
"96","22.5","tot_biomass_pred",1999,21378.0191682157,17415.3274280544,26242.3836384715
"97","22.5","tot_biomass_pred",2000,21307.0111498225,17314.7100860961,26219.8282201224
"98","22.5","tot_biomass_pred",2001,21237.9713915786,17227.4476125189,26182.1390477915
"99","22.5","tot_biomass_pred",2002,21170.8772627472,17152.5353934503,26130.6001587061
"100","22.5","tot_biomass_pred",2003,21105.7065107813,17089.1216461753,26066.3395429063
"101","22.5","tot_biomass_pred",2004,20783.5631576377,17055.275124257,25326.856024337
"102","22.5","tot_biomass_pred",2005,20469.1716427564,16993.2901362579,24656.0250770184
"103","22.5","tot_biomass_pred",2006,20100.1059725293,16838.0933011693,23994.0623252664
"104","22.5","tot_biomass_pred",2007,19739.0337634895,16604.9876178738,23464.6037011661
"105","22.5","tot_biomass_pred",2008,19455.8136453518,16335.011903559,23172.8441238653
"106","22.5","tot_biomass_pred",2009,19177.1991139747,16034.9394028655,22935.2264213305
"107","22.5","tot_biomass_pred",2010,18902.9589080377,15681.5823958476,22786.0841118674
"108","22.5","tot_biomass_pred",2011,18633.1739214585,15312.769184183,22673.571723784
"109","22.5","tot_biomass_pred",2012,18367.7678548066,14933.3867408503,22591.988128532
"110","22.5","tot_biomass_pred",2013,18201.9253519833,14703.3845019033,22532.9131858238
"111","22.5","tot_biomass_pred",2014,18135.9608054904,14655.2924620779,22443.2965216752
"112","22.5","tot_biomass_pred",2015,18072.314065234,14624.8710488931,22332.4044759474
"113","22.5","tot_biomass_pred",2016,18007.8934269117,14576.2737807165,22247.4022204507
"114","22.5","tot_biomass_pred",2017,17922.9616474608,14451.2453789528,22228.7107991538
"115","22.5","tot_biomass_pred",2018,17920.3352362696,14466.4493758565,22198.8413768096
"116","22.5","tot_biomass_pred",2019,17941.8357324718,14458.2417240227,22264.7729644844
"117","22.5","tot_biomass_pred",2020,17982.3039418101,14456.5483482643,22367.9433890914
"118","22.5","tot_biomass_pred",2021,17980.3051871055,14338.3425922326,22547.3322695322
"119","22.5","tot_biomass_pred",2022,17978.3074938932,14227.9006136412,22717.3037767136
"120","22.5","tot_biomass_pred",2023,17978.3074938932,14086.7544099213,22944.9262008383
"121","22.6","tot_biomass_pred",1994,25612.749871051,15319.9892792688,42820.718996504
"122","22.6","tot_biomass_pred",1995,25723.1564050714,15661.0100982667,42250.1978664196
"123","22.6","tot_biomass_pred",1996,25770.026584741,15899.7967933404,41767.4690318315
"124","22.6","tot_biomass_pred",1997,25817.5538409956,16163.5696478599,41237.5546277277
"125","22.6","tot_biomass_pred",1998,25891.4844825826,16382.6210918499,40919.5186138632
"126","22.6","tot_biomass_pred",1999,24238.0857267989,15361.344938922,38244.3595945241
"127","22.6","tot_biomass_pred",2000,22858.397713914,14334.4072799379,36451.1999584912
"128","22.6","tot_biomass_pred",2001,21083.6375797053,13113.7088155965,33897.3344492507
"129","22.6","tot_biomass_pred",2002,20003.5856173811,12363.4608601755,32365.0021686739
"130","22.6","tot_biomass_pred",2003,19538.8186813943,12122.2629180163,31492.9182815377
"131","22.6","tot_biomass_pred",2004,19568.7995943857,12211.0074512334,31360.0592821318
"132","22.6","tot_biomass_pred",2005,19326.1393453096,12073.9224384929,30934.4095837132
"133","22.6","tot_biomass_pred",2006,17854.248444611,11178.0952931687,28517.7554101464
"134","22.6","tot_biomass_pred",2007,16468.4495623891,10289.3255131036,26358.3682568468
"135","22.6","tot_biomass_pred",2008,15742.0824262278,9866.19487440543,25117.3995921183
"136","22.6","tot_biomass_pred",2009,16180.3582727096,10198.2523032448,25671.4568387312
"137","22.6","tot_biomass_pred",2010,16297.4390127258,10267.1427841815,25869.5650734237
"138","22.6","tot_biomass_pred",2011,15711.7427306323,9900.83419062047,24933.1374388067
"139","22.6","tot_biomass_pred",2012,15617.2689192582,9867.31872005504,24717.8686952425
"140","22.6","tot_biomass_pred",2013,15211.2135480702,9620.90458333773,24049.8193907588
"141","22.6","tot_biomass_pred",2014,15555.3074739771,9816.88133400457,24648.1119998689
"142","22.6","tot_biomass_pred",2015,15116.9660930195,9518.50855166823,24008.2427427613
"143","22.6","tot_biomass_pred",2016,15088.9946000888,9536.71467550933,23873.8145984584
"144","22.6","tot_biomass_pred",2017,15944.8324927131,10118.3188437114,25126.4747778422
"145","22.6","tot_biomass_pred",2018,16352.9288744817,10408.2282980226,25692.9685933832
"146","22.6","tot_biomass_pred",2019,16676.2789151787,10563.1466329044,26327.219352475
"147","22.6","tot_biomass_pred",2020,17860.3008326827,11263.0472718756,28321.8509284306
"148","22.6","tot_biomass_pred",2021,18907.824794355,11847.6555264779,30175.2391141901
"149","22.6","tot_biomass_pred",2022,20455.3421899422,12574.8619954848,33274.4028728004
"150","22.6","tot_biomass_pred",2023,20455.3421899422,12262.4393809553,34122.1686084316
"151","22.7","tot_biomass_pred",1994,23185.8514124618,19135.1118256026,28094.09793997
"152","22.7","tot_biomass_pred",1995,23472.4238483888,19492.199405724,28265.3932401604
