"","model_name","parameter","estimate","std_err","lci","uci"
"1","22.2","process_error",0.10428174,0.02704372,0.06272829,0.17336169
"2","22.2","scaling_parameter_q",1.624e-05,2.2e-06,1.246e-05,2.117e-05
"3","22.2","scaling_parameter_q",5.37e-06,7.5e-07,4.09e-06,7.07e-06
"4","22.2","scaling_parameter_q",7.915e-05,2.292e-05,4.486e-05,0.00013963
"5","22.2","scaling_parameter_q",1.537e-05,2.36e-06,1.138e-05,2.077e-05
"6","22.2","extra_biomass_cv",0.27232018,0.06988334,0.16068898,0.43624209
