year,pred,pred_lci,pred_uci
1994,23963,19571,29342
1995,24360,20106,29513
1996,24408,20257,29410
1997,24461,20472,29228
1998,24543,20614,29221
1999,23871,20211,28193
2000,23365,19736,27660
2001,22624,19088,26815
2002,22066,18602,26175
2003,21765,18371,25786
2004,21229,17905,25170
2005,20614,17421,24392
2006,19454,16378,23106
2007,18390,15371,22022
2008,17721,14745,21297
2009,17591,14725,21014
2010,17365,14551,20723
2011,16915,14146,20227
2012,16654,13958,19870
2013,16432,13786,19585
2014,16586,13987,19669
2015,16441,13877,19479
2016,16421,13891,19411
2017,16663,14147,19627
2018,16891,14381,19839
2019,17033,14422,20115
2020,17408,14634,20709
2021,17512,14544,21086
2022,17511,14297,21446
