Dive,transect_length_m
1,1008.190448
2,1014.399409
3,1005.451389
4,1006.562514
5,1009.62468
6,1020.941503
7,1002.169201
8,952.02697
9,1012.555045
10,896.4342446
11,979.2438934
12,960.9591229
13,1002.415773
14,1012.498533
15,1051.748703
16,1006.503615
17,849.0201793
18,1016.937575
19,935.102265
20,281.0652223
21,989.0103513
22,1021.215031
23,1034.294802
24,1036.793056
