OBJECTID,Shape_Length,Dive
1,1001.604243171205553,1
2,1019.674674915808851,2
3,1025.650012744059495,3
4,1012.039886128396461,4
5,1033.020942810098404,5
6,1025.676972719132209,6
7,1026.600326781851663,7
8,1021.012528193084449,8
9,1023.711718264254841,9
10,986.911427835485483,10
11,990.666517813990936,11
12,1019.030519515978312,12
13,1024.698671450174515,13
14,1017.254781892475876,14
15,1025.376571613585611,15
16,1027.845524779062316,16
17,1039.993752328977507,17
18,1028.662870165133654,18
19,1012.484263693198727,19
20,793.428921265425060,20
21,1015.939624120256099,21
22,1014.772385266083006,22
23,1012.057044152992830,23
24,1003.083879816367926,24
25,1019.868751779797549,27
26,1038.717883442869152,28
27,1027.834825573017270,29
28,1020.622686147216086,30
29,1003.928902175776216,31
30,1026.761268223649267,32
31,1025.961230803903618,33
32,1010.362669629712286,34
33,1006.235856809952224,35
34,318.320580393130797,36
