"","Full.Model.Code","Key_function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model","CoveredArea","Det.Prob","Nhat","Nhat.se","Nhat.cv","Nhat.lcl","Nhat.ucl","Dhat","Dhat.se","Dhat.cv","Dhat.lcl","Dhat.ucl","Unique.Mods"
"1","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.991379323932373,0.853605696887184,0.0423570646032838,0,"out.list.2[[1]]",0.209756180885037,0.853605696887184,1881406.02010615,268312.262254607,0.142612630866074,1412735.86830885,2505555.84514813,1781.63448873689,254.083581680499,0.142612630866074,1337.81805711065,2372.68545942058,"Uniform with simple polynomial adjustment term of order 2 NA"
"2","\texttt{out.list.2[[1]]}","Half-normal","~1",0.795673353676289,0.737522417337127,0.0398007120775917,0,"out.list.2[[1]]",0.210093467341698,0.737522417337127,2153590.99574485,313369.559313065,0.145510247736099,1608344.35457624,2883682.31825286,2039.38541263717,296.751476622221,0.145510247736099,1523.05336607598,2730.75977107279,"Half-normal ~1"
"3","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.723559813459012,0.831109687197682,0.042482121316241,0,"out.list.2[[1]]",0.20992833845971,0.831109687197682,1718908.84145885,245620.96073501,0.14289353502106,1290165.29667371,2290131.04976783,1627.75458471482,232.595606756638,0.14289353502106,1221.74744003192,2168.68470621954,"Uniform with simple polynomial adjustment term of order 2 NA"
"4","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.880481392358657,0.769586352623155,0.047579755432592,0,"out.list.2[[1]]",0.214375937513179,0.769586352623155,1824212.31796072,275811.524562475,0.151194859198629,1347855.31614504,2468922.69603329,1727.47378594765,261.185155835677,0.151194859198629,1276.37814028887,2337.99497730425,"Uniform with cosine adjustment term of order 1 NA"
"5","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.811486309137908,0.743769262158179,0.0439074903708131,0,"out.list.2[[1]]",0.215155813357836,0.743769262158179,1907086.75444258,302834.143492233,0.1587941098048,1387247.9819461,2621722.96251473,1805.95336594941,286.774757094918,0.1587941098048,1313.68180108532,2482.69219935107,"Uniform with cosine adjustment term of order 1 NA"
"6","\texttt{out.list.2[[1]]}","Hazard-rate","~1",0.646537563177466,0.867557136392089,0.0336692915321725,0,"out.list.2[[1]]",0.220119767284393,0.867557136392089,1869061.04885058,260157.132197668,0.139191350843065,1411862.68776015,2474312.29298406,1769.9441750479,246.360920641731,0.139191350843065,1336.99118159105,2343.09876229551,"Hazard-rate ~1"
"7","\texttt{out.list.2[[1]]}","Hazard-rate","~1",0.741312511996738,0.885030845551361,0.028905948390513,0,"out.list.2[[1]]",0.208546251659011,0.885030845551361,2351499.79093193,299488.820714739,0.127360768591031,1818387.80540031,3040908.68313736,2226.79904444311,283.606837798048,0.127360768591031,1721.95814905332,2879.64837418311,"Hazard-rate ~1"
"8","\texttt{out.list.2[[1]]}","Hazard-rate","~1",0.683887318455733,0.919325744935102,0.0277047644858799,0,"out.list.2[[1]]",0.20217041903843,0.919325744935102,2170402.3326864,292289.636439473,0.134670716132936,1653457.69235702,2848966.93003103,2055.30523928637,276.78942844647,0.134670716132936,1565.77432988354,2697.88535040817,"Hazard-rate ~1"
"9","\texttt{out.list.2[[1]]}","Hazard-rate","~1",0.490113825084429,0.897813095580593,0.0256006099635534,0,"out.list.2[[1]]",0.207815311970864,0.897813095580593,2099782.67711199,291993.808301482,0.139059061437294,1585406.24625082,2781045.74239329,1988.43056544696,276.509288164282,0.139059061437294,1501.33167258601,2633.56604393304,"Hazard-rate ~1"
"10","\texttt{out.list.2[[1]]}","Half-normal","~Stage",0.724912481348607,0.80492689124197,0.042156104012242,0,"out.list.2[[1]]",0.212224251045669,0.80492689124197,2169799.41806985,324554.749623716,0.149578226872429,1606942.19872949,2929806.38530658,2054.73429741463,307.343512901247,0.149578226872429,1521.72556697869,2774.43786487366,"Half-normal ~Stage"
