"","Seconds","DIVE_NO","ROV_X","ROV_Y","Family"
"1",46298,1,522721.46,6199017.74,"Good"
"2",46299,1,522721.46,6199017.74,"Good"
"3",46300,1,522721.46,6199017.74,"Good"
"4",46301,1,522721.46,6199017.74,"Good"
"5",46302,1,522721.46,6199017.74,"Good"
"6",46303,1,522721.46,6199017.74,"Good"
"7",46304,1,522721.46,6199017.74,"Good"
"8",46305,1,522721.46,6199017.74,"Good"
"9",46306,1,522721.46,6199017.74,"Good"
"10",46307,1,522721.46,6199017.74,"Good"
"11",46308,1,522721.46,6199017.74,"Good"
"12",46309,1,522715.84,6199018.49,"Good"
"13",46310,1,522715.84,6199018.49,"Good"
"14",46311,1,522715.84,6199018.49,"Good"
"15",46312,1,522715.84,6199018.49,"Good"
"16",46313,1,522715.84,6199018.49,"Good"
"17",46314,1,522713.84,6199018.05,"Good"
"18",46315,1,522713.84,6199018.05,"Good"
"19",46316,1,522713.84,6199018.05,"Good"
"20",46317,1,522713.84,6199018.05,"Good"
"21",46318,1,522713.84,6199018.05,"Good"
"22",46319,1,522713.84,6199018.05,"Good"
"23",46320,1,522713.84,6199018.05,"Good"
"24",46321,1,522713.84,6199018.05,"Good"
"25",46322,1,522713.84,6199018.05,"Good"
"26",46323,1,522713.84,6199018.05,"Good"
"27",46324,1,522713.84,6199018.05,"Good"
"28",46325,1,522713.84,6199018.05,"Good"
"29",46326,1,522713.84,6199018.05,"Good"
"30",46327,1,522713.84,6199018.05,"Good"
"31",46328,1,522705.02,6199017.33,"Good"
"32",46329,1,522705.02,6199017.33,"Good"
"33",46330,1,522705.02,6199017.33,"Good"
"34",46331,1,522705.02,6199017.33,"Good"
"35",46332,1,522703.75,6199017.58,"Good"
"36",46333,1,522703.75,6199017.58,"Good"
"37",46334,1,522703.75,6199017.58,"Good"
"38",46335,1,522703.75,6199017.58,"Good"
"39",46336,1,522703.75,6199017.58,"Good"
"40",46337,1,522703.75,6199017.58,"Good"
"41",46338,1,522703.75,6199017.58,"Good"
"42",46339,1,522700.65,6199017.2,"Good"
"43",46340,1,522700.65,6199017.2,"Good"
"44",46341,1,522700.65,6199017.2,"Good"
"45",46342,1,522700.65,6199017.2,"Good"
"46",46343,1,522700.65,6199017.2,"Bad"
"47",46344,1,522700.65,6199017.2,"Bad"
"48",46345,1,522700.65,6199017.2,"Bad"
"49",46346,1,522700.65,6199017.2,"Bad"
"50",46347,1,522700.65,6199017.2,"Bad"
"51",46348,1,522700.65,6199017.2,"Bad"
"52",46349,1,522700.65,6199017.2,"Bad"
"53",46350,1,522700.65,6199017.2,"Bad"
"54",46351,1,522700.65,6199017.2,"Bad"
"55",46352,1,522695.84,6199016.86,"Bad"
"56",46353,1,522695.84,6199016.86,"Bad"
"57",46354,1,522695.84,6199016.86,"Good"
"58",46355,1,522695.84,6199016.86,"Good"
"59",46356,1,522695.84,6199016.86,"Good"
"60",46357,1,522695.84,6199016.86,"Good"
"61",46358,1,522695.84,6199016.86,"Good"
