"","Full.Model.Code","Key_function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model","CoveredArea","Det.Prob","Nhat","Nhat.se","Nhat.cv","Nhat.lcl","Nhat.ucl","Dhat","Dhat.se","Dhat.cv","Dhat.lcl","Dhat.ucl","Unique.Mods"
"1","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.942457453083985,0.758013420694694,0.0444430679440572,0,"out.list.2[[1]]",0.204693782836724,0.758013420694694,2075784.2412165,290981.374465489,0.140179007378417,1567798.43501511,2748363.64155526,1965.70477387926,275.55054400141,0.140179007378417,1484.65760891582,2602.61708480611,"Uniform with cosine adjustment term of order 1 NA"
"2","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.655858027480455,0.79652427504341,0.0542183943578809,0,"out.list.2[[1]]",0.200548851810216,0.79652427504341,1731992.52620153,246127.424096535,0.142106516265588,1304350.68458816,2299840.17815357,1640.14443769084,233.075212212628,0.142106516265588,1235.18057252666,2177.87895658482,"Uniform with cosine adjustment term of order 1 NA"
"3","\texttt{out.list.2[[1]]}","Half-normal","~Stage",0.751801258700046,0.783184565093705,0.0408681863599414,0,"out.list.2[[1]]",0.203913793468674,0.783184565093705,2334145.36676421,345332.236980327,0.147948042096048,1734324.13795544,3141416.57487952,2210.36493064793,327.019163807128,0.147948042096048,1642.35240336689,2974.82630196924,"Half-normal ~Stage"
"4","\texttt{out.list.2[[1]]}","Uniform with cosine adjustment term of order 1",NA,0.836427148662742,0.820018751602351,0.0524064319963956,0,"out.list.2[[1]]",0.204948621059657,0.820018751602351,1954139.31788153,302376.058711773,0.154736182801734,1433873.19494731,2663178.64588494,1850.51071769084,286.340964689179,0.154736182801734,1357.83446491223,2521.94947526983,"Uniform with cosine adjustment term of order 1 NA"
"5","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.695687305495862,0.868754158005921,0.0405431794455082,0,"out.list.2[[1]]",0.200848021151303,0.868754158005921,2354230.95661788,304726.275087866,0.129437714779539,1815060.72426418,3053563.62076803,2229.38537558512,288.566548378661,0.129437714779539,1718.80750403805,2891.63221663639,"Uniform with simple polynomial adjustment term of order 2 NA"
"6","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.827397933927316,0.836542584338301,0.0435435383981393,0,"out.list.2[[1]]",0.207624904479059,0.836542584338301,1641572.93436618,253752.69922114,0.154578997928664,1203496.84044505,2239109.90729902,1554.5198242104,240.296116686685,0.154578997928664,1139.67503830024,2120.3692303968,"Uniform with simple polynomial adjustment term of order 2 NA"
"7","\texttt{out.list.2[[1]]}","Half-normal","~Stage",0.468524903988499,0.82395844999593,0.0427047248642442,0,"out.list.2[[1]]",0.198880706828503,0.82395844999593,2371448.89572762,376686.706023706,0.158842430339672,1723700.98878741,3262613.35442172,2245.6902421663,356.710895855782,0.158842430339672,1632.29260301838,3089.59597956602,"Half-normal ~Stage"
"8","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.546892651414991,0.77398676372143,0.030922058113658,0,"out.list.2[[1]]",0.206315720601486,0.77398676372143,2208739.66414334,313209.263825412,0.141804518164838,1659828.11990447,2939178.36760158,2091.60953043877,296.599681652852,0.141804518164838,1571.80693172772,2783.31284810755,"Uniform with simple polynomial adjustment term of order 2 NA"
"9","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.779033169316722,0.762735121114033,0.0289367247793132,0,"out.list.2[[1]]",0.216516154258173,0.762735121114033,2206068.35129294,300099.130913269,0.136033469106878,1676976.10171587,2902091.1899679,2089.07987811831,284.184783061807,0.136033469106878,1588.0455508673,2748.19241474233,"Uniform with simple polynomial adjustment term of order 2 NA"
"10","\texttt{out.list.2[[1]]}","Half-normal","~Stage",0.497062378207161,0.787374286437559,0.0399669821562074,0,"out.list.2[[1]]",0.203581979203149,0.787374286437559,2641725.75829829,341951.280459393,0.129442384163172,2037509.12835039,3425120.84238207,2501.63424081277,323.817500435031,0.129442384163172,1929.45940184696,3243.48564619515,"Half-normal ~Stage"
"11","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment terms of order 2,4,6",NA,0.435796039014254,0.893347071905897,0.103724712232676,0,"out.list.2[[1]]",0.219755326197307,0.893347071905897,1457718.21630332,293015.312252537,0.201009570282798,980132.088667409,2168016.35484827,1380.41497755996,277.476621451266,0.201009570282798,928.155386995653,2053.04579057601,"Uniform with simple polynomial adjustment terms of order 2,4,6 NA"
"12","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.793053699319994,0.808382343906052,0.0361739397359107,0,"out.list.2[[1]]",0.199880937667888,0.808382343906052,2241660.50767672,303454.836434795,0.13537055918842,1707315.20798522,2943242.00251658,2122.78457166356,287.362534502647,0.13537055918842,1616.77576513752,2787.16098723161,"Uniform with simple polynomial adjustment term of order 2 NA"
"13","\texttt{out.list.2[[1]]}","Half-normal","~Stage",0.563829865093775,0.812987097894203,0.0400704833079802,0,"out.list.2[[1]]",0.20575474918267,0.812987097894203,2613549.54631283,302199.804035574,0.11562811367472,2072883.50295888,3295236.42852183,2474.95222188715,286.174056851869,0.11562811367472,1962.95786265045,3120.48904216082,"Half-normal ~Stage"
"14","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.671123716100382,0.780673501736394,0.0319864293224324,0,"out.list.2[[1]]",0.208749066972336,0.780673501736394,2222614.05722822,305590.630616212,0.137491540477931,1685005.51244106,2931749.01263788,2104.74816025399,289.385066871413,0.137491540477931,1595.64915950858,2776.2774740889,"Uniform with simple polynomial adjustment term of order 2 NA"
"15","\texttt{out.list.2[[1]]}","Uniform with simple polynomial adjustment term of order 2",NA,0.331762637802914,0.904072371642804,0.0480720354197176,0,"out.list.2[[1]]",0.202426743435104,0.904072371642804,2100362.30766366,310977.273176096,0.148058871577263,1560417.77304205,2827141.48715052,1988.97945801483,294.486054144031,0.148058871577263,1477.66834568376,2677.21731737738,"Uniform with simple polynomial adjustment term of order 2 NA"
"16","\texttt{out.list.2[[1]]}","Half-normal","~Stage",0.371896004664578,0.81827499815425,0.0458426132322308,0,"out.list.2[[1]]",0.205774722063811,0.81827499815425,1975527.89500057,338522.745172225,0.17135811953297,1400776.09503907,2786105.84357276,1870.76505208387,320.570781413092,0.17135811953297,1326.49251424154,2638.3578064136,"Half-normal ~Stage"
