Source,Sex,1984,1985,1987,1988,1989,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hal LL fishery,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,328,362,504,28,0,302,212,510,427,488,258,66,243,29
Hal LL fishery,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,443,599,635,63,0,302,532,762,572,627,384,136,342,33
Hal LL fishery,Sex combined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,771,961,1139,91,0,604,744,1272,999,1115,642,202,585,62
Jig,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jig,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jig,Sex combined,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL fishery,Female,3,0,22,92,24,62,14,53,408,633,654,387,598,522,587,507,356,690,176,341,371,233,117,808,959,276,336,309,287,345,311,0,0,0
LL fishery,Male,1,0,7,88,15,52,11,46,389,527,566,339,565,421,468,401,237,571,187,286,271,219,127,587,660,277,226,266,230,203,219,0,0,0
LL fishery,Sex combined,4,0,29,180,39,114,25,99,797,1160,1220,726,1163,943,1055,908,593,1261,363,627,642,452,244,1395,1619,553,562,575,517,548,530,0,0,0
LL fishery atyp,Female,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL fishery atyp,Male,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL fishery atyp,Sex combined,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
