year,Source,Sex,age,n,proportion,Age
2008,Hal LL fishery,Female,2,0,0,2
2009,Hal LL fishery,Female,2,0,0,2
2010,Hal LL fishery,Female,2,0,0,2
2011,Hal LL fishery,Female,2,0,0,2
2012,Hal LL fishery,Female,2,0,0,2
2014,Hal LL fishery,Female,2,0,0,2
2015,Hal LL fishery,Female,2,0,0,2
2016,Hal LL fishery,Female,2,0,0,2
2017,Hal LL fishery,Female,2,0,0,2
2018,Hal LL fishery,Female,2,0,0,2
2019,Hal LL fishery,Female,2,0,0,2
2020,Hal LL fishery,Female,2,0,0,2
2021,Hal LL fishery,Female,2,0,0,2
2022,Hal LL fishery,Female,2,0,0,2
2000,Hal LL fishery,Female,2,0,0,2
2002,Hal LL fishery,Female,2,0,0,2
1984,Hal LL fishery,Female,2,0,0,2
1987,Hal LL fishery,Female,2,0,0,2
1988,Hal LL fishery,Female,2,0,0,2
1989,Hal LL fishery,Female,2,0,0,2
1992,Hal LL fishery,Female,2,0,0,2
1993,Hal LL fishery,Female,2,0,0,2
1994,Hal LL fishery,Female,2,0,0,2
1995,Hal LL fishery,Female,2,0,0,2
1996,Hal LL fishery,Female,2,0,0,2
1997,Hal LL fishery,Female,2,0,0,2
1998,Hal LL fishery,Female,2,0,0,2
1999,Hal LL fishery,Female,2,0,0,2
2001,Hal LL fishery,Female,2,0,0,2
2003,Hal LL fishery,Female,2,0,0,2
2004,Hal LL fishery,Female,2,0,0,2
2005,Hal LL fishery,Female,2,0,0,2
2013,Hal LL fishery,Female,2,0,0,2
1985,Hal LL fishery,Female,2,0,0,2
2008,Jig,Female,2,0,0,2
2009,Jig,Female,2,0,0,2
2010,Jig,Female,2,0,0,2
2011,Jig,Female,2,0,0,2
2012,Jig,Female,2,0,0,2
2014,Jig,Female,2,0,0,2
2015,Jig,Female,2,0,0,2
2016,Jig,Female,2,0,0,2
2017,Jig,Female,2,0,0,2
2018,Jig,Female,2,0,0,2
2019,Jig,Female,2,0,0,2
2020,Jig,Female,2,0,0,2
2021,Jig,Female,2,0,0,2
2022,Jig,Female,2,0,0,2
2000,Jig,Female,2,0,0,2
2002,Jig,Female,2,0,0,2
1984,Jig,Female,2,0,0,2
1987,Jig,Female,2,0,0,2
1988,Jig,Female,2,0,0,2
