Gear,Sex,age,weight
Longline,Female,10,0.62
Longline,Female,11,1.19
Longline,Female,12,1.26
Longline,Female,13,1.3442
Longline,Female,14,1.3317
Longline,Female,15,1.4481
Longline,Female,16,1.6677
Longline,Female,17,1.8132
Longline,Female,18,1.8509
Longline,Female,19,1.9486
Longline,Female,20,2.0661
Longline,Female,21,2.2146
Longline,Female,22,2.3392
Longline,Female,23,2.5024
Longline,Female,24,2.584
Longline,Female,25,2.7057
Longline,Female,26,2.8259
Longline,Female,27,2.9631
Longline,Female,28,2.972
Longline,Female,29,3.0815
Longline,Female,30,3.1735
Longline,Female,31,3.1932
Longline,Female,32,3.2972
Longline,Female,33,3.4298
Longline,Female,34,3.4383
Longline,Female,35,3.5186
Longline,Female,36,3.6445
Longline,Female,37,3.727
Longline,Female,38,3.8096
Longline,Female,39,3.8819
Longline,Female,40,4.0543
Longline,Female,41,4.0803
Longline,Female,42,4.2304
Longline,Female,43,4.2229
Longline,Female,44,4.2419
Longline,Female,45,4.344
Longline,Female,46,4.3229
Longline,Female,47,4.3616
Longline,Female,48,4.4195
Longline,Female,49,4.4727
Longline,Female,50,4.5983
Longline,Female,51,4.8037
Longline,Female,52,4.6767
Longline,Female,53,4.815
Longline,Female,54,4.6755
Longline,Female,55,4.9584
Longline,Female,56,4.8421
Longline,Female,57,4.6824
Longline,Female,58,4.9279
Longline,Female,59,4.9348
Longline,Female,60,5.1691
Longline,Female,61,5.3709
Longline,Female,62,5.0832
Longline,Female,63,5.3982
Longline,Female,64,5.3705
Longline,Female,65,5.346
Longline,Female,66,5.2974
Longline,Female,67,5.063
Longline,Female,68,5.1224
Longline,Female,69,5.2471
Longline,Female,70,5.3882
Longline,Female,71,5.6434
Longline,Female,72,5.3233
Longline,Female,73,5.5203
Longline,Female,74,5.18
Longline,Female,75,5.41
Longline,Female,76,5.6954
Longline,Female,77,5.5794
Longline,Female,78,5.2536
Longline,Female,79,5.1242
Longline,Female,80,5.8895
Longline,Female,81,5.9158
Longline,Female,82,5.9915
Longline,Female,83,6.1897
Longline,Female,84,6.3353
Longline,Female,85,5.7029
Longline,Female,86,5.7657
Longline,Female,87,6.4527
Longline,Female,88,5.9926
Longline,Female,89,6.1935
Longline,Female,90,5.5259
Longline,Female,91,5.9685
Longline,Female,92,5.4762
Longline,Female,93,6.4695
Longline,Female,94,6.6572
Longline,Female,95,6.472
Longline,Female,96,5.8786
Longline,Female,97,5.7318
Longline,Female,98,6.0241
Longline,Female,99,5.7725
Longline,Female,100,6.3057
Longline,Male,8,0.77
Longline,Male,9,1.225
Longline,Male,10,0.99
Longline,Male,11,1.0833
Longline,Male,12,0.983
Longline,Male,13,1.1983
Longline,Male,14,1.3442
Longline,Male,15,1.4175
Longline,Male,16,1.5843
Longline,Male,17,1.7753
Longline,Male,18,1.8598
Longline,Male,19,1.9836
Longline,Male,20,2.1411
Longline,Male,21,2.2358
Longline,Male,22,2.4755
Longline,Male,23,2.6132
Longline,Male,24,2.7585
Longline,Male,25,2.9376
Longline,Male,26,2.9505
Longline,Male,27,3.0949
Longline,Male,28,3.1704
Longline,Male,29,3.3109
Longline,Male,30,3.2773
Longline,Male,31,3.4161
Longline,Male,32,3.543
Longline,Male,33,3.5946
Longline,Male,34,3.6963
Longline,Male,35,3.7347
Longline,Male,36,3.8275
Longline,Male,37,3.9436
Longline,Male,38,3.9025
Longline,Male,39,4.0975
Longline,Male,40,4.0829
Longline,Male,41,4.2557
Longline,Male,42,4.1926
Longline,Male,43,4.1518
Longline,Male,44,4.3228
Longline,Male,45,4.325
Longline,Male,46,4.4016
Longline,Male,47,4.4089
Longline,Male,48,4.5425
Longline,Male,49,4.508
Longline,Male,50,4.5036
Longline,Male,51,4.6261
Longline,Male,52,4.8028
Longline,Male,53,4.6754
Longline,Male,54,4.8997
Longline,Male,55,4.7769
Longline,Male,56,4.905
Longline,Male,57,4.735
Longline,Male,58,5.0101
Longline,Male,59,4.8358
Longline,Male,60,4.9353
Longline,Male,61,4.8436
Longline,Male,62,5.0392
Longline,Male,63,5.226
Longline,Male,64,5.2234
Longline,Male,65,5.3713
Longline,Male,66,5.2879
Longline,Male,67,5.4669
Longline,Male,68,5.4932
Longline,Male,69,5.3993
Longline,Male,70,5.696
Longline,Male,71,5.0643
Longline,Male,72,4.9338
Longline,Male,73,5.1919
Longline,Male,74,5.335
Longline,Male,75,5.5912
Longline,Male,76,5.9721
Longline,Male,77,5.5376
Longline,Male,78,5.211
Longline,Male,79,5.4193
Longline,Male,80,6.0525
Longline,Male,81,5.5179
Longline,Male,82,6.0912
Longline,Male,83,5.9779
Longline,Male,84,6.04
Longline,Male,85,5.86
Longline,Male,86,5.478
Longline,Male,87,5.5538
Longline,Male,88,6.1889
Longline,Male,89,5.9844
Longline,Male,90,6.2067
Longline,Male,91,6.0033
Longline,Male,92,5.71
Longline,Male,93,6.558
Longline,Male,94,5.7367
Longline,Male,95,6.074
Longline,Male,96,6.064
Longline,Male,97,6.3
Longline,Male,98,5.802
Longline,Male,99,7.32
Longline,Male,100,5.998
Jig,Female,10,1
Jig,Female,15,1.15
Jig,Female,16,1.35
