Source,Sex,1984,1987,1988,1989,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LL fishery,Female,3,22,92,24,62,14,53,408,633,654,387,598,522,587,507,356,690,176,631,699,595,621,836,959,578,548,819,714,833,569,75,297,175,142,174
LL fishery,Male,1,7,88,15,52,11,46,389,527,566,339,565,421,468,401,237,571,187,505,714,818,761,650,660,579,758,1028,802,830,603,145,406,182,134,195
LL fishery,Sex combined,4,29,180,39,114,25,99,797,1160,1220,726,1163,943,1055,908,593,1261,363,1136,1413,1413,1382,1486,1619,1157,1306,1847,1516,1663,1172,220,703,357,276,369
