Source,Sex,year,mean,min,max,variable
Hal LL fishery,Female,2008,37.62758620689655,13,106,Age
Hal LL fishery,Female,2009,39.72256097560975,14,104,Age
Hal LL fishery,Female,2010,39.447513812154696,11,120,Age
Hal LL fishery,Female,2011,38.07936507936508,13,108,Age
Hal LL fishery,Female,2012,31.892857142857142,16,81,Age
Hal LL fishery,Female,2014,36.11920529801324,14,95,Age
Hal LL fishery,Female,2015,39.155660377358494,16,105,Age
Hal LL fishery,Female,2016,35.043137254901964,14,101,Age
Hal LL fishery,Female,2017,37.34426229508197,13,108,Age
Hal LL fishery,Female,2018,37.989754098360656,14,113,Age
Hal LL fishery,Female,2019,39.91860465116279,18,101,Age
Hal LL fishery,Female,2020,38.89393939393939,21,92,Age
Hal LL fishery,Female,2021,38.991769547325106,15,121,Age
Hal LL fishery,Female,2022,36.827586206896555,14,72,Age
Hal LL fishery,Male,2008,31.374429223744293,13,104,Age
Hal LL fishery,Male,2009,34.1941309255079,14,106,Age
Hal LL fishery,Male,2010,33.742904841402336,11,110,Age
Hal LL fishery,Male,2011,35.39685039370079,12,106,Age
Hal LL fishery,Male,2012,29.38095238095238,14,84,Age
Hal LL fishery,Male,2014,32.55960264900662,14,94,Age
Hal LL fishery,Male,2015,33.755639097744364,15,107,Age
Hal LL fishery,Male,2016,32.02755905511811,14,98,Age
Hal LL fishery,Male,2017,35.67132867132867,15,113,Age
Hal LL fishery,Male,2018,34.803827751196174,14,102,Age
Hal LL fishery,Male,2019,34.8046875,15,109,Age
Hal LL fishery,Male,2020,37.98529411764706,16,74,Age
Hal LL fishery,Male,2021,36.16959064327485,13,95,Age
Hal LL fishery,Male,2022,35.27272727272727,17,80,Age
Jig,Female,2000,39.53846153846154,10,100,Age
Jig,Female,2002,35.53333333333333,16,65,Age
Jig,Male,2000,31.878048780487806,13,51,Age
Jig,Male,2002,29.785714285714285,13,65,Age
LL fishery,Female,1984,67,60,73,Age
LL fishery,Female,1987,34.5,15,72,Age
LL fishery,Female,1988,46.90217391304348,12,95,Age
LL fishery,Female,1989,35.75,11,66,Age
LL fishery,Female,1992,29.451612903225808,10,77,Age
LL fishery,Female,1993,43.57142857142857,11,95,Age
LL fishery,Female,1994,43.716981132075475,16,100,Age
LL fishery,Female,1995,44.970588235294116,16,107,Age
LL fishery,Female,1996,39.47077409162717,13,105,Age
LL fishery,Female,1997,39.93577981651376,12,112,Age
LL fishery,Female,1998,42.73385012919896,12,101,Age
LL fishery,Female,1999,42.80434782608695,13,111,Age
LL fishery,Female,2000,43.26628352490422,13,121,Age
LL fishery,Female,2001,41.17206132879046,15,110,Age
LL fishery,Female,2002,39.84418145956607,15,116,Age
LL fishery,Female,2003,36.98314606741573,12,102,Age
LL fishery,Female,2004,39.391304347826086,14,112,Age
LL fishery,Female,2005,42.10795454545455,17,105,Age
LL fishery,Female,2008,43.24340175953079,17,111,Age
LL fishery,Female,2009,40.331536388140165,17,109,Age
